"","natal_origin","BON","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"1","Asotin_Creek","0.03 (N = 17)","0.034 (N = 19)","0.023 (N = 13)","0.014 (N = 8)","0.011 (N = 6)","0.0035 (N = 2)","0.025 (N = 14)","0.028 (N = 16)"
"2","Clearwater_River","0.014 (N = 90)","0.022 (N = 149)","0.0023 (N = 15)","0.0012 (N = 8)","0.0003 (N = 2)","0.00045 (N = 3)","0.0074 (N = 49)","0.013 (N = 87)"
"3","Deschutes_River","0.016 (N = 17)","0.0019 (N = 2)","0","0","0","0","0.00096 (N = 1)","0.0019 (N = 2)"
"4","Entiat_River","0.016 (N = 8)","0.006 (N = 3)","0.016 (N = 8)","0.008 (N = 4)","0.026 (N = 13)","0.26 (N = 129)","0","0"
"5","Fifteenmile_Creek","0.011 (N = 5)","0.042 (N = 20)","0","0","0","0","0.0042 (N = 2)","0.0021 (N = 1)"
"6","Grande_Ronde_River","0.017 (N = 119)","0.016 (N = 109)","0.0071 (N = 49)","0.0023 (N = 16)","0.0016 (N = 11)","0.001 (N = 7)","0.013 (N = 92)","0.012 (N = 83)"
"7","Hood_River","0.075 (N = 227)","0.00067 (N = 2)","0","0","0","0","0","0"
"8","Imnaha_River","0.022 (N = 109)","0.03 (N = 153)","0.014 (N = 70)","0.0059 (N = 30)","0.003 (N = 15)","0.0022 (N = 11)","0.026 (N = 131)","0.017 (N = 84)"
"9","John_Day_River","0.012 (N = 34)","0.3 (N = 853)","0.0046 (N = 13)","0.00071 (N = 2)","0","0","0.044 (N = 124)","0.015 (N = 43)"
"10","Methow_River","0.0094 (N = 75)","0.0076 (N = 61)","0.0086 (N = 69)","0.0054 (N = 43)","0.0041 (N = 33)","0.018 (N = 143)","0.00013 (N = 1)","0.00013 (N = 1)"
"11","Okanogan_River","0.0084 (N = 10)","0.0067 (N = 8)","0.013 (N = 15)","0.0025 (N = 3)","0.0017 (N = 2)","0.017 (N = 20)","0","0.00084 (N = 1)"
"12","Salmon_River","0.019 (N = 212)","0.036 (N = 396)","0.0085 (N = 94)","0.0042 (N = 46)","0.0021 (N = 23)","0.0019 (N = 21)","0.015 (N = 163)","0.014 (N = 156)"
"13","Tucannon_River","0.02 (N = 70)","0.045 (N = 158)","0.0099 (N = 35)","0.0034 (N = 12)","0.0017 (N = 6)","0.0014 (N = 5)","0.028 (N = 98)","0.19 (N = 669)"
"14","Umatilla_River","0.01 (N = 18)","0.21 (N = 379)","0.005 (N = 9)","0.0011 (N = 2)","0.0017 (N = 3)","0.00056 (N = 1)","0.03 (N = 53)","0.017 (N = 31)"
"15","Walla_Walla_River","0.017 (N = 50)","0.042 (N = 127)","0.014 (N = 42)","0.006 (N = 18)","0.0023 (N = 7)","0.0023 (N = 7)","0.15 (N = 444)","0.088 (N = 262)"
"16","Wenatchee_River","0.017 (N = 82)","0.0072 (N = 35)","0.011 (N = 54)","0.011 (N = 53)","0.12 (N = 577)","0.064 (N = 313)","0","0.00021 (N = 1)"
"17","Yakima_River","0.0075 (N = 5)","0.009 (N = 6)","0.087 (N = 58)","0.021 (N = 14)","0.0075 (N = 5)","0.003 (N = 2)","0.018 (N = 12)","0.0045 (N = 3)"
