"","natal_origin","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"1","Asotin_Creek","NA","3.37% (19/564)","2.13% (12/564)","1.95% (11/564)","1.06% (6/564)","NA","NA"
"2","Clearwater_River","NA","0.35% (23/6626)","0.21% (14/6626)","0.12% (8/6626)","0.12% (8/6626)","NA","NA"
"3","Deschutes_River","0.57% (6/1045)","0","0","0","0","0.19% (2/1045)","0.19% (2/1045)"
"4","Entiat_River","NA","NA","NA","NA","34.94% (174/498)","0","0"
"5","Fifteenmile_Creek","7.16% (34/475)","0","0","0","0","1.26% (6/475)","0.42% (2/475)"
"6","Grande_Ronde_River","NA","1.04% (72/6909)","0.49% (34/6909)","0.36% (25/6909)","0.28% (19/6909)","NA","NA"
"7","Hood_River","0.10% (3/3007)","0","0","0","0","0","0"
"8","Imnaha_River","NA","2.08% (105/5060)","1.07% (54/5060)","0.75% (38/5060)","0.57% (29/5060)","NA","NA"
"9","John_Day_River","54.73% (1546/2825)","0.85% (24/2825)","0.21% (6/2825)","0.04% (1/2825)","0.04% (1/2825)","14.41% (407/2825)","6.65% (188/2825)"
"10","Methow_River","NA","NA","NA","NA","NA","0.06% (5/7996)","0.05% (4/7996)"
"11","Okanogan_River","NA","NA","NA","NA","NA","0.08% (1/1188)","0.08% (1/1188)"
"12","Salmon_River","NA","1.58% (175/11042)","1.02% (113/11042)","0.81% (89/11042)","0.64% (71/11042)","NA","NA"
"13","Tucannon_River","NA","1.79% (63/3522)","0.85% (30/3522)","0.57% (20/3522)","0.45% (16/3522)","NA","44.46% (1566/3522)"
"14","Umatilla_River","39.83% (715/1795)","0.84% (15/1795)","0.33% (6/1795)","0.22% (4/1795)","0.06% (1/1795)","7.97% (143/1795)","3.29% (59/1795)"
"15","Walla_Walla_River","NA","2.07% (62/2989)","1.04% (31/2989)","0.57% (17/2989)","0.30% (9/2989)","51.79% (1548/2989)","20.71% (619/2989)"
"16","Wenatchee_River","NA","NA","NA","46.62% (2273/4876)","31.34% (1528/4876)","0.02% (1/4876)","0.02% (1/4876)"
"17","Yakima_River","NA","12.61% (84/666)","4.80% (32/666)","2.55% (17/666)","1.20% (8/666)","3.00% (20/666)","1.05% (7/666)"
