"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Site Basin Name","Event Site Info Name","Event Site Info Code","Event Site Code Value","Event Site Subbasin Code","Event Site Subbasin Name","Event Site RKM Value","Event Site RKM Total","CTH Count"
"384.3B23983360","Mark","CAMP2C - Camp Creek, Middle Fork John Day River","10/16/2012","CAMP2C - Camp Creek, Middle Fork John Day River","10/16/2012","John Day","Camp Creek, Middle Fork John Day River","CAMP2C","CAMP2C","17070203","Middle Fork John Day","351.298.052.076","777","1"
"384.3B23983360","Observation","BO1 - Bonneville Bradford Is. Ladder","7/27/2014","","","Lower Columbia","Bonneville Bradford Is. Ladder","BO1","BO1","17080001","Lower Columbia-Sandy","234","234","18"
"384.3B23983360","Observation","JD1 - John Day River, McDonald Ferry","10/8/2014","","","John Day","John Day River, McDonald Ferry","JD1","JD1","17070204","Lower John Day","351.032","383","3"
"384.3B23983360","Observation","MJ1 - Middle Fork John Day Array","3/17/2015","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","2"
"384.3B23983360","Observation","TD1 - The Dalles East Fish Ladder","10/2/2014","","","Middle Columbia","The Dalles East Fish Ladder","TD1","TD1","17070105","Middle Columbia-Hood","308","308","5"
"384.3B23983360","Recapture","CAMP2C - Camp Creek, Middle Fork John Day River","10/17/2012","CAMP2C - Camp Creek, Middle Fork John Day River","10/17/2012","John Day","Camp Creek, Middle Fork John Day River","CAMP2C","CAMP2C","17070203","Middle Fork John Day","351.298.052.076","777","1"
"384.3B2399307E","Mark","JDARMF - Middle Fork John Day River","10/4/2012","JDARMF - Middle Fork John Day River","10/4/2012","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"384.3B2399307E","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/3/2014","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","23"
"384.3B2399307E","Observation","BO4 - Bonneville WA Ladder Slots","8/3/2014","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","7"
"384.3B2399307E","Observation","DRM - Deschutes River mouth","9/17/2014","","","Deschutes","Deschutes River mouth","DRM","DRM","17070306","Lower Deschutes","328.001","329","1"
