"Tag Code","Mark File Name","Site Name","First Time Value","Last Time Value","First Antenna Group Name","Last Antenna Group Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Release Site Name","Count","First Obs Date Max"
"384.3B23983360","OJD12290.ABA","BO1 - Bonneville Bradford Is. Ladder","7/27/2014 1:16:20 PM","7/27/2014 2:36:56 PM","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","10/16/2012","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","CAMP2C - Camp Creek, Middle Fork John Day River","1","07/27/2014"
"384.3B2399307E","OJD12278.6AA","BO3 - Bonneville WA Shore Ladder/AFF","8/3/2014 9:10:43 AM","8/3/2014 9:53:33 AM","WEIR 34","WEIR 59","10/4/2012","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/03/2014"
"384.3B2399307E","OJD12278.6AA","BO4 - Bonneville WA Ladder Slots","8/3/2014 10:34:07 AM","8/3/2014 10:45:23 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","10/4/2012","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/03/2014"
"3D6.000AC9D32D","WHW11194.4AA","BO2 - Bonneville Cascades Is. Ladder","8/7/2014 4:23:36 PM","8/7/2014 4:23:36 PM","WEIR 46","WEIR 46","7/13/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/07/2014"
"3D6.000AC9D32D","WHW11194.4AA","BO4 - Bonneville WA Ladder Slots","8/8/2014 5:25:19 AM","8/8/2014 5:25:19 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","7/13/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/08/2014"
"3D6.000AC9D33B","WHW11189.BCA","BO2 - Bonneville Cascades Is. Ladder","7/26/2014 4:32:38 PM","7/26/2014 4:48:02 PM","WEIR 45","WEIR 52","7/8/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","CAMP2C - Camp Creek, Middle Fork John Day River","1","07/26/2014"
"3D6.000AC9D33B","WHW11189.BCA","BO4 - Bonneville WA Ladder Slots","7/27/2014 5:35:38 AM","7/27/2014 5:57:29 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","7/8/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","CAMP2C - Camp Creek, Middle Fork John Day River","1","07/27/2014"
"3D6.000AC9D579","OJD11193.8CA","BO2 - Bonneville Cascades Is. Ladder","7/28/2014 2:03:58 PM","7/28/2014 2:13:25 PM","WEIR 45","WEIR 52","7/12/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/28/2014"
"3D6.000AC9D579","OJD11193.8CA","BO4 - Bonneville WA Ladder Slots","7/28/2014 4:15:26 PM","7/28/2014 4:20:39 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","7/12/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/28/2014"
"3D6.000AC9EA4D","OJD11206.QAA","BO3 - Bonneville WA Shore Ladder/AFF","7/27/2013 7:58:09 AM","7/27/2013 9:08:16 AM","WEIR 34","WEIR 59","7/25/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/27/2013"
"3D6.000AC9EA4D","OJD11206.QAA","BO4 - Bonneville WA Ladder Slots","7/27/2013 2:00:47 PM","7/27/2013 2:09:25 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","7/25/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/27/2013"
