"tag_code" "file"
"384.1B7969BC09" 1
"384.1B796A0243" 1
"384.1B796A025C" 1
"384.1B796A0332" 1
"384.1B796A043C" 1
"384.1B796A0443" 1
"384.1B796A044C" 1
"384.1B796A0548" 1
"384.1B796A0568" 1
"384.1B796A0620" 1
"384.1B796A0627" 1
"384.1B796A0673" 1
"384.1B796A06E6" 1
"384.1B796A06FF" 1
"384.1B796A0722" 1
"384.1B796A076F" 1
"384.1B796A08AF" 1
"384.1B796A09F5" 1
"384.1B796A0B67" 1
"384.1B796A0BAB" 1
"384.1B796A0BB0" 1
"384.1B796A0C08" 1
"384.1B796A0C54" 1
"384.1B796A0CB8" 1
"384.1B796A0D44" 1
"384.1B796A0D89" 1
"384.1B796A0DBB" 1
"384.1B796A0F3B" 1
"384.1B796A0F4E" 1
"384.1B796A10D0" 1
"384.1B796A112E" 1
"384.1B796A117E" 1
"384.1B796A125F" 1
"384.1B796A1267" 1
"384.1B796A1269" 1
"384.1B796A12C3" 1
"384.1B796A1326" 1
"384.1B796A13E7" 1
"384.1B796A1406" 1
"384.1B796A1444" 1
"384.1B796A1594" 1
"384.1B796A15C3" 1
"384.1B796A1628" 1
"384.1B796A1790" 1
"384.1B796A1794" 1
"384.1B796A17B8" 1
"384.1B796A17F9" 1
"384.1B796A1844" 1
"384.1B796A1950" 1
"384.1B796A1A13" 1
"384.1B796A1A8D" 1
"384.1B796A1B9F" 1
"384.1B796A1BB5" 1
"384.1B796A1C83" 1
"384.1B796A1CE2" 1
"384.1B796A1DBC" 1
"384.1B796A1DCD" 1
"384.1B796A1DD9" 1
"384.1B796A1F25" 1
"384.1B796A1F36" 1
"384.1B796A1F4A" 1
"384.1B796A1F81" 1
"384.1B796A1FA4" 1
"384.1B796A2006" 1
"384.1B796A202D" 1
"384.1B796A20FB" 1
"384.1B796A2147" 1
"384.1B796A2254" 1
"384.1B796A2294" 1
"384.1B796A22A2" 1
"384.1B796A2327" 1
"384.1B796A2348" 1
"384.1B796A23F9" 1
"384.1B796A2422" 1
"384.1B796A253E" 1
"384.1B796A253F" 1
"384.1B796A25FB" 1
"384.1B796A2601" 1
"384.1B796A2610" 1
"384.1B796A2625" 1
"384.1B796A2640" 1
"384.1B796A264E" 1
"384.1B796A2673" 1
"384.1B796A270A" 1
"384.1B796A27E8" 1
"384.1B796A282F" 1
"384.1B796A283F" 1
"384.1B796A28BD" 1
"384.1B796A2918" 1
"384.1B796A29A1" 1
"384.1B796A2A13" 1
"384.1B796A2D25" 1
"384.1B796A2D59" 1
"384.1B796A2D6B" 1
"384.1B796A2D6D" 1
"384.1B796A2E77" 1
"384.1B796A2E85" 1
"384.1B796A2E8C" 1
"384.1B796A2EE3" 1
"384.1B796A2EF5" 1
"384.1B796A2F2B" 1
"384.1B796A2F83" 1
"384.1B796A3012" 1
"384.1B796A3018" 1
"384.1B796A3090" 1
"384.1B796A3096" 1
"384.1B796A30B7" 1
"384.1B796A310D" 1
"384.1B796A3145" 1
"384.1B796A3246" 1
"384.1B796A3269" 1
"384.1B796A32F2" 1
"384.1B796A342B" 1
"384.1B796A35AB" 1
"384.1B796A369B" 1
"384.1B796A379C" 1
"384.1B796A3889" 1
"384.1B796A3932" 1
"384.1B796A3AF8" 1
"384.1B796A3B53" 1
"384.1B796A3D09" 1
"384.1B796A3DCB" 1
"384.1B796A3E02" 1
"384.1B796A4C60" 1
"384.1B796A4C9F" 1
"384.1B796A4CB1" 1
