day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,184.600,121.600,110.104,140.775,151.046,136.608,135.929,102.079,115.092,169.604,117.604,209.875,146.288,146.779,112.454,129.800,259.833,167.950,170.533,139.083,142.904,126.050,169.267,158.158,140.263,135.017,178.896,118.942,143.083,89.550,127.742,214.033,351.183,142.813,197.446,166.313,139.054,119.621,122.608,139.892,125.083,200.542,138.029,146.258,133.754,117.254,170.663,177.488,186.763,121.504,197.933,148.713,161.463,167.488,135.708,118.296,167.783,197.663,115.011
2,162.900,125.100,118.842,135.208,145.825,168.450,120.125,102.067,139.121,170.688,124.638,206.675,114.592,139.000,148.779,118.342,260.463,161.663,173.646,147.679,194.000,123.254,147.467,122.617,118.221,128.179,173.692,130.525,135.129,90.396,128.046,205.050,390.458,147.154,189.754,192.658,135.958,114.767,114.038,123.142,131.567,206.992,130.346,159.421,141.679,105.854,151.329,117.675,220.050,120.983,192.500,151.071,176.783,181.692,132.275,121.492,144.704,181.454,127.044
3,171.200,118.900,108.863,136.425,124.125,143.271,136.813,161.925,163.475,201.346,168.296,204.067,147.842,139.125,227.658,133.192,277.850,143.167,164.700,137.088,209.033,126.183,131.396,159.900,163.988,149.958,163.042,150.267,145.867,108.321,169.500,218.333,369.033,150.888,212.404,205.813,136.454,109.296,120.063,132.992,161.271,206.871,154.200,133.163,178.446,116.488,199.267,150.692,190.838,118.967,191.263,150.567,167.292,192.467,134.954,123.908,131.713,185.338,135.806
4,183.400,118.000,125.663,117.979,143.267,139.942,130.875,181.763,176.788,198.763,158.288,188.050,168.696,167.325,216.738,131.538,258.438,179.433,177.163,164.313,191.854,131.404,124.025,177.729,136.163,182.146,173.854,144.079,145.458,97.979,140.621,230.875,356.471,149.808,212.829,202.075,137.321,114.117,109.350,161.104,167.383,176.271,178.350,145.858,175.346,121.363,189.958,165.954,185.663,122.275,203.988,148.304,175.929,186.729,123.046,120.767,148.375,191.488,133.150
5,180.700,124.600,134.175,127.379,128.817,153.650,136.538,142.142,181.175,192.792,127.338,190.746,177.154,167.046,218.429,139.346,237.146,187.558,191.513,224.221,190.825,124.400,139.538,169.638,163.504,172.408,205.317,125.158,156.638,121.958,138.846,230.958,332.650,180.850,198.746,190.888,133.575,125.579,112.263,171.771,165.438,177.225,188.454,147.575,172.000,129.563,143.458,151.492,183.433,126.042,179.100,147.729,202.592,192.496,159.117,122.654,184.679,201.817,125.289
6,181.100,140.300,138.071,132.708,142.946,155.000,138.558,145.071,165.654,140.455,152.529,189.183,177.379,164.171,179.363,144.533,211.592,188.575,240.771,216.675,180.342,117.133,158.379,162.913,172.000,152.104,185.767,144.467,178.146,125.483,149.175,232.979,316.467,210.304,204.088,211.654,128.896,126.350,115.875,165.529,165.296,153.254,191.888,151.558,183.613,147.758,136.621,138.729,169.333,145.667,178.979,148.008,189.613,174.929,132.608,117.800,183.042,185.242,123.917
7,171.500,141.600,136.513,144.683,235.129,146.338,140.050,185.146,135.725,167.342,170.892,233.150,159.779,167.163,118.042,154.046,240.671,192.117,300.846,220.142,181.125,133.767,180.267,180.075,201.250,144.742,204.529,171.883,178.575,110.546,142.983,230.350,304.488,182.208,203.833,187.850,138.288,139.771,117.813,183.825,151.433,163.296,170.050,143.808,204.910,168.829,142.221,125.446,161.708,150.408,189.817,142.321,190.729,149.867,136.479,114.788,184.450,180.717,121.717
8,163.800,126.700,136.508,135.054,232.513,155.854,139.300,128.125,166.467,168.363,173.433,264.775,173.067,161.429,121.875,188.171,218.550,187.654,249.417,220.429,210.371,140.242,200.625,181.438,207.275,172.446,197.679,169.892,181.642,126.725,111.992,237.417,290.750,158.583,213.775,199.783,130.875,131.471,132.163,151.796,161.829,154.125,173.925,167.171,206.842,132.663,131.917,128.321,174.525,148.171,189.788,148.821,182.342,190.696,157.917,114.821,177.963,191.213,119.728
9,188.500,129.900,132.508,141.008,234.854,132.938,125.221,118.329,202.442,175.513,191.529,230.504,125.817,137.042,150.967,200.263,230.488,196.813,209.283,227.325,210.225,126.142,198.688,154.783,200.221,180.321,192.942,165.546,173.329,98.392,144.058,240.863,286.333,189.075,239.758,214.933,129.333,157.129,141.454,155.167,122.733,163.058,172.942,175.617,197.125,139.850,162.146,138.963,207.725,152.096,184.967,136.408,168.513,198.571,156.842,131.754,184.996,185.083,147.144
10,169.900,114.000,126.363,143.208,252.833,106.021,122.892,139.096,175.188,179.942,203.375,221.021,120.313,158.008,185.392,217.904,221.558,196.088,214.779,223.688,209.254,147.150,179.467,155.888,222.400,170.233,196.708,154.358,169.850,113.329,136.533,204.675,297.596,190.313,218.350,227.817,127.742,175.217,122.150,113.225,139.988,184.313,178.917,150.796,189.654,119.500,152.588,137.867,189.071,145.513,196.388,136.188,170.233,187.625,152.933,157.808,170.621,184.583,131.933
