day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,117.200,0.0,0.0,3.425,17.892,1.571,0.0,0.0,0.0,25.800,5.042,67.896,14.483,16.967,0.0,0.0,113.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.463,0.0,0.0,0.0,0.0,0.0,0.0,0.700,1.121,0.546,0.517,0.558,0.538,0.558,0.521,0.500,1.100,0.479,0.458,0.479,1.075,0.513,0.963,0.546,0.492,0.538,0.756
2,97.900,0.0,0.0,0.0,17.367,28.850,0.0,0.0,11.588,30.613,1.733,64.954,0.0,8.863,19.633,0.0,114.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.458,0.0,0.0,0.0,0.0,0.0,0.0,0.779,1.146,0.546,5.071,0.525,0.525,0.558,0.521,0.638,1.100,0.479,0.458,0.521,1.046,0.483,1.025,0.525,0.483,0.529,0.761
3,105.900,0.0,0.0,0.0,0.0,6.871,0.0,21.163,24.996,57.363,28.308,63.021,13.804,8.038,83.467,0.0,131.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.613,0.0,0.0,0.0,0.0,0.0,0.0,0.792,1.100,0.567,0.508,0.475,0.479,0.579,0.696,0.496,1.088,0.479,0.458,0.488,0.971,0.500,1.050,0.525,0.483,0.525,0.756
4,117.100,0.0,0.0,0.0,8.371,4.583,0.0,39.008,35.533,54.263,20.200,49.504,29.542,35.092,72.708,0.0,112.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.554,0.0,0.0,0.0,129.058,0.0,0.0,0.0,0.0,0.0,0.0,0.821,1.121,0.525,0.558,0.571,0.538,0.571,0.696,0.479,1.088,0.479,0.458,0.479,1.025,0.513,0.963,0.500,0.479,0.525,0.744
5,113.500,0.0,0.0,0.0,0.0,15.933,0.0,0.0,39.396,48.700,4.113,50.188,40.238,33.442,81.854,7.042,95.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.783,0.0,0.0,0.0,92.338,0.0,0.0,0.0,0.0,0.0,0.042,0.713,1.029,0.521,8.663,0.513,0.538,0.567,0.704,0.500,1.079,0.479,0.458,0.500,1.017,0.492,0.963,0.529,0.483,0.521,0.756
6,114.900,0.0,0.0,0.0,1.433,17.688,0.0,6.646,24.292,5.659,24.079,48.033,37.429,26.408,47.496,9.963,78.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.871,0.0,0.0,0.0,125.196,0.0,0.0,0.0,0.0,0.0,0.0,0.721,0.979,0.475,2.629,0.542,0.483,0.538,0.708,0.479,1.092,0.483,0.458,0.488,0.988,0.492,1.008,0.529,0.488,0.558,0.700
7,106.800,0.0,0.0,9.863,89.325,11.363,0.0,40.400,0.0,29.750,43.208,91.692,23.783,30.796,5.863,18.483,107.179,0.0,14.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.746,0.0,0.0,0.0,104.550,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.975,0.525,0.563,0.521,0.508,0.542,0.550,0.508,1.100,0.479,0.458,0.483,1.004,0.504,1.013,0.529,0.483,0.525,0.700
8,98.700,0.0,0.0,0.0,85.667,16.621,0.0,0.0,28.675,29.300,44.438,120.888,33.550,24.417,12.458,47.296,87.754,0.0,0.0,0.0,3.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.883,0.0,0.0,21.108,94.704,0.0,8.113,0.0,0.0,0.0,0.0,0.546,1.054,0.525,0.500,0.525,0.529,0.529,0.546,0.475,1.100,0.479,0.492,0.479,1.008,0.479,0.967,0.546,0.483,0.525,0.706
9,123.700,0.0,0.0,6.808,95.504,6.233,0.0,0.0,61.425,33.688,52.638,87.021,0.0,0.288,33.783,59.675,98.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.871,0.0,0.0,26.446,123.075,0.0,19.179,0.0,0.0,0.0,0.0,0.667,0.988,0.608,0.529,0.525,0.842,0.550,0.525,0.479,1.100,0.479,0.483,0.483,0.963,0.500,0.963,0.525,0.483,0.525,0.733
10,106.200,0.0,0.0,5.708,105.463,0.0,0.0,0.0,37.421,37.017,62.583,78.513,0.0,19.908,61.450,75.325,88.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.863,0.0,0.0,0.0,124.204,0.0,1.496,0.0,0.0,0.0,0.0,0.592,0.992,0.558,0.533,0.525,1.013,0.529,0.525,0.483,1.100,0.492,0.492,0.504,0.967,0.504,0.963,0.546,0.483,0.483,0.744
11,89.300,0.0,0.0,0.0,56.746,0.0,0.0,13.892,34.063,46.392,22.763,57.954,0.0,53.696,46.167,51.704,74.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.300,0.0,0.0,52.346,87.829,0.0,0.0,0.0,0.0,0.0,0.0,0.600,0.954,0.525,0.492,0.571,1.004,0.538,0.513,1.508,1.100,0.483,0.488,0.504,1.004,0.479,0.967,0.525,0.488,0.525,0.794
12,95.300,0.0,0.0,0.0,53.771,0.0,0.0,60.196,39.563,20.679,0.0,57.663,23.183,54.696,27.225,32.633,60.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.513,0.0,0.0,69.121,88.108,0.0,0.0,0.0,0.0,0.0,0.0,0.804,0.963,13.146,0.546,0.525,0.992,0.525,0.758,0.479,1.100,0.513,0.454,0.492,0.963,3.317,0.971,0.525,0.483,0.517,0.761
13,110.700,0.0,0.0,2.288,4.000,0.0,19.208,30.263,4.638,15.529,24.483,60.825,18.288,56.721,25.992,14.417,88.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,8.483,0.0,0.0,61.908,66.379,0.0,0.0,0.0,0.0,0.0,0.0,0.758,1.054,36.763,0.588,0.525,1.017,0.538,0.708,0.479,1.100,0.483,0.504,0.508,0.738,2.175,0.963,0.529,6.021,0.521,0.761
14,108.500,0.0,0.0,0.0,2.817,19.742,37.704,29.846,1.675,0.0,54.463,74.642,10.196,50.104,4.338,21.829,88.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.467,0.0,0.0,68.279,75.683,0.0,0.0,0.0,0.0,0.0,0.0,0.854,1.046,23.817,1.079,0.526,10.546,0.538,0.525,0.492,1.079,0.483,0.483,0.475,1.058,0.504,0.963,0.525,5.042,0.867,0.761
