day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,4.248,,,,,,,,,,,,,,,,
54,,,,4.240,,,,,,,,,,,,,,,,
55,,,,4.208,,,,,,,,,,,,,,,,
56,,2.403,,4.148,,,5.575,,,,,,,,,,,,,
57,,4.463,,4.210,,,5.676,,,,,,,,,,,,,
58,,4.551,,4.302,5.110,,5.850,,,,,,,,,,,,,
59,,4.646,3.513,4.318,5.154,,5.988,,,,,,,,,,,,,
60,,4.716,3.562,4.295,5.264,,6.125,,10.963,,,,,3.849,,,,,,
61,,4.867,3.784,4.331,5.311,,6.204,,,,,,,3.847,,,,,,
62,,4.865,3.873,4.510,5.332,,6.182,,,,,,,4.011,,,,,,
63,,4.914,4.021,4.723,5.296,,6.324,,,,,,,4.115,,,,,,
64,,4.991,4.296,4.874,5.285,,6.394,,,,,,,4.045,4.017,,,,,
65,,5.089,4.476,5.016,5.320,,6.407,,,,,,,4.125,4.038,,,,,
66,,5.221,4.587,5.123,5.269,,6.484,,14.010,,,,,4.240,4.182,,,,,
67,,5.453,4.800,5.143,5.252,,6.545,,5.153,,,,,4.304,4.235,,,,,
68,,5.682,4.776,5.190,5.354,,6.470,,5.092,,,,,4.478,4.424,,,,,
