day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,65.300,31.600,26.025,40.321,35.879,21.746,36.846,30.250,41.525,42.442,28.175,47.288,20.758,40.592,31.938,19.004,68.596,32.796,40.504,56.096,65.996,26.650,29.900,26.204,25.775,21.508,32.029,18.842,19.504,18.979,20.950,54.571,174.296,23.438,57.721,20.500,18.850,17.496,12.300,14.954,23.246,64.308,30.379,23.167,18.421,24.563,23.421,30.538,20.067,19.242,27.933,21.054,20.088,54.200,19.988,16.271,24.450,27.533,30.383
2,60.700,31.400,20.283,39.496,35.988,29.938,32.708,30.679,39.046,43.850,28.292,47.542,16.033,43.683,37.367,22.417,64.415,40.658,44.067,51.208,35.921,23.729,41.958,28.088,27.242,19.433,31.092,17.158,17.592,16.583,17.463,58.129,228.963,27.813,53.258,21.879,42.258,21.238,17.229,17.600,24.188,76.258,29.013,26.058,25.742,17.613,31.342,29.933,35.371,18.629,29.671,23.663,17.458,48.017,25.096,26.250,26.438,17.067,47.156
3,51.900,31.100,23.638,37.654,38.413,25.675,35.071,36.608,43.717,52.538,28.213,49.233,34.571,38.563,37.542,26.000,62.825,40.850,48.604,65.675,38.233,28.071,39.079,20.529,30.192,24.508,34.679,25.254,18.275,17.758,19.950,64.650,206.415,28.496,39.275,27.500,13.096,19.050,20.371,19.729,26.688,62.179,35.050,20.067,33.313,20.792,39.771,33.946,26.138,20.800,24.858,26.096,23.521,43.675,25.629,25.442,21.592,19.175,20.739
4,54.900,33.100,23.904,38.483,40.608,28.033,31.813,46.508,43.238,44.029,28.033,54.338,34.704,44.863,40.817,35.383,59.900,45.904,46.596,55.617,32.525,37.713,25.171,27.854,13.871,21.554,28.088,28.213,22.192,19.054,18.775,68.050,181.588,26.271,38.775,32.467,9.358,26.800,19.975,19.850,17.329,55.821,30.900,20.829,25.875,23.925,39.638,38.029,24.538,22.704,27.217,22.425,21.154,38.579,24.333,25.379,28.413,24.954,18.844
5,54.500,34.000,25.017,42.013,40.346,29.288,37.650,32.471,40.854,48.467,30.971,55.113,39.413,42.275,44.129,25.438,60.346,40.317,45.496,56.617,54.775,28.083,31.421,31.100,21.471,23.225,32.713,19.075,21.996,22.208,17.400,58.054,148.350,24.204,36.842,27.663,18.154,24.746,16.992,25.363,23.283,39.242,37.200,17.554,25.629,26.083,23.733,26.979,20.842,15.196,21.429,22.517,27.738,38.438,21.008,24.242,35.204,21.700,17.661
6,54.500,33.000,24.163,39.783,47.267,21.775,40.917,35.188,30.633,43.545,33.771,57.246,40.504,43.908,26.529,14.504,54.108,40.821,59.004,76.638,28.679,30.179,41.308,22.733,24.229,24.492,25.100,17.354,20.817,27.204,15.367,49.667,106.279,30.721,43.629,39.367,10.329,28.638,21.458,31.646,24.217,42.896,33.429,29.338,25.283,32.108,15.517,25.504,13.338,22.475,37.758,27.246,26.154,38.892,18.375,22.258,31.746,18.742,23.500
7,54.900,35.000,24.088,41.742,32.046,27.408,30.404,42.458,29.729,40.292,37.029,51.810,39.733,47.513,34.446,21.750,55.058,45.538,70.338,64.288,28.788,29.608,45.092,30.467,23.629,22.071,34.096,22.917,21.138,22.204,18.996,55.742,76.867,32.350,42.538,31.025,13.396,25.508,19.475,25.579,34.238,42.346,40.413,22.088,26.288,35.621,27.833,22.425,23.600,28.971,32.329,26.646,22.750,40.296,24.313,19.858,28.179,22.158,24.861
8,56.500,38.600,29.654,35.108,102.596,28.033,34.304,29.679,36.071,43.808,36.258,49.738,33.792,36.779,48.150,31.596,59.971,38.704,66.929,61.367,49.608,28.971,39.504,29.242,20.333,21.100,30.392,24.592,15.196,25.163,21.392,58.533,82.217,32.725,51.633,30.467,17.754,32.188,17.400,21.642,14.154,27.083,28.796,25.063,44.856,30.779,31.504,22.767,31.208,20.429,41.542,25.546,22.217,42.442,23.775,22.825,27.892,26.604,26.594
9,57.000,41.500,30.596,40.779,100.371,21.017,30.817,29.163,36.471,43.488,37.071,45.833,17.642,45.142,41.013,39.650,53.833,35.600,85.092,69.117,49.829,33.121,27.471,26.071,40.967,25.429,27.129,20.172,16.846,21.733,25.204,53.563,88.933,32.950,47.196,42.279,11.238,39.313,19.775,24.175,9.100,33.938,42.071,26.058,72.300,30.321,24.325,26.733,27.025,18.946,37.567,23.550,20.679,41.158,23.900,19.008,26.488,27.896,30.322
10,67.200,42.100,28.846,30.913,84.133,21.954,24.308,33.729,35.342,43.483,37.796,49.933,24.225,48.604,48.200,45.883,42.488,36.438,84.817,62.192,57.688,34.646,21.467,19.954,30.081,37.958,28.867,30.624,15.225,24.138,16.925,52.408,100.513,33.463,49.242,32.579,18.925,44.079,19.329,12.917,22.513,40.525,28.921,27.000,50.658,29.875,32.117,25.988,21.200,15.383,33.113,26.204,26.246,44.971,20.850,25.188,25.104,24.946,23.944
11,66.400,37.900,26.142,30.967,78.558,26.254,42.529,37.871,33.538,48.129,36.867,54.629,28.921,47.850,30.688,48.500,22.733,32.288,70.115,61.463,56.396,26.167,24.492,24.996,17.483,30.625,31.288,35.638,28.371,20.917,25.508,61.513,81.321,32.008,50.767,36.438,17.346,28.213,18.267,17.679,18.071,56.875,44.563,16.838,47.425,19.800,36.263,26.388,33.950,18.617,37.333,27.946,32.517,51.646,23.050,20.588,26.617,26.533,28.483
12,58.400,37.400,28.254,29.863,66.717,30.754,43.075,33.250,34.296,36.079,38.208,55.300,31.542,47.621,20.825,38.896,30.817,40.388,68.875,59.138,35.379,33.254,32.069,23.883,28.192,27.179,29.563,24.883,27.879,26.371,42.933,65.167,86.683,31.346,55.896,39.813,10.333,29.746,13.846,32.050,15.983,47.625,42.525,33.646,38.021,28.567,27.429,30.679,31.571,22.421,31.825,22.288,26.883,54.375,19.692,22.317,29.092,25.571,25.256
13,58.300,34.100,28.792,31.275,63.675,30.275,43.358,39.954,43.483,42.296,37.446,59.175,27.554,47.279,23.750,21.288,44.458,43.692,71.679,60.333,35.033,27.792,34.371,31.388,35.517,25.075,33.113,21.158,29.908,23.658,38.275,59.708,82.496,28.021,51.288,40.771,20.933,27.992,15.800,22.075,27.038,50.338,36.367,21.988,46.896,25.529,33.963,25.050,17.446,26.379,29.754,19.025,23.763,59.958,16.879,23.779,31.350,27.888,26.422
14,51.800,35.600,28.958,29.900,58.650,32.504,43.350,28.729,52.946,41.496,37.475,44.392,29.810,52.571,11.492,16.942,50.283,42.300,66.363,53.213,53.550,27.067,36.983,23.204,30.163,21.742,39.729,26.125,19.858,25.138,49.204,53.038,78.046,33.800,58.279,34.975,12.550,21.683,20.404,22.183,40.775,52.329,34.808,25.554,48.142,21.333,30.475,17.988,34.933,25.917,28.988,25.875,31.525,65.938,17.642,27.417,38.029,29.958,27.000
