day,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,148.950,113.729,103.879,97.004,100.450,137.871,96.833,182.204,134.588,119.383,104.833,114.000,264.575,142.342,165.421,117.183,147.117,116.592,147.654,159.188,137.171,121.971,164.379,113.575,146.125,76.092,122.696,184.429,276.288,143.558,180.775,164.425,123.204,118.204,109.533,122.504,128.667,170.771,115.671,141.017,105.946,104.563,149.821,145.308,177.992,106.517,186.946,135.558,151.650,143.600,122.258,118.329,145.696,188.425,101.078
2,,119.975,147.521,119.396,95.792,134.621,179.350,141.475,200.021,99.308,125.475,159.792,123.600,265.592,165.025,156.388,147.325,190.525,123.488,145.504,132.779,109.383,141.346,164.296,126.633,134.450,90.875,121.788,194.483,317.513,130.092,170.150,183.029,113.975,107.158,100.496,110.642,115.542,186.913,114.129,138.321,109.488,89.179,135.996,113.829,198.054,114.642,176.804,140.942,161.421,168.896,123.788,105.463,133.467,173.579,120.833
3,,121.992,160.717,122.500,168.158,150.283,201.067,160.371,196.767,147.621,144.529,236.804,124.404,271.146,132.246,157.246,121.342,187.579,112.658,120.475,143.238,163.375,149.225,146.900,150.483,133.996,82.488,155.008,208.746,309.467,143.013,199.492,207.125,141.167,115.292,98.429,132.779,153.254,185.646,116.242,124.604,147.592,97.263,175.633,136.888,190.996,116.675,169.725,143.408,166.738,175.954,115.800,109.913,99.267,166.333,137.289
4,,141.033,132.113,118.696,149.596,187.271,189.038,132.833,167.700,160.333,166.442,235.400,131.675,245.875,166.792,173.242,152.321,184.446,130.058,117.813,187.825,133.475,168.404,193.471,142.517,155.988,81.946,143.633,218.642,307.913,142.483,193.200,179.488,144.221,116.913,94.063,120.546,156.013,158.142,141.029,140.838,155.454,108.854,174.338,153.221,172.329,115.213,193.975,152.092,165.942,177.233,112.604,108.271,126.633,188.942,120.639
5,,118.017,132.467,131.504,149.842,166.996,159.879,104.658,163.433,180.096,152.504,224.679,141.629,224.596,187.300,172.942,185.938,184.938,109.925,130.817,171.675,163.513,167.200,186.138,124.475,171.150,108.950,143.271,224.321,319.713,169.433,191.225,178.850,129.900,135.783,90.454,172.913,154.896,155.842,161.121,147.658,153.488,114.200,137.421,126.946,177.163,113.233,167.292,141.488,192.450,172.421,140.342,110.179,148.696,194.217,116.433
6,,139.625,148.000,134.925,140.796,132.692,120.664,139.767,173.038,150.692,151.704,186.288,130.992,218.546,181.292,193.388,182.954,158.938,112.433,144.867,148.492,167.092,148.017,188.042,143.863,182.883,114.958,142.483,215.592,302.617,201.958,200.892,204.746,123.500,133.250,104.379,181.450,177.467,148.154,143.083,132.904,159.683,123.863,128.517,137.083,156.167,139.238,148.846,142.233,183.954,163.688,119.508,109.546,165.104,170.046,133.494
7,,195.538,139.967,140.988,164.171,137.892,146.050,160.117,229.325,164.967,166.554,94.063,160.404,224.804,181.888,232.546,198.542,185.708,127.879,179.758,188.563,191.325,126.329,194.542,173.679,183.538,104.717,143.929,213.279,263.221,159.958,198.783,195.846,127.263,122.517,105.104,175.454,160.983,145.863,151.542,134.913,166.258,138.233,127.783,104.138,149.500,146.646,178.013,135.833,188.667,140.271,120.417,103.408,165.925,161.058,111.144
8,,198.079,142.404,132.650,118.779,177.504,173.188,153.029,235.267,150.233,134.129,141.992,177.604,221.033,184.000,190.017,188.225,197.596,135.029,197.513,175.363,214.721,137.392,192.608,166.338,189.050,120.379,97.963,232.008,272.704,179.671,210.288,172.996,139.283,98.338,122.525,161.579,165.363,132.975,144.308,163.500,151.846,126.496,125.350,105.921,167.400,137.650,181.925,140.321,178.204,182.450,142.379,111.538,166.292,159.921,112.717
9,,225.913,147.213,99.179,107.796,193.158,175.850,176.467,212.838,115.521,125.742,173.513,203.821,224.925,194.483,185.775,220.000,184.183,117.971,198.054,146.150,195.688,144.038,187.042,170.704,177.904,82.017,150.046,207.421,274.225,175.188,221.246,215.142,130.938,143.392,132.733,148.588,102.708,154.904,128.350,148.229,166.533,131.046,124.025,137.942,189.883,147.092,184.825,134.817,161.138,187.871,132.863,116.158,167.704,167.721,120.533
10,,236.908,116.233,106.479,125.904,169.954,164.971,183.525,213.017,115.358,143.742,177.213,207.733,224.988,181.238,159.021,205.088,217.492,143.433,174.550,148.042,215.538,139.058,191.983,156.192,157.575,115.367,131.846,222.504,278.721,193.388,212.679,208.283,111.621,147.429,117.396,103.471,142.492,126.754,161.417,141.658,166.708,99.917,142.250,132.575,176.717,139.717,185.579,122.729,163.150,170.992,141.629,145.563,155.104,167.863,135.344
