day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,4.881,5.082,3.159,4.120,5.248,5.010,5.692,4.581,6.249,5.519,4.642,4.943,6.550,5.995,6.062,4.716,3.003
2,,,,,,,,,,,,,4.833,4.969,3.125,4.086,5.109,4.933,5.429,4.475,5.887,5.290,4.634,4.789,6.468,5.974,5.999,4.309,2.976
3,,,,,,,,,,,,,4.829,4.850,3.038,4.080,4.962,4.902,5.201,4.457,5.478,5.014,4.654,4.633,6.347,6.014,5.804,3.914,2.947
4,,,,,,,,,,,,,4.733,4.741,3.025,4.070,4.895,4.933,5.087,4.476,4.977,4.739,4.477,4.527,6.201,6.030,5.622,3.507,2.902
5,,,,,,,,,,,,,4.558,4.688,3.144,4.087,4.738,5.021,5.032,4.475,4.646,4.440,4.275,4.505,6.080,6.035,5.462,3.111,2.956
6,,,,,,,,,,,,,4.450,4.544,3.405,4.105,4.613,5.037,4.982,4.447,4.549,4.146,3.980,4.471,6.001,6.027,5.375,2.822,3.002
7,,,,,,,,,,,,,4.487,4.412,3.684,4.057,4.540,5.030,4.972,4.415,4.408,3.890,3.546,4.403,5.888,6.007,5.393,2.749,3.076
8,,,,,,,,,,,,,4.556,4.380,3.877,3.958,4.426,5.048,4.940,4.323,4.258,3.705,3.151,4.298,5.741,5.943,5.434,2.732,3.166
9,,,,,,,,,,,,,4.564,4.354,3.877,3.933,4.287,5.076,4.922,4.236,4.248,3.623,2.863,4.145,5.638,5.862,5.440,2.716,3.268
10,,,,,,,,,,,,,4.425,4.241,3.879,3.974,4.057,5.104,4.865,4.191,4.285,3.650,2.581,4.065,5.587,5.781,5.446,2.695,3.334
11,,,,,,,,,,,,,4.270,4.168,3.973,3.994,3.776,4.968,4.770,4.162,4.312,3.678,2.284,4.116,5.534,5.710,5.442,2.713,3.389
12,,,,,,,,,,,,,4.133,4.145,4.127,4.045,3.617,4.748,4.676,4.141,4.353,3.672,1.902,4.251,5.432,5.660,5.485,2.790,3.408
13,,,,,,,,,,,,,4.095,4.166,4.180,4.066,3.605,4.550,4.588,4.245,4.479,3.680,1.572,4.391,5.295,5.610,5.569,2.882,3.462
14,,,,,,,,,,,,,3.987,4.187,4.116,4.047,3.618,,4.445,4.300,4.585,3.784,1.418,4.477,5.134,5.526,5.568,2.930,3.520
15,,,,,,,,,,,,,3.699,4.207,4.213,4.031,3.619,,4.307,4.332,4.610,3.957,1.413,4.545,5.000,5.360,5.558,2.983,3.550
16,,,,,,,,,,,,,3.462,4.253,4.475,4.071,3.650,,4.198,4.350,4.653,4.066,1.303,4.694,4.985,5.152,5.511,3.061,3.596
17,,,,,,,,,,,,,3.400,4.268,4.550,4.147,3.748,4.086,4.043,4.360,4.685,4.154,1.088,4.858,4.926,4.958,5.523,3.154,3.653
18,,,,,,,,,,,,,3.284,4.256,4.322,4.198,3.923,3.931,3.913,4.410,4.701,4.233,1.019,4.972,4.833,4.833,5.542,3.160,3.725
19,,,,,,,,,,,,,3.010,4.179,4.007,4.224,3.992,3.625,3.715,4.448,4.740,4.289,1.107,5.024,4.767,4.648,5.518,3.156,3.931
20,,,,,,,,,,,,,2.698,4.103,3.781,4.186,3.981,3.402,3.500,4.474,4.807,4.368,1.099,5.053,4.733,4.446,5.468,3.254,3.970
21,,,,,,,,,,,,,2.499,3.866,3.690,4.152,4.251,3.241,3.325,4.517,4.810,4.458,1.080,5.029,4.733,4.267,5.435,3.332,3.956
22,,,,,,,,,,,,,2.369,3.733,3.589,4.092,4.585,3.090,3.161,4.468,4.746,4.520,1.060,4.982,4.760,4.087,5.396,3.349,3.975
23,,,,,,,,,,,,,2.340,3.538,3.416,4.124,4.844,2.960,3.018,4.374,4.712,4.584,1.116,4.941,4.837,3.958,5.282,3.400,3.998
24,,,,,,,,,,,,,2.331,3.253,3.236,4.164,4.938,2.860,2.944,4.337,4.682,4.668,1.277,4.925,4.922,3.831,5.087,3.467,4.017
25,,,,,,,,,,,,,2.302,2.972,3.126,4.276,4.849,2.855,2.890,4.276,4.585,4.772,1.433,4.846,4.967,3.725,4.895,3.505,4.024
26,,,,,,,,,,,,,2.301,2.688,3.025,4.398,4.672,2.833,2.864,4.161,4.522,4.882,1.500,4.778,4.948,3.695,4.752,3.485,4.043
27,,,,,,,,,,,,,2.314,2.418,2.923,4.518,4.491,2.773,2.850,4.010,4.519,4.991,1.580,4.757,4.928,3.717,4.612,3.425,4.095
28,,,,,,,,,,,,,2.339,2.297,2.888,4.635,4.408,2.679,2.862,3.895,4.433,5.104,1.694,4.754,4.924,3.784,4.473,3.429,4.080
29,,,,,,,,,,,,,2.365,2.269,2.864,4.726,4.425,2.588,2.918,3.782,4.337,5.174,1.799,4.760,4.905,3.858,4.364,3.393,3.969
30,,,,,,,,,,,,,2.350,2.203,2.775,4.786,4.457,2.523,3.050,3.703,4.241,5.140,1.833,4.775,4.925,3.908,4.341,3.321,3.816
31,,,,,,,,,,,,,2.332,2.074,2.725,4.875,4.425,2.479,3.225,3.626,4.183,5.060,1.878,4.798,4.972,3.997,4.327,3.228,3.698
32,,,,,,,,,,,,,2.364,1.910,2.647,4.915,4.327,2.588,3.320,3.623,4.140,4.986,1.855,4.820,4.980,4.169,4.307,3.140,3.535
33,,,,,,,,,,,,,2.324,1.779,2.612,4.935,4.177,2.703,3.376,3.578,4.143,4.928,1.864,4.812,4.948,4.314,4.287,3.095,3.342
