day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,,4.973,4.294,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,4.793,4.217,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,4.694,4.010,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,4.580,3.916,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,4.736,3.683,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,4.767,3.613,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,4.692,3.623,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,4.625,3.557,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,4.534,3.511,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,4.469,3.515,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,4.396,3.379,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,4.167,3.333,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,4.002,3.414,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,3.579,3.348,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,3.345,3.192,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,3.309,3.185,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,3.248,3.129,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,3.337,3.074,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,3.423,2.929,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,3.487,2.960,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,3.549,3.153,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,3.628,3.402,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,3.870,3.631,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,4.078,3.818,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,4.272,3.950,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,4.290,3.963,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,4.391,4.028,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,4.461,4.097,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,4.556,4.191,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,4.619,4.270,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,4.642,4.292,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,4.539,4.333,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,4.413,4.294,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,4.382,4.251,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,4.552,4.293,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,4.890,4.326,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,4.904,4.362,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,4.932,4.270,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,4.986,4.298,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,5.019,4.278,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,4.953,4.367,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,5.097,4.408,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,5.437,4.539,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,5.723,4.528,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,5.943,4.644,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,6.021,4.751,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,6.077,4.844,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,6.214,4.901,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,6.234,4.824,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,5.984,4.955,,,,7.560,,,
51,,,,,,,,,,,,,,,,,,,,,6.053,4.983,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,5.960,5.120,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,5.819,5.276,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,5.874,5.394,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,5.658,5.362,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,5.468,5.576,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,5.369,5.549,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,5.175,5.695,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,5.113,5.693,,,,,,,
60,,,,,4.442,,,,,,,,,,,,,4.414,,,5.282,5.689,,,,,,,
61,,,,,4.542,,,,,,,,,,,,,4.426,,,5.344,5.729,,,,,,,
62,,,,,4.500,,,,,,,,,,,,,4.432,,,5.363,5.669,,,,,,,
63,,,,,4.421,,,,,,,,,,,,,4.480,,,5.293,5.680,,,,,,,
64,,,,,4.463,,,,,,,,,,,,,4.588,,,5.396,5.670,,,,,,,
65,,,,,4.575,,,,,,,,,,,,,4.581,,,5.565,5.694,,,,,,,
66,,,,,4.487,,,,,,,,,,,,,4.516,,,5.886,5.727,,,,,,,
67,,,,,4.479,,,,,,,,,,,,3.537,4.534,,,6.292,5.818,,,,,,,
68,,,,,4.629,,,,,,,,,,,5.515,3.809,4.473,,,5.670,5.969,,,,,,,
69,,,,,4.767,,,,,,,,,,,5.448,4.154,4.638,,,6.154,6.230,,,,,,,
70,,,,,4.842,,,,,,,,,,,5.332,4.550,4.608,,,6.673,6.218,,,3.238,,,,
71,,,,,4.908,,,,,,,,,,,5.327,4.768,4.706,,,6.476,6.296,,,3.095,,,,
72,,,,,5.092,,,,,,,,,,,5.386,4.993,4.825,,,6.661,6.555,,,3.244,,,,
73,,,6.409,,5.200,,,,,,,,,,,5.405,5.163,4.996,,,6.851,6.628,,,3.469,,,,
74,,,6.108,,5.338,,,,,,,,,,,5.513,5.260,5.162,,,6.686,6.978,,,3.633,,,,
75,,,6.233,,5.604,,,,,,,,,,,6.351,5.334,5.347,,,6.435,6.938,6.182,,3.716,,,,
76,,,6.488,,5.813,,,,,,,,,,,6.082,5.396,5.467,,,6.479,6.947,6.345,,3.905,,,,
77,,,6.571,,6.025,,,,,,,,,,,6.261,5.385,5.653,5.561,6.028,6.536,7.001,6.348,,4.235,,,,
78,,,6.675,,6.592,,,,,5.992,,,,,,6.282,5.457,6.005,5.527,6.077,6.599,6.958,6.313,,4.668,,,,
79,,,6.817,,6.825,,6.129,,,6.167,,,7.577,,4.791,6.685,5.656,6.144,5.636,6.122,6.943,7.060,6.486,,4.945,,,,
80,,,7.508,,6.879,6.700,6.100,,,6.550,,,7.699,,4.773,6.901,5.835,6.108,5.709,6.108,7.650,7.450,6.884,,5.310,,,,
81,,,7.910,,6.817,6.896,6.329,,,6.725,,,7.663,,4.680,7.051,5.789,6.131,5.716,6.146,7.977,7.393,7.005,,5.270,,,,
82,,,8.042,,7.150,7.138,6.421,,,7.192,,5.401,7.457,,4.743,6.981,5.812,6.248,5.836,6.314,8.382,7.455,7.184,,5.625,,,6.490,5.817
83,,,7.846,,7.254,7.154,6.883,,,7.071,,5.921,7.477,,4.780,7.293,5.963,6.272,5.845,6.392,8.525,7.331,7.581,,6.064,,,6.373,5.569
84,,,7.867,8.008,7.267,7.600,6.650,,7.385,7.325,7.267,6.287,7.937,,4.877,7.704,6.226,6.117,6.080,6.606,8.575,7.386,7.778,,6.224,7.388,,6.744,5.510
85,,,7.975,7.875,7.242,7.212,6.579,5.250,7.400,7.879,7.325,6.557,8.041,,5.038,7.382,6.192,6.092,6.500,6.743,8.536,7.425,7.913,,6.735,7.300,,6.619,
86,,,8.088,7.867,7.242,7.092,6.804,5.321,7.400,7.896,7.553,6.654,8.332,,5.286,7.348,6.345,6.112,7.098,6.788,8.765,7.525,7.907,,6.995,7.340,,7.055,
87,,,7.887,8.050,7.271,7.233,6.900,5.237,7.692,7.917,7.695,6.782,8.133,6.116,5.595,7.797,6.595,6.123,7.271,6.773,8.864,7.906,7.980,,7.231,7.122,,7.042,5.947
88,,,7.895,8.075,7.492,7.125,6.917,5.117,7.896,8.117,7.550,7.034,7.702,6.039,5.875,7.875,6.900,6.339,7.286,6.875,9.099,8.153,8.035,7.070,7.431,7.193,,7.552,6.120
89,,,8.075,8.104,7.396,7.275,7.046,5.358,7.858,8.875,7.414,7.226,7.796,5.985,6.193,7.863,7.285,6.545,7.198,7.008,9.110,8.193,8.159,6.978,7.347,7.384,,7.511,6.340
90,,,7.900,8.092,7.267,7.737,7.159,5.958,7.562,8.704,7.281,7.344,7.929,5.921,6.470,7.993,7.622,7.036,7.791,7.103,9.288,8.172,8.168,7.087,7.258,7.570,,7.910,6.327
91,,,7.746,8.017,7.233,7.988,7.125,6.329,7.771,8.738,7.560,7.459,8.156,5.920,6.546,8.207,7.946,7.421,7.702,7.289,8.900,8.236,8.273,7.203,7.438,7.743,7.929,8.296,6.421
92,,,7.904,7.958,7.138,7.954,7.208,6.938,7.771,8.858,7.410,7.385,8.186,6.052,6.495,8.250,7.910,7.571,7.462,7.707,8.761,8.003,8.265,7.308,7.487,7.898,7.934,8.524,6.537
93,9.667,,8.025,7.904,7.167,8.263,7.338,7.213,7.637,9.233,7.403,7.330,8.107,6.273,6.400,8.220,7.629,7.659,7.476,7.766,9.118,8.531,8.205,7.388,7.861,8.063,7.690,8.569,6.616
94,9.221,7.955,8.046,7.900,7.025,9.296,7.621,7.814,7.396,9.100,7.703,7.425,8.188,6.465,6.296,8.205,7.488,7.843,7.449,7.872,9.464,8.788,8.091,7.581,7.891,8.115,7.888,8.641,6.764
95,9.013,9.240,8.096,7.975,7.209,9.021,7.767,7.146,7.527,8.939,7.543,7.568,8.125,6.680,6.354,8.416,7.577,7.943,8.077,7.922,9.351,8.719,8.284,7.922,8.148,8.015,8.366,8.555,6.805
96,9.538,9.533,8.057,8.258,7.321,8.846,7.625,7.173,8.096,9.037,7.536,7.763,8.103,6.715,6.467,8.323,7.188,7.718,8.547,7.946,9.382,8.864,8.463,8.390,8.485,7.963,8.486,8.492,6.537
97,9.917,9.212,8.257,8.396,7.850,8.738,7.575,7.250,8.238,9.504,7.820,7.757,8.233,6.897,6.465,8.326,6.922,7.504,9.043,7.890,9.347,9.206,8.464,8.745,8.721,8.263,8.515,8.484,6.896
98,9.308,9.567,8.500,8.592,7.858,9.363,7.600,7.658,8.254,9.667,7.754,8.213,8.470,6.928,6.754,8.313,7.068,7.494,9.252,8.296,9.513,9.370,8.550,8.584,8.987,8.212,8.442,8.421,6.928
99,9.596,10.433,8.629,8.925,7.988,9.437,7.658,7.742,7.871,9.742,7.894,8.381,8.840,6.924,6.940,8.309,7.383,7.626,9.270,8.747,9.309,9.736,8.602,8.637,9.088,8.340,8.690,8.416,6.981
100,10.286,9.504,8.714,9.050,8.075,9.542,7.846,7.804,7.937,10.017,8.023,8.375,8.962,7.086,7.286,8.367,7.222,7.679,9.308,8.693,9.244,10.337,8.583,8.984,8.648,8.669,8.971,8.277,7.421
101,10.196,9.800,8.661,9.175,7.992,9.608,8.000,8.171,8.079,10.925,8.177,8.491,9.112,7.233,7.716,8.636,7.214,7.820,9.228,8.804,9.123,10.501,8.498,9.400,8.098,8.985,9.131,7.955,7.699
102,10.417,10.129,8.706,9.271,8.338,9.617,8.004,8.321,8.304,10.938,8.353,8.832,9.298,7.514,8.027,8.869,7.362,8.148,9.160,9.005,9.015,10.501,8.476,9.224,7.928,9.103,9.195,7.839,7.729
103,10.613,10.129,8.768,9.435,8.425,9.313,8.000,8.429,8.479,11.108,8.607,9.146,9.335,7.496,8.360,8.941,7.698,8.355,8.923,9.110,8.949,10.142,8.636,9.028,7.883,9.181,9.081,7.839,7.874
104,10.596,9.750,8.839,9.546,8.646,9.437,8.188,8.625,8.475,10.925,8.773,9.188,9.902,7.976,8.259,8.848,7.957,8.714,8.595,9.443,8.993,10.423,8.566,9.174,7.871,9.498,9.018,7.801,7.959
105,10.457,9.858,8.873,9.475,8.858,9.796,9.208,8.583,8.992,11.171,8.805,9.160,10.421,8.136,8.255,9.079,8.117,9.307,8.233,9.499,9.105,10.713,8.620,9.379,8.072,10.023,8.970,7.827,8.156
106,,9.567,8.875,9.550,8.838,10.146,9.229,8.304,9.492,11.279,9.356,9.145,10.742,7.968,8.222,8.766,8.220,9.637,8.200,9.347,9.098,10.705,8.767,9.561,8.629,10.097,9.423,7.642,9.009
107,9.700,9.377,8.992,9.671,9.333,10.092,8.529,8.450,9.608,11.133,9.489,9.197,11.047,8.249,8.182,8.823,8.368,9.683,8.412,9.347,9.448,10.359,8.969,9.257,9.158,10.122,9.734,7.654,9.182
108,,,8.967,9.900,9.683,10.404,8.537,8.408,9.363,10.896,9.608,9.064,10.849,8.397,8.358,9.689,8.374,9.554,8.557,9.234,9.480,10.012,8.994,9.255,9.596,10.511,9.843,7.708,9.067
109,,9.583,9.087,9.892,9.630,9.921,8.883,7.950,9.583,10.808,9.672,8.845,10.599,8.289,8.246,10.516,8.406,9.494,8.579,9.214,9.888,9.900,9.353,9.710,9.784,10.667,9.912,8.040,8.692
110,7.920,9.844,9.342,10.238,9.746,9.729,9.313,7.796,9.900,10.971,9.787,8.928,10.356,8.512,8.078,10.765,8.440,9.474,8.656,9.196,10.651,9.981,9.641,10.088,9.929,10.694,9.762,8.157,8.316
111,7.946,9.892,9.448,10.954,9.954,9.975,9.483,7.804,9.425,11.046,9.975,9.187,10.328,8.913,8.222,10.430,8.904,9.388,8.900,8.921,10.744,10.011,9.739,10.115,10.196,10.533,9.926,8.328,8.277
112,7.896,10.721,9.661,10.379,10.321,10.587,9.050,8.067,9.250,11.046,10.216,9.335,10.178,8.773,8.900,10.516,8.815,9.112,8.925,8.894,10.745,10.237,9.898,10.008,10.784,10.083,10.245,8.358,8.256
113,7.871,10.774,9.433,10.688,10.183,10.779,9.263,8.350,9.454,10.888,10.478,9.680,10.308,8.351,9.339,11.075,8.604,9.384,8.876,8.871,10.745,10.884,10.379,10.090,11.021,10.275,10.399,8.342,8.696
114,7.896,10.875,9.250,10.679,10.142,11.054,10.146,8.658,9.621,10.800,10.135,10.202,10.698,8.467,9.504,11.524,8.876,9.825,8.998,9.178,10.781,11.403,10.416,10.414,10.631,10.352,10.833,8.394,9.096
115,7.875,10.374,9.600,10.838,9.896,10.975,12.338,8.792,9.600,10.588,10.235,10.474,10.840,8.580,9.494,11.895,9.021,10.569,8.899,9.488,10.980,11.660,10.561,11.011,10.257,10.290,11.096,8.579,9.108
116,7.908,10.221,9.688,11.463,9.900,10.921,11.896,8.946,9.642,11.408,10.675,10.467,10.944,8.818,9.438,12.158,9.165,11.214,8.859,9.797,11.048,11.638,10.642,11.299,10.312,10.424,11.397,8.544,8.816
117,7.880,10.300,9.775,12.267,10.138,11.173,11.721,9.275,10.129,11.413,11.022,10.364,10.953,8.778,9.195,12.369,9.113,11.380,9.285,9.812,11.077,11.227,10.786,11.519,10.343,10.811,11.575,8.789,9.200
118,,10.321,10.243,12.013,10.329,10.550,10.796,9.458,10.242,10.779,10.728,10.278,10.931,8.780,8.932,12.056,9.291,10.772,9.752,9.585,11.587,10.881,11.009,11.555,10.127,11.618,11.639,8.872,9.414
