day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,3.743,3.558,2.950,2.818,4.283,3.661,4.407,2.597,4.910,4.255,2.992,4.125,4.600,4.733,4.193,4.108,2.948
2,,,,,,,,,,,,,3.471,3.596,2.916,2.999,4.028,3.669,4.335,2.629,4.707,4.177,2.844,4.024,4.525,4.736,4.333,3.880,3.107
3,,,,,,,,,,,,,3.441,3.858,2.670,2.879,3.729,3.703,4.181,2.705,4.635,4.016,2.678,3.848,4.528,4.725,4.543,3.698,3.160
4,,,,,,,,,,,,,3.438,3.828,2.465,2.855,3.442,3.712,4.069,2.605,4.539,3.890,2.444,3.686,4.565,4.713,4.675,3.462,3.034
5,,,,,,,,,,,,,3.431,3.862,2.248,2.955,3.094,3.734,3.926,2.537,4.625,3.678,2.247,3.706,4.540,4.655,4.773,3.301,2.937
6,,,,,,,,,,,,,3.471,3.882,2.155,3.082,2.905,3.588,3.883,2.538,4.629,3.577,2.033,3.831,4.588,4.661,4.848,3.108,2.900
7,,,,,,,,,,,,,3.565,3.891,2.343,3.195,2.932,3.513,3.853,2.566,4.559,3.545,1.978,3.954,4.550,4.792,4.829,3.078,2.804
8,,,,,,,,,,,,,3.717,3.841,2.504,3.238,2.910,3.502,3.895,2.488,4.495,3.513,1.954,4.048,4.447,4.874,4.623,2.976,2.794
9,,,,,,,,,,,,,3.776,3.828,2.658,3.264,2.949,3.494,3.964,2.555,4.372,3.455,1.847,3.996,4.395,4.914,4.443,2.944,2.751
10,,,,,,,,,,,,,3.754,3.787,2.848,3.242,3.019,3.586,3.877,2.773,4.283,3.415,1.755,3.878,4.358,4.869,4.173,2.943,2.819
11,,,,,,,,,,,,,3.600,3.797,3.160,3.217,3.061,3.698,3.778,3.026,4.170,3.375,1.647,3.794,4.282,4.927,4.035,2.998,3.011
12,,,,,,,,,,,,,3.365,3.767,3.383,3.138,3.150,3.703,3.656,3.141,3.963,3.354,1.543,3.780,4.265,4.858,4.060,3.070,3.139
13,,,,,,,,,,,,,3.079,3.750,3.386,3.007,3.182,3.770,3.613,3.385,3.724,3.377,1.445,3.841,4.295,4.698,4.222,3.072,3.235
14,,,,,,,,,,,,,2.935,3.757,3.152,2.965,3.294,3.724,3.538,3.487,3.466,3.336,1.368,3.950,4.288,4.497,4.117,2.994,3.338
15,,,,,,,,,,,,,2.713,3.707,2.858,2.935,3.167,3.644,3.452,3.526,3.217,3.239,1.281,4.252,4.305,4.290,4.108,2.865,3.448
16,,,,,,,,,,,,,2.570,3.635,2.846,2.997,3.255,3.553,3.419,3.562,3.230,3.149,1.290,4.586,4.244,4.194,4.207,2.690,3.574
17,,,,,,,,,,,,,2.533,3.570,3.053,3.099,3.569,3.373,3.354,3.571,3.235,3.064,1.236,4.677,4.198,4.073,4.342,2.516,3.575
18,,,,,,,,,,,,,2.452,3.523,2.978,3.240,3.947,3.190,3.183,3.566,3.366,3.020,1.175,4.667,4.175,3.996,4.397,2.441,3.593
19,,,,,,,,,,,,,2.386,3.462,2.865,3.437,3.787,,3.038,3.555,3.442,2.905,1.083,4.600,4.191,3.985,4.394,2.539,3.626
20,,,,,,,,,,,,,2.423,3.363,2.876,3.631,3.768,2.810,2.899,3.573,3.503,2.962,0.962,4.525,4.132,3.975,4.386,2.777,3.678
21,,,,,,,,,,,,,2.386,3.149,2.931,3.683,3.857,2.744,2.757,3.603,3.583,3.136,0.920,4.558,4.062,3.995,4.345,2.955,3.616
22,,,,,,,,,,,,,2.430,3.145,3.024,3.703,3.805,2.692,2.579,3.615,3.699,3.413,0.879,4.625,3.930,4.013,4.311,3.105,3.561
23,,,,,,,,,,,,,2.495,3.140,3.154,3.739,3.753,2.705,2.594,3.557,3.838,3.607,1.008,4.592,3.954,4.069,4.247,3.170,3.499
24,,,,,,,,,,,,,2.464,3.066,3.303,3.682,3.683,2.683,2.601,3.446,4.034,3.843,1.298,4.458,3.824,4.136,4.197,3.163,3.422
25,,,,,,,,,,,,,2.311,2.983,3.378,3.680,3.619,2.793,2.595,3.362,4.196,3.974,1.590,4.250,3.792,4.176,4.148,3.166,3.428
26,,,,,,,,,,,,,2.145,2.865,3.310,3.665,3.503,2.846,2.662,3.246,4.347,3.968,1.784,4.121,3.827,4.230,4.043,3.265,3.575
27,,,,,,,,,,,,,2.005,2.631,2.987,3.743,3.378,2.815,2.685,3.178,4.449,4.004,1.745,4.196,3.858,4.267,3.965,3.418,3.704
