day,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,52.229,28.729,47.142,36.171,19.779,62.229,40.321,43.175,56.033,50.717,25.650,30.479,28.704,21.088,18.283,30.379,16.088,18.217,18.083,18.350,53.571,178.100,26.121,50.388,22.858,19.100,19.121,17.138,15.663,21.463,62.817,27.325,22.488,17.213,20.083,26.292,31.971,22.200,18.538,25.954,23.013,21.221,44.546,21.483,22.204,21.738,20.833,26.894
2,,53.150,21.892,44.958,45.183,24.367,65.079,39.325,42.175,52.721,43.329,21.646,36.808,24.575,21.638,19.458,28.146,16.517,16.788,14.896,15.871,56.763,213.438,24.783,48.646,21.079,14.213,18.033,14.563,17.263,20.013,73.863,26.621,22.450,22.242,15.950,27.117,28.704,27.025,19.642,23.938,23.350,16.983,42.388,21.133,22.075,26.696,21.150,31.439
3,,51.967,35.321,43.633,24.689,25.188,64.858,42.304,45.133,56.371,33.779,30.625,34.975,20.417,21.171,21.196,31.367,23.717,16.367,17.613,15.813,62.675,195.396,27.196,40.613,25.988,14.504,22.750,16.575,17.583,23.029,55.525,28.617,19.450,28.554,19.138,33.004,32.933,23.250,18.817,24.488,22.817,21.613,35.725,19.625,22.229,23.125,18.104,22.621
4,,53.054,38.525,43.708,34.767,31.908,65.575,47.117,45.871,50.783,46.471,37.742,27.125,24.900,26.908,21.967,29.050,25.788,19.550,18.658,18.783,66.679,171.779,26.358,36.321,30.433,16.200,25.567,20.688,18.725,18.875,52.546,31.621,24.113,25.475,22.742,28.054,30.713,21.925,22.675,28.229,20.546,22.242,38.204,19.533,22.208,28.433,19.663,26.389
5,,51.558,38.346,43.654,36.975,25.379,55.492,42.221,48.533,57.071,44.600,28.525,31.617,27.917,20.933,23.196,29.825,17.300,20.863,20.746,17.721,55.900,138.600,22.888,36.404,31.296,15.775,22.063,16.346,23.383,18.704,42.029,33.867,20.763,20.746,24.363,30.554,25.988,23.008,17.592,27.300,24.563,24.188,37.842,20.038,20.542,28.821,23.538,23.389
6,,52.538,35.908,43.529,39.833,15.304,51.854,38.725,56.525,62.417,41.500,29.821,38.104,25.742,23.325,23.529,26.379,17.475,20.567,26.754,15.308,51.308,105.696,28.083,39.000,29.996,15.113,27.850,21.183,30.725,24.396,44.296,31.225,24.721,27.517,30.067,24.796,24.054,16.921,18.733,31.242,26.592,25.688,36.542,19.108,20.558,29.729,20.513,24.989
7,,53.275,39.850,43.221,40.333,24.096,53.825,36.713,66.671,59.367,41.842,28.671,38.296,31.942,23.267,21.204,27.950,22.254,15.742,17.550,16.588,50.617,78.321,32.275,43.496,34.538,15.783,22.379,19.467,30.258,30.725,40.496,32.679,21.429,25.367,31.275,25.954,23.092,25.350,22.263,37.904,27.104,22.950,33.842,22.354,19.533,25.733,25.388,24.350
8,,45.688,29.954,42.300,53.583,37.925,54.563,43.721,76.204,61.292,49.725,28.596,33.354,28.017,22.350,20.833,28.154,22.225,15.804,25.700,20.196,54.679,80.358,30.225,48.392,30.454,15.892,33.354,18.033,21.846,14.696,29.308,31.000,27.150,46.283,30.200,25.933,26.750,30.746,20.521,38.708,26.571,21.546,39.967,21.096,22.917,24.804,24.642,26.694
9,,57.663,28.279,43.421,35.363,37.317,48.150,43.013,78.838,63.813,52.475,29.371,30.588,27.208,31.579,27.567,28.021,27.942,15.517,22.963,22.146,45.083,86.271,30.308,47.017,37.263,15.188,35.313,18.675,20.963,13.413,32.821,39.367,23.563,59.013,26.717,25.579,26.079,27.096,19.292,36.429,24.571,21.067,40.800,21.042,22.629,27.121,27.942,23.050
10,,47.650,27.179,50.296,39.063,39.579,37.813,37.833,85.654,57.492,44.242,26.908,32.317,16.908,26.871,29.254,26.075,23.206,14.629,23.200,19.121,61.063,91.621,33.213,43.904,28.342,17.079,38.271,19.133,20.708,21.663,39.325,30.400,25.313,44.138,26.758,30.396,24.300,22.658,15.496,33.479,23.463,29.100,46.750,22.350,23.633,24.238,24.129,24.861
11,,61.221,31.750,48.488,23.408,35.738,38.975,32.392,66.671,59.779,54.046,27.204,26.838,25.608,24.033,27.908,29.817,24.167,26.771,20.675,29.046,54.950,81.329,31.017,49.625,37.233,16.592,28.088,18.421,17.358,21.046,53.838,37.179,23.542,40.133,22.425,30.679,23.479,31.092,18.658,33.554,26.350,31.283,50.929,19.475,20.400,24.879,28.554,27.289
12,,55.063,34.392,48.275,29.879,37.825,40.225,45.046,74.479,57.208,37.675,28.638,34.550,26.679,37.079,25.454,29.488,19.383,27.579,23.746,33.758,56.563,83.500,25.825,53.125,37.488,20.929,29.575,14.758,24.838,21.358,44.404,39.775,26.938,36.888,26.946,29.092,24.717,29.329,24.413,30.883,23.733,26.204,50.150,20.771,20.913,26.992,25.158,26.983
13,,53.021,33.617,47.563,24.150,24.883,43.221,38.963,66.583,57.538,46.463,29.013,31.488,28.650,31.383,23.871,27.521,20.346,28.204,21.021,36.083,57.458,74.967,30.658,50.233,40.246,20.500,24.846,16.042,25.663,25.158,48.288,36.508,24.004,43.746,25.771,31.250,27.025,22.975,23.092,27.621,19.079,25.338,56.575,20.354,23.671,29.721,27.704,26.872
14,,47.396,35.663,51.208,22.363,23.588,50.550,34.733,61.808,61.075,51.042,25.313,29.588,21.871,31.175,21.150,31.454,23.517,19.071,23.288,41.642,56.058,66.738,29.575,55.163,33.883,15.700,19.629,17.179,23.867,35.804,43.038,37.600,21.896,45.142,22.263,29.325,22.442,27.367,24.900,31.917,25.738,25.938,52.896,20.650,22.658,33.004,25.004,28.011
15,,54.788,28.875,50.525,30.146,39.033,47.875,31.200,50.913,56.521,37.046,28.263,33.408,22.367,31.188,22.238,36.583,24.350,19.429,25.983,55.733,53.125,65.008,30.688,54.321,32.583,16.846,31.679,20.192,20.496,22.613,38.825,32.150,24.571,42.900,23.163,40.725,23.758,27.963,21.888,30.150,27.067,30.088,55.096,19.600,21.679,33.108,23.279,30.539
16,,69.250,24.888,52.013,37.992,40.221,45.046,33.633,45.400,55.358,49.458,29.242,40.606,20.829,29.038,24.633,43.717,22.154,18.583,20.621,51.167,59.096,71.225,31.838,63.350,35.250,19.471,25.717,20.946,24.271,20.250,42.558,34.858,25.308,41.971,25.058,49.471,20.300,25.313,23.183,30.413,24.425,29.263,49.442,19.392,21.192,31.550,26.588,27.556
17,,81.971,27.208,52.675,29.700,37.375,28.829,33.646,55.925,59.775,46.529,26.925,25.892,20.704,31.233,24.408,39.700,21.696,15.650,26.200,48.367,63.596,69.229,31.888,57.079,35.646,21.604,27.488,24.400,21.942,16.042,33.717,34.817,24.350,38.054,26.600,86.696,23.296,25.442,21.271,30.704,24.271,27.967,47.713,22.371,24.379,23.325,26.825,31.656
