day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,11.163,4.025,4.796,3.480,4.126,4.628,4.366,4.174,4.071,,,,,,,,,4.726,4.227,,,,,,,
2,,,,11.267,3.725,4.633,3.618,3.994,4.586,4.363,3.930,4.458,,,,,,,,,4.435,4.103,,,,,,,
3,,,,12.663,3.788,4.392,3.720,3.785,4.583,4.294,3.750,4.529,,,,,,,,,4.178,3.930,,,,,,,
4,,,,13.538,3.646,4.171,3.697,3.490,4.651,4.086,3.678,4.651,,,,,,,,,3.994,3.417,,,,,,,
5,,,,13.204,3.662,3.908,3.688,3.568,4.648,3.634,3.550,4.792,,,,,,,,,3.751,3.367,,,,,,,
6,,,,11.892,3.700,3.792,3.590,3.534,4.560,3.219,3.426,4.898,,,,,,,,,3.408,3.244,,,,,,,
7,,,,11.858,3.683,3.446,3.455,3.777,4.561,2.715,3.365,4.790,,,,,,,,,2.951,3.176,,,,,,,
8,,,,12.663,3.450,3.250,3.260,3.960,4.563,2.478,3.387,4.679,,,,,,,,,2.791,3.028,,,,,,,
9,,,,13.833,3.387,3.233,3.279,4.086,4.616,2.311,3.413,4.629,,,,,,,,,2.709,3.034,,,,,,,
10,,,,12.379,3.700,3.300,3.241,4.353,4.542,1.962,3.452,4.643,,,,,,,,,2.915,2.942,,,,,,,
11,,,,10.283,3.967,3.412,3.230,4.539,4.407,1.653,3.408,4.657,,,,,,,,,2.941,2.423,,,,,,,
12,,,,10.242,4.158,3.492,3.125,4.663,4.409,1.595,3.301,4.566,,,,,,,,,2.967,2.958,,,,,,,
13,,,,9.975,4.121,3.663,3.141,4.747,4.666,1.563,3.228,4.368,,,,,,,,,3.076,3.357,,,,,,,
14,,,,13.513,3.942,3.879,3.103,5.750,4.857,1.828,3.074,4.205,,,,,,,,,3.133,3.702,,,,,,,
15,,,,12.846,3.674,3.758,3.194,4.700,4.728,1.669,3.028,3.973,,,,,,,,,3.259,3.649,,,,,,,
16,,,,11.988,3.600,3.850,3.062,4.339,4.594,2.004,2.774,3.798,,,,,,,,,3.560,3.728,,,,,,,
17,,,,11.142,3.679,3.913,2.831,4.378,4.374,2.589,2.801,3.715,,,,,,,,,3.698,3.709,,,,,,,
18,,,,12.204,3.771,3.900,2.733,4.337,4.095,2.971,2.882,3.737,,,,,,,,,3.928,3.632,,,,,,,
19,,,,13.392,3.671,3.950,2.780,4.317,3.875,2.904,3.009,3.810,,,,,,,,,4.176,3.634,,,,,,,
20,,,,12.925,3.571,4.121,2.847,4.290,3.878,3.242,3.111,3.870,,,,,,,,,4.220,3.603,,,,,,,
21,,,,12.742,3.500,4.117,2.992,4.160,3.941,3.312,3.310,3.752,,,,,,,,,4.207,3.944,,,,,,,
22,,,,11.952,3.571,4.083,3.085,4.000,4.000,3.376,3.488,3.606,,,,,,,,,4.208,3.992,,,,,,,
23,,,,11.541,3.783,3.963,3.113,3.662,4.274,3.383,3.588,3.561,,,,,,,,,4.207,4.134,,,,,,,
24,,,,,3.779,3.892,3.083,3.788,4.339,3.415,3.833,3.599,,,,,,,,,4.280,4.239,,,,,,,
25,,,,,3.667,3.808,3.041,3.648,4.348,3.498,3.913,3.546,,,,,,,,,4.345,4.303,,,,,,,
26,,,,,3.525,3.833,3.052,3.622,4.374,3.553,3.935,3.371,,,,,,,,,4.387,4.259,,,,,,,
27,,,,11.800,3.358,3.779,3.092,3.645,4.368,3.616,4.155,3.250,,,,,,,,,4.278,4.271,,,,,,,
28,,,,10.179,3.229,3.613,3.035,3.496,4.388,3.812,4.300,3.162,,,,,,,,,4.177,4.279,,,,,,,
29,,,,11.871,3.074,3.517,3.192,3.351,4.538,3.993,4.383,3.076,,,,,,,,,4.362,4.233,,,,,,,
30,,,,11.217,3.000,3.604,3.295,3.336,4.900,3.997,4.416,3.078,,,,,,,2.529,,4.837,4.229,,,,,,,
31,,,,12.142,3.117,3.629,3.410,3.386,5.318,3.844,4.112,3.185,,,,,,,2.647,,4.891,4.183,,,,,,,
32,,,,11.608,3.267,3.588,3.397,3.461,5.264,3.669,4.100,3.340,,,,,,,2.903,,4.698,4.110,,,,,,,
33,,,,11.778,3.383,3.383,3.329,3.415,5.201,3.740,4.150,3.520,,,,,,,,,4.522,4.059,,,,,,,
34,,,,,3.400,2.979,3.285,3.187,5.479,3.918,4.264,3.730,,,,,,,,,4.459,4.130,,,,,,,
35,,,,12.254,3.458,2.921,3.298,2.831,5.443,4.074,4.389,4.065,,,,,,,,,4.414,4.172,,,,,,,
36,,,,12.225,3.521,3.208,3.191,2.713,5.272,4.078,4.475,4.346,,,,,,,,,4.303,4.127,,,,,,,
37,,,,11.800,3.644,3.783,3.131,2.661,5.177,3.967,4.558,4.415,,,,,,,,,4.262,4.163,,,,,,,
38,,,,12.071,,3.850,3.091,2.738,5.040,3.843,4.552,4.504,,,,,,,,,4.256,4.048,,,,,,,
39,,,,11.800,,3.800,3.038,2.836,5.003,3.612,4.491,4.496,,,,,,,,,4.357,4.072,,,,,,,
40,,,,12.258,,3.733,3.065,2.736,4.850,3.579,4.432,4.244,,,,,,,,,4.737,3.909,,,,,,,
41,,,,12.271,,3.713,3.071,2.733,4.770,3.540,4.295,4.018,,,,,,,,,5.333,3.997,,,,,,,
42,,,,11.817,,3.771,3.048,2.880,4.626,3.262,4.231,3.840,,,,,,,,,5.663,3.938,,,,,,,
43,,,,11.579,,3.867,3.048,2.996,4.454,3.177,4.053,3.719,,,,,,,,,5.772,3.948,,,,,,,
