day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,3.858,4.213,,3.400,4.105,4.633,4.298,4.266,3.977,4.043,3.925,2.134,3.203,3.590,3.485,4.375,2.892,4.879,4.056,2.852,4.251,4.443,4.736,3.985,3.784,3.424
2,,,,3.867,3.863,4.500,3.552,3.993,4.560,4.291,4.055,4.395,4.118,3.715,2.216,3.240,3.699,3.688,4.220,2.965,4.567,3.945,2.749,4.352,4.383,4.690,3.918,3.564,3.411
3,,,,3.700,3.900,4.404,3.618,3.855,4.536,4.246,3.905,4.504,4.164,3.459,2.283,3.178,3.748,4.032,4.179,2.945,4.324,3.718,2.684,3.950,4.440,4.633,3.976,3.380,3.325
4,,,,3.704,3.779,4.345,3.678,3.491,4.634,4.043,3.843,4.605,3.956,3.508,2.337,3.035,3.683,4.257,4.268,2.853,4.133,3.304,2.580,3.675,4.457,4.501,4.137,3.167,3.162
5,,,,3.767,3.754,4.067,3.711,3.446,4.615,3.658,3.706,4.761,3.802,3.529,2.509,2.817,3.311,4.218,4.210,2.752,3.874,3.182,2.426,3.694,4.416,4.341,4.146,2.931,3.269
6,,,,3.867,3.800,3.875,3.648,3.396,4.530,3.263,3.514,4.873,3.818,3.573,2.811,2.785,3.161,3.886,4.065,2.631,3.640,3.034,2.005,3.647,4.374,4.345,4.133,2.616,3.338
7,,,,3.883,3.808,3.604,3.507,3.642,4.523,2.827,3.392,4.807,3.805,3.523,2.979,2.791,2.967,3.751,3.980,2.620,3.074,2.919,1.894,3.603,4.284,4.508,4.149,2.411,3.400
8,,,,3.729,3.604,3.396,3.403,3.791,4.511,2.525,3.390,4.672,3.874,3.417,2.974,2.917,2.655,3.661,3.923,2.610,2.776,2.759,1.785,3.700,4.135,4.717,4.170,2.140,3.437
9,,,,3.608,3.504,3.342,3.344,3.919,4.538,2.366,3.393,4.614,3.849,3.318,2.618,3.164,2.553,3.563,3.870,2.742,2.934,2.575,1.778,3.778,4.094,4.819,4.408,2.039,3.497
10,,,,3.567,3.800,3.442,3.312,4.181,4.533,2.162,3.424,4.631,3.608,3.173,2.409,3.250,2.534,3.515,3.654,2.915,3.264,2.524,1.623,4.038,3.934,4.756,4.440,1.939,3.503
11,,,,3.383,4.054,3.546,3.270,4.446,4.425,1.914,3.395,4.655,3.503,3.213,2.940,3.268,2.458,3.504,3.439,3.089,3.245,2.611,1.503,4.440,3.718,4.784,4.357,2.150,3.479
12,,,,3.279,4.254,3.588,3.199,4.524,4.393,1.807,3.306,4.638,3.327,3.453,3.300,3.383,2.710,3.487,3.310,3.210,3.161,2.895,1.275,4.663,3.608,4.784,4.335,2.686,3.374
13,,,,3.213,4.271,3.754,3.153,4.603,4.555,1.892,3.225,4.473,3.153,3.711,2.952,3.377,3.010,3.352,3.194,3.295,3.156,3.293,1.147,4.648,3.611,4.619,4.418,2.895,3.276
