day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,4.000,,,,,,,,,,,,,,,,,5.140,4.300,,,,,,,
2,,,,4.004,,,,,,,,,,,,,,,,,4.967,4.181,,,,,,,
3,,,,3.992,,,,,,,,,,,,,,,,,4.658,4.029,,,,,,,
4,,,,4.000,,,,,,,,,,,,,,,,,4.368,3.913,,,,,,,
5,,,,4.000,,,,,,,,,,,,,,,,,4.283,3.774,,,,,,,
6,,,,4.083,,,,,,,,,,,,,,,,,4.362,3.772,,,,,,,
7,,,,4.154,,,,,,,,,,,,,,,,,4.345,3.757,,,,,,,
8,,,,4.108,,,,,,,,,,,,,,,,,4.370,3.743,,,,,,,
9,,,,4.025,,,,,,,,,,,,,,,,,4.462,3.763,,,,,,,
10,,,,3.963,,,,,,,,,,,,,,,,,4.400,3.829,,,,,,,
11,,,,3.688,,,,,,,,,,,,,,,,,4.354,3.712,,,,,,,
12,,,,3.367,,,,,,,,,,,,,,,,,4.272,3.571,,,,,,,
13,,,,3.142,,,,,,,,,,,,,,,,,4.220,3.626,,,,,,,
14,,,,3.054,,,,,,,,,,,,,,,,,4.143,3.611,,,,,,,
15,,,,2.967,,,,,,,,,,,,,,,,,4.137,3.509,,,,,,,
16,,,,2.846,,,,,,,,,,,,,,,,,4.041,3.507,,,,,,,
17,,,,2.921,,,,,,,,,,,,,,,,,3.898,3.494,,,,,,,
18,,,,3.046,,,,,,,,,,,,,,,,,3.738,3.504,,,,,,,
19,,,,3.138,,,,,,,,,,,,,,,,,3.474,3.559,,,,,,,
20,,,,3.142,,,,,,,,,,,,,,,,,3.229,3.504,,,,,,,
21,,,,3.075,,,,,,,,,,,,,,,,,3.046,3.497,,,,,,,
22,,,,3.100,,,,,,,,,,,,,,,,,3.063,3.494,,,,,,,
23,,,,3.100,,,,,,,,,,,,,,,,,3.060,3.464,,,,,,,
24,,,,3.133,,,,,,,,,,,,,,,,,3.121,3.396,,,,,,,
25,,,,3.250,,,,,,,,,,,,,,,,,3.209,3.353,,,,,,,
26,,,,3.462,,,,,,,,,,,,,,,,,3.390,3.544,,,,,,,
27,,,,3.500,,,,,,,,,,,,,,,,,3.680,3.737,,,,,,,
28,,,,3.454,,,,,,,,,,,,,,,,,3.884,3.962,,,,,,,
29,,,,3.388,,,,,,,,,,,,,,,,,3.998,4.086,,,,,,,
30,,,,3.304,,,,,,,,,,,,,,,,,4.106,4.138,,,,,,,
31,,,,3.363,,,,,,,,,,,,,,,,,4.165,4.123,,,,,,,
32,,,,3.458,,,,,,,,,,,,,,,,,4.138,4.163,,,,,,,
33,,,,3.596,,,,,,,,,,,,,,,,,4.235,4.214,,,,,,,
34,,,,3.658,,,,,,,,,,,,,,,,,4.311,4.259,,,,,,,
35,,,,3.733,,,,,,,,,,,,,,,,,4.405,4.301,,,,,,,
36,,,4.254,3.800,,,,,,,,,,,,,,,,,4.384,4.329,,,,,,,
37,,,3.942,,,,,,,,,,,,,,,,,,4.379,4.400,,,,,,,
38,,,3.800,3.967,,,,,,,,,,,,,,,,,4.470,4.377,,,,,,,
39,,,3.692,4.058,,,,,,,,,,,,,,,,,4.800,4.412,,,,,,,
40,,,3.608,4.183,,,,,,,,,,,,,,,,,5.146,4.489,,,,,,,
41,,,3.546,4.258,,,,,,,,,,,,,,,,,5.221,4.582,,,,,,,
42,,,3.479,4.333,,,,,,,,,,,,,,,,,5.250,4.579,,,,,,,
43,,,3.417,4.396,,,,,,,,,,,,,,,,,5.253,4.652,,,,,,,
44,,,3.404,4.329,,,,,,,,,,,,,,,,,5.258,4.647,,,,,,,
45,,,3.513,4.300,,,,,,,,,,,,,,,,,5.392,4.729,,,,,,,
46,,,3.613,4.300,,,,,,,,,,,,,,,,,5.702,4.869,,,,,,,
47,,,3.879,4.283,,,,,,,,,,,,,,,,,5.953,4.990,,,,,,,
48,,,4.175,4.300,,,,,,,,,,,,,,,,,6.056,5.227,,,,,,,
49,,,4.550,4.317,,,,,,,,,,,,,,,,,6.083,5.281,,,,,,,
50,,,4.821,4.382,,,,,,,,,,,,,,,,,6.107,5.289,,,,,,,
51,,,4.992,4.479,,,,,,,,,,,,,,,,,6.117,5.256,,,,,,,
52,,,5.117,4.554,,,,,,,,,,,,,,,,,6.191,5.166,,,,7.500,,,
53,,,5.075,4.654,,,,,,,,,,,,,,,,,6.122,5.177,,,,,,,
54,,,5.138,4.779,,,,,,,,,,,,,,,,,6.082,5.191,,,,,,,
55,,,5.183,4.558,,,,,,,,,,,,,,,,,5.955,5.230,,,,,,,
56,,,5.208,,,,,,,,,,,,,,,,,,5.908,5.449,,,,,,,
57,,,5.200,,,,,,,,,,,,,,,,,,6.033,5.619,,,,,,,
58,,,5.213,,,,,,,,,,,,,,,,,,5.978,5.794,,,,,,,
59,,,5.213,,,,,,,,,,,,,,,4.433,,,5.810,5.798,,,,,,,
60,,,5.179,,,,,,,,,,,,,,,4.446,,,5.767,5.813,,,,,,,
61,,,5.196,5.131,,,,,,,,,,,,,,4.488,,,5.537,5.840,,,,,,,
62,,,5.246,5.208,,,,,,,,,,,,,,4.475,,,5.472,5.831,,,,,,,
63,,,5.300,5.279,,,,,,,,,,,,,,4.521,,,5.324,5.943,,,,,,,
64,,,,5.408,,,,,,,,,,,,,,4.658,,,5.386,6.086,,,,,,,
65,,,,5.504,,,,,,,,,,,,,,4.742,,,4.753,6.564,,,,,,,
66,,,,5.613,,,,,,,,,,,,,,4.789,,,5.283,6.424,,,,,,,
67,,,,5.733,,,,,,,,,,,,,,4.876,,,4.251,6.293,,,,,,,
68,,,,5.788,,,,,,,,,,,,,4.000,4.889,,,4.257,6.192,,,,,,,
69,,,6.200,5.958,4.600,,,,,,,,,,,5.791,3.883,4.863,,,4.376,6.227,,,,,,,
70,,,6.204,6.126,4.700,,,,,,,,,,,5.846,3.996,4.954,5.202,,,6.291,,,,,,,
71,,,6.142,6.633,4.767,,,,,,,,,,,5.867,4.342,5.009,5.330,,,6.367,,,,,,,
72,,,6.279,6.986,4.892,,,,,,,,,,,5.863,4.643,5.006,5.493,,,6.521,,,3.098,,,,
73,,,6.267,6.321,5.025,,,,,,,,,,,5.787,4.913,5.055,5.533,,,6.466,,,3.109,,,,
74,,,6.171,6.446,5.217,,,,,,,,,,,5.775,5.222,5.000,5.554,,,6.658,5.856,,3.271,,,,
75,,,6.142,6.733,5.404,,,,,,,,,,,5.754,5.446,5.090,5.716,,,6.734,6.127,,3.397,,,,
