day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,3.669,3.935,2.961,2.938,3.881,3.935,4.401,2.552,5.309,4.303,3.385,3.663,4.665,4.385,4.302,4.389,2.612
2,,,,,,,,,,,,,3.774,3.953,2.942,2.895,3.887,3.859,4.308,2.548,5.163,4.203,3.135,3.490,4.478,4.375,4.418,4.293,2.491
3,,,,,,,,,,,,,3.953,3.875,2.789,2.772,3.751,3.719,4.193,2.385,4.866,4.041,2.969,3.552,4.434,4.433,4.560,4.008,2.598
4,,,,,,,,,,,,,3.912,3.787,2.678,2.676,3.605,3.619,4.096,2.206,4.601,3.988,2.573,3.703,4.434,4.534,4.473,3.905,2.572
5,,,,,,,,,,,,,3.800,3.713,2.546,2.601,3.520,3.644,4.010,2.146,4.533,3.866,2.405,3.809,4.388,4.586,4.380,3.810,2.666
6,,,,,,,,,,,,,3.693,3.603,2.651,2.583,3.485,3.587,3.975,2.116,4.578,3.833,2.012,3.816,4.318,4.668,4.458,3.678,2.777
7,,,,,,,,,,,,,3.484,3.532,2.893,2.620,3.418,3.583,3.952,2.185,4.570,3.788,1.888,3.756,4.205,4.870,4.560,3.645,2.847
8,,,,,,,,,,,,,3.460,3.454,2.932,2.688,3.310,3.660,3.919,2.294,4.567,3.806,1.711,3.742,4.104,4.874,4.608,3.552,3.007
9,,,,,,,,,,,,,3.575,3.467,2.849,2.643,3.176,3.680,3.915,2.405,4.648,3.840,1.631,3.789,4.129,4.801,4.720,3.526,3.086
10,,,,,,,,,,,,,3.779,3.481,2.842,2.643,2.995,3.694,3.839,2.561,4.650,3.863,1.477,3.898,4.176,4.710,4.768,3.450,3.133
11,,,,,,,,,,,,,3.745,3.552,2.638,2.699,2.785,3.554,3.738,2.761,4.569,3.779,1.135,4.038,4.160,4.712,4.820,3.339,3.156
12,,,,,,,,,,,,,3.698,3.491,2.594,2.765,2.696,3.396,3.607,2.794,4.509,3.707,1.089,4.101,4.176,4.645,4.912,3.247,3.142
13,,,,,,,,,,,,,3.595,3.485,2.662,2.918,2.651,3.270,3.544,2.995,4.535,3.679,1.130,4.061,4.173,4.476,5.023,3.152,3.141
14,,,,,,,,,,,,,3.458,3.498,2.939,3.043,2.781,3.198,3.466,3.073,4.526,3.670,1.215,3.987,4.265,4.305,4.827,3.043,3.131
15,,,,,,,,,,,,,3.227,3.466,3.187,3.151,3.006,3.082,3.390,3.143,4.465,3.654,1.130,3.999,4.357,4.183,4.595,2.998,3.108
16,,,,,,,,,,,,,3.025,3.390,3.262,3.268,3.445,3.014,3.326,3.168,4.425,3.644,1.009,4.038,4.337,4.115,4.461,2.999,3.137
17,,,,,,,,,,,,,2.903,3.343,3.163,3.349,3.748,2.980,3.263,3.196,4.275,3.599,0.808,4.124,4.293,4.077,4.467,3.092,3.234
18,,,,,,,,,,,,,2.784,3.273,2.975,3.367,3.720,3.023,3.205,3.223,4.132,3.631,0.809,4.345,4.268,4.045,4.379,3.118,3.355
19,,,,,,,,,,,,,2.688,3.240,2.750,3.364,3.840,3.002,3.197,3.264,3.856,3.658,0.968,4.568,4.280,4.022,4.260,3.147,3.520
20,,,,,,,,,,,,,2.698,3.140,2.648,3.340,3.923,3.036,3.163,3.289,3.553,3.608,1.090,4.679,4.232,3.928,4.183,3.088,3.551
21,,,,,,,,,,,,,2.571,2.820,2.729,3.321,3.768,3.037,3.096,3.264,3.462,3.584,1.094,4.689,4.230,3.850,4.182,3.003,3.591
22,,,,,,,,,,,,,2.603,2.690,2.761,3.291,3.688,2.913,3.023,3.236,3.492,3.579,1.128,4.634,4.194,3.745,4.237,2.869,3.601
23,,,,,,,,,,,,,2.642,2.643,2.680,3.365,3.839,2.848,3.022,3.183,3.509,3.536,1.307,4.563,4.295,3.798,4.240,2.782,3.586
24,,,,,,,,,,,,,2.661,2.515,2.607,3.412,3.903,2.720,2.874,3.190,3.526,3.512,1.470,4.459,4.333,3.847,4.243,2.794,3.557
25,,,,,,,,,,,,,2.658,2.320,2.570,3.573,3.830,2.797,2.818,3.217,3.590,3.531,1.383,4.263,4.320,3.863,4.280,2.928,3.617
26,,,,,,,,,,,,,2.888,2.208,2.520,3.694,3.792,2.815,2.776,3.203,3.723,3.678,1.268,4.242,4.275,3.897,4.283,3.000,3.744
27,,,,,,,,,,,,,2.805,2.176,2.582,3.783,3.723,2.758,2.769,3.224,3.895,3.855,1.248,4.193,4.209,3.948,4.255,3.069,3.831
28,,,3.415,,,,,,,,,,2.829,2.080,2.810,3.856,3.649,2.755,2.650,3.213,4.085,4.032,1.230,4.113,4.133,4.078,4.210,3.114,3.755
29,,,3.508,,,,,,,,,,2.759,2.173,2.975,3.935,3.588,2.888,2.604,3.256,4.256,4.161,1.294,4.035,4.058,4.140,4.230,3.135,3.424
30,,,3.842,,,,,,,,,,2.758,2.140,3.078,3.961,3.538,2.978,2.713,3.263,4.407,4.241,1.508,4.048,3.947,4.176,4.256,3.150,3.334
31,,,4.042,,,,,,,,,,2.661,2.284,3.102,3.986,3.401,2.993,2.858,3.244,4.491,4.247,1.738,4.075,3.871,4.344,4.269,3.228,3.355
32,,,4.029,,,,,,,,,,2.555,2.374,3.112,3.972,3.421,2.986,2.913,3.183,4.561,4.299,1.779,4.075,3.820,4.515,4.276,3.283,3.319
33,,,4.467,,,,,,,,,,2.388,2.326,3.153,3.998,3.481,2.973,2.965,3.145,4.600,4.333,1.727,4.083,3.850,4.449,4.304,3.335,3.348
34,,,5.113,,,,,,,,,,2.251,2.382,3.141,4.048,3.439,3.015,3.025,3.054,4.646,4.373,1.695,4.111,3.870,4.328,4.288,3.425,3.271
35,,,5.583,,,,,,,,,,2.223,2.430,3.073,4.102,3.467,2.875,3.106,2.833,4.665,4.432,1.726,4.296,3.811,4.235,4.267,3.431,3.268
36,,,4.838,,,,,,,,,,2.270,2.372,3.097,4.138,3.539,2.792,3.176,2.476,4.678,4.448,1.745,4.641,3.690,4.125,4.260,3.402,3.367
37,,,4.083,,,,,,,,,,2.213,2.355,3.062,4.113,3.595,2.699,3.198,2.375,4.626,4.500,1.939,4.844,3.514,4.020,4.300,3.405,3.597
38,,,3.908,,,,,,,,,,2.017,2.421,3.024,4.140,3.711,2.644,3.230,2.275,4.675,4.510,2.092,4.982,3.224,3.970,4.311,3.451,3.668
39,,,3.829,,,,,,,,,,2.113,2.428,2.996,4.186,3.799,2.675,3.274,2.111,4.905,4.565,2.295,5.128,3.083,4.212,4.295,3.525,3.726
40,,,3.838,,,,,,,,,,2.247,2.553,3.011,4.223,3.822,2.783,3.307,2.089,5.211,4.612,2.413,5.044,2.863,4.455,4.203,3.619,3.728
41,,,4.038,,,,,,,,,,2.293,2.646,2.873,4.256,3.868,2.942,3.307,2.122,5.333,4.630,2.436,4.996,2.665,4.520,4.133,3.739,3.811
42,,,4.117,,,,,,,,,,2.433,2.671,2.953,4.287,3.884,3.029,3.293,2.067,5.221,4.693,2.358,5.019,2.623,4.511,4.013,3.833,3.816
43,,,4.308,,,,,,,,,,2.485,2.733,2.965,4.295,3.863,3.183,3.315,2.225,5.083,4.742,2.340,5.053,2.625,4.486,3.748,3.819,3.750
44,,,4.867,,,,,,,,,,2.546,2.793,2.966,4.261,3.867,3.244,3.320,2.277,5.025,4.782,2.355,5.010,2.744,4.530,3.588,3.849,3.735
45,,,5.588,,,,,,,,,,2.663,2.825,2.972,4.271,3.763,3.363,3.356,2.375,5.185,4.881,2.359,4.879,2.748,4.628,3.562,3.870,3.623
46,,,4.971,,,,,,,,,,2.741,2.825,2.915,4.274,3.545,3.432,3.393,2.438,5.406,5.025,2.442,4.956,2.760,4.677,3.408,3.934,3.569
47,,,5.271,,,,,,,,,,2.843,2.855,2.972,4.338,3.314,3.402,3.495,2.505,5.642,5.130,2.741,5.163,2.810,4.652,3.315,4.004,3.456
48,,,6.029,,,,,,,,,,2.930,2.822,2.997,4.414,3.199,3.378,3.608,2.525,5.770,5.323,2.902,5.283,2.914,4.546,3.273,4.036,3.421
49,,,7.017,,,,,,,,,,3.147,2.867,2.943,4.478,3.353,3.415,3.648,2.504,5.801,5.326,3.060,5.327,2.939,4.367,3.138,4.072,3.406
50,,,7.279,,,,,,,,,,3.252,2.844,2.971,4.531,3.573,3.460,3.710,2.533,5.884,5.269,3.238,5.196,2.925,,3.207,4.131,3.499
51,,,6.988,,,,,,,,,,3.414,2.845,3.006,4.625,3.809,3.466,3.791,2.651,5.975,5.213,3.288,4.953,2.860,,3.219,4.163,3.631
52,,,6.650,,,,,,,,,,3.478,2.944,3.043,4.632,3.883,3.602,3.865,2.781,6.015,5.173,3.345,4.505,2.822,,3.391,4.120,3.643
53,,,6.371,,,,,,,,,,3.496,3.006,3.105,4.629,3.945,3.805,3.920,2.895,5.893,5.184,3.420,4.236,2.744,4.306,3.578,3.743,3.469
54,,,6.925,,,,,,,,,,3.517,3.125,3.180,4.578,3.894,3.741,3.906,3.000,5.788,5.193,3.552,3.925,2.788,4.328,3.613,3.570,3.092
55,,,7.358,,,,,,,,,,3.626,3.226,3.242,4.632,3.887,3.823,3.901,3.010,5.730,5.233,3.833,3.685,2.726,4.336,3.656,3.533,3.025
56,,,8.413,,,,,,,,,,3.738,3.313,3.177,4.697,3.826,3.895,3.935,2.972,5.673,5.377,3.933,3.645,2.698,4.396,3.787,3.387,2.971
57,,,9.108,,,,,,,,,,3.821,3.371,3.303,4.765,3.792,3.948,3.960,2.877,5.710,5.550,3.957,3.745,2.659,4.530,3.843,3.380,2.978
58,,,7.800,,,,,,,,,,3.931,3.434,3.418,4.886,3.760,4.028,4.016,2.758,5.744,5.691,3.993,3.853,2.521,4.615,3.907,3.403,2.903
59,,,8.371,,,,,,,,,,4.015,3.585,3.570,4.976,3.740,4.091,4.077,2.749,5.615,5.800,4.064,3.923,2.447,4.738,3.996,3.441,2.978
60,,,8.292,,,,,,,,,,4.054,3.745,3.689,5.072,3.724,4.113,4.145,2.708,5.430,5.837,4.112,3.975,2.271,4.776,4.093,3.608,2.956
61,,,8.159,,,,,,,,,,4.047,3.940,3.720,5.156,3.724,4.118,4.219,2.883,5.278,5.842,4.153,3.893,2.152,4.802,4.174,3.770,3.053
