day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,139.500,100.600,97.388,120.142,139.767,119.083,104.417,116.350,104.533,156.958,122.067,173.575,126.346,121.575,164.275,103.450,260.850,135.904,149.333,124.958,150.738,118.717,139.692,138.946,128.604,122.813,152.596,114.896,145.350,75.633,117.883,158.938,257.783,144.779,160.438,162.335,106.017,114.633,104.696,123.679,124.838,149.075,107.438,128.713,100.496,115.175,134.525,140.646,194.333,107.308,173.500,130.713,147.429,136.775,117.929,102.988,139.600,180.321,100.378
2,139.800,92.300,87.867,106.783,132.342,115.621,106.513,110.692,126.908,145.500,158.513,200.213,127.746,118.667,171.346,118.971,248.692,156.729,143.688,136.308,172.975,105.821,132.242,132.642,116.104,128.704,142.942,123.500,128.996,71.550,122.350,190.600,322.154,115.100,151.258,180.925,111.904,96.988,93.871,108.621,110.179,166.067,117.700,136.650,107.146,89.946,145.188,111.600,199.392,113.821,171.625,134.683,161.042,163.792,117.813,100.096,127.708,188.996,131.922
3,163.600,106.300,111.304,124.063,128.154,138.542,106.275,160.029,144.654,171.663,140.408,193.833,149.558,153.008,193.354,130.542,236.533,153.767,159.246,148.121,176.646,113.896,127.363,147.904,149.033,138.275,123.242,147.613,136.742,77.396,140.233,198.933,300.163,140.017,186.446,177.271,149.975,118.692,96.483,129.292,153.879,159.304,108.338,128.813,132.283,98.817,171.104,130.958,168.208,108.238,173.258,148.608,161.846,172.738,121.475,105.463,101.758,172.788,123.844
4,150.300,118.800,122.196,116.575,154.083,142.604,103.175,150.313,155.483,171.733,123.521,161.108,148.875,153.617,173.304,160.200,232.100,173.808,168.129,173.600,177.771,119.379,121.867,177.933,128.588,156.438,204.088,134.388,148.333,84.696,147.454,199.058,288.896,141.871,180.200,185.300,139.479,130.563,92.396,120.063,157.092,159.150,141.954,147.208,139.033,108.004,152.196,132.113,166.575,106.775,196.658,155.913,165.929,181.038,123.608,104.500,142.338,164.171,112.394
5,160.400,110.200,135.279,139.033,112.300,123.421,134.142,165.121,174.317,157.500,124.650,164.958,162.258,138.271,206.913,147.621,226.913,174.646,173.729,126.125,173.313,109.150,121.083,165.892,156.100,171.517,168.021,125.317,165.775,104.829,134.700,204.621,299.675,161.075,177.625,175.379,130.888,137.975,90.604,163.746,154.975,153.625,163.267,145.521,158.629,113.875,142.317,118.121,167.113,129.479,191.225,142.829,182.838,171.117,136.488,103.446,150.283,188.658,104.867
6,157.100,116.300,127.283,131.121,139.079,141.404,156.396,147.188,133.671,140.150,147.092,189.650,154.858,158.283,152.708,120.550,222.096,168.696,194.850,183.963,168.838,117.292,146.821,141.154,165.017,153.938,195.117,135.867,178.708,103.600,142.400,206.688,270.125,181.171,201.058,183.621,126.071,125.208,103.525,163.288,167.088,143.813,139.433,121.925,150.221,122.817,147.129,110.796,182.858,140.458,144.363,141.608,177.971,153.929,110.942,109.525,156.358,188.638,139.478
7,148.800,109.400,126.471,119.100,172.771,161.096,130.858,107.217,153.883,163.017,141.863,201.554,165.092,154.258,146.142,156.433,221.208,205.133,177.467,199.363,170.600,123.929,177.983,166.375,202.117,130.692,183.000,162.842,175.117,104.967,136.088,203.850,262.392,157.313,199.133,198.888,129.817,112.275,101.392,170.871,148.913,134.971,139.892,141.829,144.033,128.838,129.867,108.717,181.500,139.458,180.075,133.025,177.450,151.904,121.363,111.621,160.763,189.346,114.772
8,167.500,126.400,95.579,122.996,190.929,164.663,107.708,132.779,168.229,159.850,158.646,179.879,130.367,140.688,172.563,160.483,197.967,197.358,146.613,190.429,173.167,116.904,184.092,189.517,186.929,132.879,186.896,164.471,177.583,110.329,109.342,204.629,259.163,168.933,205.325,191.742,135.983,98.013,114.171,152.938,162.179,136.546,143.508,157.254,141.788,136.904,125.833,116.529,188.596,146.196,185.488,136.471,164.342,183.871,119.858,121.379,160.254,173.638,113.683
9,158.700,92.700,99.750,135.783,231.688,118.292,112.267,122.958,146.017,166.350,177.963,184.229,117.350,118.188,171.096,190.050,217.833,180.104,178.825,188.317,197.888,123.692,186.150,141.654,203.675,136.621,174.679,163.067,161.313,82.879,139.450,202.204,258.025,181.308,197.929,202.058,138.983,135.617,129.163,146.488,110.058,132.513,132.558,140.208,178.804,121.717,118.796,137.817,172.600,132.671,188.367,130.696,165.129,192.846,132.925,125.875,166.042,171.838,113.767
10,140.700,101.700,123.775,108.104,177.904,122.838,107.446,109.033,190.083,171.008,165.654,191.213,120.688,158.767,171.467,156.863,206.283,133.808,165.875,191.696,217.867,129.475,179.492,136.413,203.950,146.617,189.863,150.633,154.254,108.933,120.404,205.704,269.483,175.092,199.842,188.696,133.025,130.808,109.800,114.550,142.950,130.317,147.425,146.863,164.775,94.042,137.142,128.608,165.058,143.042,178.629,121.833,162.804,160.617,146.800,143.617,161.475,174.063,130.344
11,142.400,108.600,117.296,106.696,182.413,93.113,107.042,130.692,147.746,182.300,142.779,165.796,147.054,170.246,142.063,178.400,178.325,160.171,179.721,192.300,215.875,105.163,161.142,166.971,196.583,170.329,196.133,156.508,160.779,104.913,121.417,250.821,259.317,176.763,179.142,197.621,135.754,112.363,108.004,107.733,138.725,140.354,151.138,148.233,143.825,106.258,148.125,128.933,173.421,105.454,190.492,149.742,174.721,180.979,143.117,121.071,161.446,168.796,138.878
12,158.800,113.700,112.563,133.783,125.154,91.221,140.517,150.242,154.333,169.442,148.908,179.883,158.692,195.208,144.871,140.642,187.092,178.108,176.496,185.375,199.442,116.638,178.346,154.800,207.517,159.617,153.846,102.267,155.450,100.546,132.363,251.667,246.717,166.017,201.738,187.233,121.746,113.950,91.658,122.904,121.629,169.425,203.113,130.463,149.400,118.188,172.550,145.917,173.125,131.525,194.125,138.633,183.683,201.608,137.600,112.642,167.913,167.358,126.922
13,158.400,101.300,108.846,122.179,132.692,133.975,159.433,129.825,113.163,125.638,144.500,190.263,139.246,159.333,128.808,101.913,214.804,169.683,200.963,183.963,191.163,120.950,174.013,178.129,175.146,142.538,158.750,130.738,171.179,102.163,134.571,246.604,282.371,192.446,221.088,188.938,123.342,105.492,84.096,141.413,155.229,177.654,170.963,89.446,153.692,119.508,154.783,144.196,171.067,119.458,185.542,136.313,171.029,204.296,114.500,130.346,177.563,166.413,124.467
14,154.300,107.400,101.758,105.404,166.221,128.950,156.600,123.275,131.233,126.546,158.950,185.425,118.658,159.058,135.700,111.850,215.325,186.533,220.154,189.154,200.063,124.475,167.954,144.038,137.842,137.408,135.963,145.158,160.133,109.650,124.471,240.321,265.442,174.858,220.058,213.004,108.796,116.129,109.642,127.325,184.521,163.333,183.250,113.062,169.750,107.338,140.775,118.121,161.850,101.054,174.988,119.454,175.529,203.888,141.100,151.421,171.796,170.992,115.156
15,144.200,101.100,104.017,100.900,170.196,129.350,141.821,127.063,123.821,150.658,167.150,167.600,130.738,146.329,145.317,142.567,223.692,161.163,222.296,206.796,179.392,133.779,171.879,125.483,121.754,117.592,155.533,148.125,146.783,108.633,134.317,241.925,263.621,147.183,211.779,205.825,114.367,151.408,103.075,123.592,153.879,165.933,195.858,138.458,196.500,90.738,135.433,118.729,177.892,102.138,181.071,129.363,171.642,204.071,155.583,141.721,170.221,188.646,113.956
16,134.000,91.800,109.454,99.479,182.925,125.958,90.129,128.525,150.388,212.975,171.088,158.525,116.938,159.838,140.567,144.642,207.283,136.904,185.133,198.042,198.825,130.013,195.979,123.513,172.646,157.108,179.679,147.263,119.113,88.792,124.792,247.529,276.413,157.888,232.838,191.175,133.583,170.729,128.783,128.558,125.871,168.858,175.058,157.950,201.771,101.175,120.642,126.921,180.963,134.554,183.583,142.438,171.904,203.288,135.029,145.671,176.108,195.258,122.967
17,124.300,102.900,144.942,111.800,173.908,130.183,106.213,102.604,150.188,294.746,145.663,199.113,124.308,165.929,159.167,136.150,196.871,153.150,186.763,212.279,203.300,122.000,196.846,125.425,148.496,157.775,181.058,137.471,97.379,104.292,143.838,255.746,260.413,137.854,222.150,166.717,128.354,144.071,120.567,111.233,137.688,186.371,178.329,141.733,193.150,96.338,161.879,126.363,189.892,120.313,184.650,124.825,185.925,202.700,122.583,155.933,166.638,200.054,110.178
18,126.700,127.500,133.946,120.850,165.488,117.188,132.775,151.871,154.079,343.383,134.908,212.088,120.454,169.479,168.017,152.567,174.400,156.396,193.408,215.246,205.246,125.717,165.508,126.163,144.283,159.304,169.925,129.163,125.708,150.267,138.504,259.421,265.942,129.467,201.400,190.275,129.371,148.296,129.108,100.608,120.617,178.471,181.246,133.600,174.796,98.254,191.421,161.317,186.129,119.679,180.129,103.313,167.654,195.308,111.029,154.038,158.963,199.583,126.671
