day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,5.717,,5.543,4.700,5.657,6.492,4.367,5.613,5.261,,,,,,,,,,,,,,,,,
2,,,,5.513,,5.446,4.696,5.717,6.404,4.183,5.367,5.126,,,,,,,,,,,,,,,,,
3,,,,5.233,,5.283,4.654,5.700,6.400,3.904,5.242,5.120,,,,,,,,,,,,,,,,,
4,,,,5.075,,5.200,4.708,5.758,6.400,3.342,4.958,4.921,,,,,,,,,,,,,,,,,
5,,,,5.013,,5.188,4.613,5.938,6.317,3.083,4.783,4.705,,,,,,,,,,,,,,,,,
6,,,,4.888,,5.100,4.679,6.046,6.204,2.608,4.429,4.664,,,,,,,,,,,,,,,,,
7,,,,4.708,,5.171,4.704,6.150,6.029,1.988,4.154,4.720,,,,,,,,,,,,,,,,,
8,,,,4.654,,5.179,4.679,6.212,5.971,1.517,3.975,4.751,,,,,,,,,,,,,,,,,
9,,,,4.475,,5.054,4.567,6.333,5.825,1.692,3.833,4.721,,,,,,,,,,,,,,,,,
10,,,,4.321,,5.000,4.408,6.400,5.563,1.738,3.667,4.813,,,,,,,,,,,,,,,,,
11,,,,3.750,,4.963,4.150,6.400,5.321,1.858,3.633,5.095,,,,,,,,,,,,,,,,,
12,,,,3.375,,4.825,3.996,6.438,5.196,2.000,3.521,5.093,,,,,,,,,,,,,,,,,
13,,,,3.067,,4.688,4.000,6.350,5.146,2.171,3.450,5.320,,,,,,,,,,,,,,,,,
14,,,,2.700,,4.583,3.979,6.175,5.200,2.292,3.092,5.375,,,,,,,,,,,,,,,,,
15,,,,2.533,,4.513,3.979,5.850,5.183,2.471,2.810,5.183,,,,,,,,,,,,,,,,,
16,,,,2.558,,4.550,3.925,5.721,5.133,2.646,2.768,5.108,,,,,,,,,,,,,,,,,
17,,,,2.942,,4.529,3.900,5.546,5.200,2.750,2.492,4.975,,,,,,,,,,,,,,,,,
18,,,,3.229,,4.317,3.817,5.321,5.200,2.854,2.306,4.835,,,,,,,,,,,,,,,,,
19,,,,3.363,,4.104,3.713,5.192,5.196,2.917,2.165,4.757,,,,,,,,,,,,,,,,,
20,,,,3.379,,3.992,3.488,5.100,5.108,3.013,2.350,4.656,,,,,,,,,,,,,,,,,
21,,,,3.487,,3.788,3.363,5.054,5.013,3.146,2.629,4.598,,,,,,,,,,,,,,,,,
22,,,,3.558,,3.622,3.275,4.917,4.925,3.275,3.000,4.525,,,,,,,,,,,,,,,,,
23,,,,3.587,,3.517,3.200,4.896,4.854,3.450,3.233,4.560,,,,,,,,,,,,,,,,,
24,,,,3.492,,3.500,3.225,4.842,4.804,3.558,3.375,4.405,,,,,,,,,,,,,,,,,
25,,,,3.433,,3.500,3.258,4.688,4.812,3.658,3.342,4.138,,,,,,,,,,,,,,,,,
26,,,,3.521,,3.454,3.275,4.508,4.838,3.696,3.329,3.942,,,,,,,,,,,,,,,,,
27,,,,3.675,,3.450,3.167,4.417,4.854,3.700,3.462,3.815,,,,,,,,,,,,,,,,,
28,,,,3.846,,3.500,3.029,4.483,5.004,3.704,3.529,3.748,,,,,,,,,,,,,,,,,
29,,,,3.900,,3.496,3.004,4.558,5.213,3.743,3.579,3.727,,,,,,,,,,,,,,,,,
30,,,,,,3.342,2.946,4.363,5.400,3.837,3.729,3.933,,,,,,,,,,,,,,,,,
31,,,,,,3.300,3.021,4.100,5.533,3.842,3.779,4.106,,,,,,,,,,,,,,,,,
32,,,,,,3.354,3.025,4.067,5.454,3.954,3.938,4.164,,,,,,,,,,,,,,,,,
33,,,,,,3.529,3.113,4.042,5.429,4.000,4.117,4.296,,,,,,,,,,,,,,,,,
34,,,,,,3.758,3.192,4.133,5.463,3.763,4.192,4.233,,,,,,,,,,,,,,,,,
35,,,,,,3.846,3.346,4.104,5.513,3.583,4.142,4.370,,,,,,,,,,,,,,,,,
36,,,,,,3.904,3.438,4.083,5.471,3.429,4.083,4.432,,,,,,,,,,,,,,,,,
37,,,,,,3.933,3.496,3.983,5.275,3.217,4.183,4.360,,,,,,,,,,,,,,,,,
38,,,,,,3.942,3.488,3.858,5.175,3.125,4.250,4.153,,,,,,,,,,,,,,,,,
39,,,,,,3.938,3.500,3.792,5.125,3.079,4.117,4.113,,,,,,,,,,,,,,,,,
40,,,,,,4.067,3.354,3.788,5.058,3.013,4.075,4.109,,,,,,,,,,,,,,,,,
41,,,3.200,4.200,,4.196,3.054,3.883,4.852,2.950,4.000,4.003,,,,,,,,,,,,,,,,,
42,,,2.808,4.258,,4.204,2.925,4.054,4.796,3.096,3.921,3.866,,,,,,,,,,,,,,,,,
43,,,2.338,4.283,,4.029,2.779,4.075,4.817,3.113,3.896,3.849,,,,,,,,,,,,,,,,,
44,,,2.419,4.213,,3.850,2.783,3.913,4.829,3.100,3.921,3.830,,,,,,,,,,,,,,,,,
45,,,,4.279,,3.900,2.825,3.946,4.842,3.092,3.888,3.759,,,,,,,,,,,,,,,,,
46,,,,4.208,,3.917,2.946,3.904,4.900,3.138,5.183,3.667,,,,,,,,,,,,,,,,,
47,,,,4.350,,3.929,2.958,3.838,4.896,3.188,3.817,3.597,,,,,,,,,,,,,,,,,
48,,,3.695,4.329,,3.917,2.900,3.796,4.933,3.142,3.721,3.307,,,,,,,,,,,,,,,,,
49,,,3.788,4.354,,3.963,3.042,3.858,5.108,3.163,3.492,3.114,,,,,,,,,,,,,,,,,
50,,,3.942,4.355,,3.954,3.038,4.004,5.325,3.304,3.329,2.790,,,,,,,,,,,,,,,,,
51,,,4.000,4.267,,3.908,2.979,4.096,5.425,3.454,3.288,2.276,,,,,,,,,,,,,,,,,
52,,,4.063,4.313,,3.863,2.833,4.246,5.479,3.500,3.204,2.400,,,,,,,,,,,,,,,,,
53,,,4.079,4.354,,3.888,2.971,4.433,5.571,3.692,3.229,2.792,,,,,,,,,,,,,,,,,
54,,,4.008,4.467,,3.954,3.196,4.525,5.579,3.808,3.333,3.120,,,,,,,,,,,,,,,,,
55,,,4.083,4.642,,3.967,3.496,4.463,5.525,3.738,3.479,3.460,,,,,,,,,,,,,,,,,
56,,,4.136,4.629,,4.100,3.513,4.367,5.771,3.750,3.558,3.653,,,,,,,,,,,,,,,,,
57,,,4.092,4.546,,4.092,3.604,4.596,5.733,3.846,3.654,3.832,,,,,,,,,,,,,,,,,
58,,,4.154,4.417,,4.108,3.671,4.846,5.529,4.004,3.633,3.793,,,,,,,,,,,,,,,,,
59,,,4.154,4.338,,4.158,3.783,4.508,5.204,4.183,3.821,3.657,,,,,,,,,,,,,,,,,
60,,,,4.367,4.865,4.325,3.767,4.217,4.858,4.333,3.979,3.719,,,,,,,,,,,,,,,,,
61,,,,4.475,4.929,4.529,3.783,4.288,4.954,4.354,4.038,4.030,,,,,,,,,,,,,,,,,
62,,,,4.488,5.083,4.767,3.771,4.242,5.038,4.437,4.225,4.191,,,,,,4.120,,,,,,,,,,,
63,,,,4.658,4.950,4.817,3.817,4.242,5.283,4.538,4.458,4.212,,,,,,4.138,,,,,,,,,,,
64,,,,4.771,4.729,4.942,3.900,4.421,5.342,4.442,4.692,4.314,,,,,,4.262,,,,,,,,,,,
65,,,,4.800,4.700,4.950,4.117,4.313,5.433,4.417,5.108,4.357,,,,,,4.439,,,,,,,,,,,
66,,,4.300,4.763,4.629,5.058,4.396,4.358,5.500,4.313,5.342,4.506,,,,,,4.518,,,,,,,,,,,
67,,,4.371,5.004,4.609,5.135,4.425,4.492,5.596,4.425,5.058,4.513,,,,,,4.664,,,,,,,,,,,
68,,,4.700,5.183,4.571,5.079,4.358,4.500,5.629,4.738,5.588,4.301,,,,,,4.883,,,,,,,,,,,
69,,,5.008,5.346,4.629,5.100,4.692,4.425,5.704,5.054,5.829,4.393,,,,,3.739,4.885,,4.850,,,,,,,,,
70,,,5.267,5.550,4.708,5.096,4.896,4.379,5.741,5.200,6.383,4.242,,,,5.944,3.860,4.807,,4.966,,,,,,,,,
71,,,5.525,5.954,4.779,5.246,4.996,4.450,5.935,5.538,6.613,4.170,,,,5.968,4.004,4.724,,4.988,,,,,,,,,
72,,,5.450,6.200,4.850,5.367,4.963,4.513,6.375,5.617,6.292,4.360,,,,5.809,4.016,4.744,,5.026,,,,,,,,,
73,,,5.154,6.113,4.958,5.658,5.008,4.563,6.650,5.813,6.641,4.544,,,,5.797,4.113,4.983,,5.113,,,5.004,,,,,,
74,,,4.867,6.179,5.054,5.725,5.408,4.879,7.000,5.921,6.456,4.774,,,,5.903,4.140,5.048,,5.099,,,4.893,,,,,,
75,,,4.929,6.525,5.171,5.838,5.688,5.029,,5.775,6.299,4.918,,,,5.766,4.082,5.006,,5.176,,,4.971,,,,,,
76,,,5.067,6.692,5.300,6.026,5.908,4.954,7.026,5.921,6.326,5.019,,,,5.974,4.255,5.046,,5.233,,,5.542,,,,,,
77,,,5.210,7.346,,5.904,6.075,4.729,7.096,6.104,6.363,5.192,,,,6.129,4.299,5.098,,5.520,,,5.618,,,,,,
