day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,97.583,107.563,68.983,82.213,83.183,166.013,71.100,92.750,75.571,94.979,91.129,75.000,72.913,98.829,72.771,76.763,110.350,83.138,157.404,90.221,147.425,110.642,134.371,89.633,86.113,71.650,105.571,147.096,64.189
2,106.196,134.238,69.192,110.383,110.683,138.279,110.933,89.258,74.513,98.383,90.283,81.746,75.854,101.021,64.163,68.838,109.496,81.279,147.183,78.313,140.392,111.879,141.975,122.071,103.313,76.867,82.983,164.842,93.411
3,127.338,136.958,77.904,121.983,137.429,145.988,140.063,122.763,73.979,109.071,124.388,87.583,77.621,127.579,118.117,68.446,125.167,100.892,144.342,75.967,158.513,118.675,138.575,130.338,105.100,70.017,92.771,166.696,91.944
4,130.325,139.683,109.292,102.146,141.388,158.067,120.604,125.017,74.579,101.975,136.879,105.367,112.813,131.925,94.708,82.146,129.338,97.967,152.888,113.025,150.442,126.579,154.746,129.154,97.679,69.167,121.329,142.342,68.317
5,122.054,143.846,124.275,129.546,147.188,150.558,115.042,103.613,73.783,137.158,141.208,98.254,106.408,104.225,141.708,89.175,132.733,69.000,160.375,113.954,126.350,110.638,143.854,130.963,97.163,77.279,121.913,160.975,115.706
6,119.929,161.917,156.213,153.946,164.367,165.025,114.913,93.983,80.633,137.321,141.492,114.825,101.688,87.238,113.879,91.129,130.588,85.821,157.471,104.000,131.879,112.467,148.679,102.446,87.121,88.742,114.308,160.371,96.800
7,114.458,151.983,163.400,130.333,146.729,170.250,116.992,81.317,94.942,150.621,137.250,86.875,84.213,133.525,101.117,94.363,91.121,86.917,150.754,112.592,144.225,120.625,148.775,127.592,89.746,116.921,130.692,140.667,89.244
8,95.271,141.817,166.217,143.613,133.879,161.658,135.396,79.275,98.513,124.713,115.321,91.842,102.858,134.196,89.296,97.704,98.846,115.500,145.750,132.917,125.188,114.108,154.088,135.154,105.100,95.346,132.379,145.917,74.167
9,103.100,142.471,156.313,158.350,151.633,131.729,131.267,89.071,91.871,120.996,110.179,79.108,97.375,121.379,96.642,67.154,70.075,106.538,127.846,119.892,135.592,113.433,145.150,113.688,120.633,103.367,140.671,118.813,95.500
10,93.950,167.263,177.808,158.758,126.263,146.000,135.117,78.104,85.463,98.392,122.954,92.879,99.371,126.083,98.192,73.750,104.779,95.833,124.346,96.763,143.083,95.146,161.108,120.750,130.629,121.675,139.075,140.783,100.244
11,103.679,172.358,164.550,133.283,137.438,168.600,123.567,74.471,74.667,87.858,120.775,98.433,128.579,95.750,64.533,93.688,128.746,116.479,148.208,88.208,138.996,91.413,151.317,161.300,125.158,85.488,128.658,138.608,100.750
12,94.238,179.767,169.608,149.688,149.971,154.288,101.388,87.571,73.679,94.671,127.129,102.138,134.292,88.408,99.829,93.646,142.296,114.717,147.271,119.321,143.571,125.917,143.588,138.750,110.713,80.400,120.675,132.763,81.506
13,80.538,166.742,198.629,160.567,155.350,161.471,104.571,71.833,73.975,125.875,134.808,112.029,146.196,69.758,107.138,82.475,120.358,115.333,143.696,70.450,145.592,110.233,142.983,127.600,81.767,118.021,138.983,125.708,89.206
14,67.788,172.692,200.188,138.267,148.425,166.413,84.054,96.146,75.275,104.888,125.321,97.804,156.558,97.663,123.271,73.000,92.800,100.529,144.163,86.908,139.771,102.004,139.683,133.621,134.363,110.392,131.038,138.229,83.589
15,64.017,173.383,194.863,120.967,146.308,166.258,96.479,132.063,99.279,98.688,109.279,104.021,128.029,118.883,132.675,64.908,84.213,95.092,139.746,99.988,156.204,130.113,140.250,139.558,127.654,117.929,143.163,167.417,72.656
16,70.475,186.767,198.150,129.396,145.188,109.713,115.583,118.617,109.950,96.871,134.946,135.096,135.350,137.883,142.800,68.596,68.971,102.838,141.663,91.496,148.046,104.471,155.654,140.363,99.750,125.613,150.200,152.613,80.628
17,93.538,165.550,179.321,99.167,137.825,135.033,119.071,106.925,101.700,83.596,102.833,142.467,153.779,111.617,140.188,63.804,68.850,120.179,156.858,91.400,153.446,80.888,152.696,135.292,103.892,120.088,133.013,159.638,75.933
18,83.375,191.929,171.342,73.742,139.333,151.175,103.354,124.767,93.104,75.058,101.488,148.583,136.467,122.550,125.304,62.438,74.458,128.471,159.204,113.283,121.967,83.775,147.200,134.033,74.138,113.704,123.188,156.646,84.471
19,97.442,190.233,152.658,114.533,147.383,150.971,92.692,99.813,73.813,81.904,100.046,154.467,137.367,106.329,114.938,62.504,129.300,121.400,152.329,84.792,138.908,77.971,136.479,146.829,85.350,94.054,127.113,134.530,114.420
20,89.817,197.321,150.579,130.767,149.396,156.233,104.913,105.567,86.292,95.700,94.050,121.079,129.700,63.100,143.288,62.963,127.921,122.375,163.550,119.683,155.550,74.425,137.538,136.967,76.075,114.421,123.433,166.483,97.333
21,88.833,185.329,166.633,123.008,143.079,154.700,70.196,92.458,111.883,91.725,95.779,108.088,122.663,107.129,126.925,69.258,144.604,83.200,140.846,114.763,143.004,74.208,128.113,128.688,78.404,106.250,125.254,133.967,101.656
