day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.0,0.0,0.0,0.0,0.0,7.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.779,0.0,0.0,0.004,0.0,6.363,0.0
2,0.0,2.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.608,0.0,0.0,1.688,0.0,15.854,0.0
3,0.0,6.254,0.0,0.0,0.0,0.0,0.0,2.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.642,0.0,0.0,0.0,0.467,28.667,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.567,0.0,0.0,0.0,30.213,0.0,0.0,0.0,11.246,7.546,0.0
5,0.0,0.0,0.0,0.0,7.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.313,0.0,0.0,0.0,4.554,0.0,0.0,0.0,8.271,0.0,0.0,0.0,4.363,24.867,0.006
6,0.0,3.867,0.0,0.0,8.375,14.879,0.0,0.0,0.0,8.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.742,0.0,0.0,0.279,0.0,17.542,0.0
7,0.0,0.0,0.138,0.0,0.0,7.179,0.0,0.0,0.0,1.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,16.733,0.0,0.0,0.467,0.004,11.079,0.0
8,0.0,0.0,5.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,13.208,0.0,0.0,19.163,0.0,0.0,0.0,0.0,19.304,0.0
9,0.0,0.0,5.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.267,0.0,0.0,0.0,0.0,6.442,0.0
10,0.0,8.579,29.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.888,2.388,0.0,0.0,0.0,0.550,0.0
11,0.0,18.167,8.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.0,0.0,24.742,35.558,0.0,0.0,0.0,0.0,0.0
12,0.0,21.663,20.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.021,0.0,0.0,6.350,7.608,0.0,0.0,0.042,0.0,0.0
13,0.0,7.533,55.292,0.0,0.008,3.388,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.150,1.579,0.0,0.0,34.933,0.0,0.0
14,0.0,17.054,55.800,0.0,0.0,2.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.196,0.0,0.0,0.0,0.0,5.792,0.0
15,0.0,16.154,46.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,4.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.988,3.304,0.0,0.0,7.217,31.938,0.0
16,0.0,32.933,48.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,3.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.013,3.558,0.0,0.0,11.125,8.633,0.0
17,0.0,7.713,23.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188,0.0,0.0,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.271,0.0,0.0,0.0,6.188,22.817,0.0
18,0.0,31.700,7.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.633,4.571,0.863,0.0,0.0,30.367,0.0
19,0.0,33.908,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.833,0.0,0.0,0.0,0.0,0.0,2.308,0.0,2.263,32.092,0.0,0.0,0.0,5.252,0.0
20,0.0,49.542,2.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.346,0.0,0.0,0.0,0.0,1.363,0.0,0.0,0.0,3.688,0.0,0.029,0.0,62.450,0.0
21,0.0,28.042,5.821,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029,4.133,0.0,0.0,0.0,0.0,1.167,0.067,0.004,12.217,0.0
22,0.0,37.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.171,0.0,0.0,1.375,0.0,0.0,0.0,0.0,2.329,16.571,0.0
23,0.0,65.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.0,0.0,30.254,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,43.038,0.0
24,0.0,38.325,10.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.450,0.0,0.0,0.0,0.0,2.425,0.0,0.0,0.0,27.521,0.289
25,0.0,37.267,17.658,0.0,2.200,40.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.0,0.0,0.0,8.600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.792,0.0
26,0.0,36.617,11.571,0.0,6.904,9.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.467,0.0,22.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.609,0.0
27,0.0,40.838,0.008,0.0,0.0,5.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250,0.0,21.804,0.0,0.0,0.904,0.0,0.0,0.0,2.596,0.0,0.033,0.0,9.508,0.0
28,0.0,15.246,8.296,0.0,0.0,5.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.092,0.0,10.933,0.0,0.0,12.863,8.800,0.0,0.0,0.0,0.0,0.021,11.746,18.938,0.0
29,0.0,19.883,26.875,0.0,0.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.954,0.0,0.0,0.0,30.571,0.0,0.0,0.0,0.0,0.004,14.404,30.025,0.0
30,0.0,33.379,9.375,0.0,0.0,26.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.642,0.0,0.0,0.0,19.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,64.888,0.0,0.0,0.0,20.450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646,0.0,0.0,0.0,30.767,0.0,0.0,0.0,0.0,0.0,0.0,9.400,0.0
32,0.0,83.371,0.0,0.0,0.0,16.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.500,0.0,0.0,0.0,25.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
