day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,6.483,6.438,,5.659,,5.851,,6.796,6.100,4.654,,,4.517,4.813,4.896,4.977,5.897,5.482,5.938,5.125,5.305,,5.594,,6.390,6.220,5.372,3.738,3.992
2,6.479,6.400,,5.565,,5.689,,6.700,6.058,4.321,,,4.471,4.773,4.900,4.940,5.590,5.266,5.690,4.993,5.146,,5.306,4.956,6.134,6.169,5.323,3.587,3.989
3,6.471,6.400,,5.254,,5.506,,6.717,6.038,4.117,,,4.587,4.933,4.675,4.865,5.236,5.109,5.445,4.988,4.883,,4.973,4.840,5.954,6.063,,3.589,4.038
4,6.533,6.440,,5.054,,5.459,,6.738,5.992,3.563,,,4.500,4.940,4.388,4.771,4.888,5.088,5.158,4.877,4.726,,4.648,4.788,5.896,5.910,5.511,3.560,4.221
5,6.483,6.475,,4.979,,5.407,,6.750,5.892,3.088,,,4.413,4.773,4.292,4.692,4.654,5.167,4.994,4.771,4.721,,4.223,4.779,5.907,5.799,5.442,3.484,4.257
6,6.517,6.450,,5.025,,5.264,,6.667,5.742,2.883,,,4.329,4.720,4.313,4.608,4.566,5.040,4.835,4.624,4.813,,4.017,4.815,5.787,5.669,5.487,3.439,4.354
7,6.524,6.465,,4.967,,5.148,,6.654,5.683,2.642,,,4.362,4.627,4.417,4.423,4.546,4.858,4.762,4.498,4.923,,3.692,4.893,5.658,5.653,5.482,3.548,4.415
8,6.467,6.421,,4.733,,5.115,,6.779,5.600,2.562,,,4.358,4.680,4.604,4.345,4.472,4.798,4.754,4.466,4.892,,3.620,5.037,5.577,5.542,5.422,3.478,4.473
9,6.467,6.446,,4.498,,5.024,,6.729,5.579,2.550,,,4.646,4.600,4.483,4.395,4.376,4.708,4.836,4.299,4.801,,3.523,5.060,5.566,5.319,5.343,3.463,4.407
10,6.305,6.503,,4.333,,4.880,,6.600,5.383,2.562,,,4.750,4.487,4.383,4.356,4.194,4.621,4.686,4.294,4.828,,3.425,5.021,5.573,5.169,5.249,3.339,4.261
11,6.412,6.415,,3.961,,4.797,,6.575,5.317,2.567,,,4.467,4.327,4.358,4.329,4.079,4.363,4.510,4.446,4.900,,3.182,5.107,5.549,5.118,5.231,3.309,4.250
12,6.424,6.420,,3.658,,4.648,,6.533,5.325,2.725,,,3.996,4.193,4.417,4.369,4.013,4.125,4.353,4.422,4.882,,3.002,5.072,5.536,4.977,5.212,3.355,4.321
13,6.413,6.444,,3.457,,4.638,,6.333,5.300,2.937,,,3.846,4.127,4.267,4.441,4.198,3.946,4.099,4.447,4.795,,2.771,5.049,5.508,4.729,5.227,3.339,4.311
14,6.392,6.420,,3.310,,4.503,,6.067,5.292,3.058,,,3.633,4.100,4.000,4.446,4.364,3.757,3.951,4.472,4.649,,2.585,4.981,5.424,4.292,5.109,3.403,4.271
15,6.375,6.355,,3.325,,4.380,,5.771,5.233,3.150,,,3.304,4.053,4.046,4.435,4.475,3.591,3.833,4.497,4.543,5.406,2.384,4.939,5.360,3.935,4.949,3.526,4.241
16,6.429,6.360,,3.288,,4.313,,5.733,5.200,3.263,,,3.088,3.773,4.075,4.489,4.495,3.433,3.675,4.370,4.415,5.290,2.238,4.782,5.281,3.715,4.823,3.593,4.207
17,6.442,6.445,,3.271,,4.230,,5.671,5.154,3.338,,,2.871,3.607,3.971,4.449,4.794,3.180,3.613,4.138,4.240,5.098,2.039,4.647,5.265,3.532,,3.663,3.940
