day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,6.000,6.304,,,,,,,,,,,5.183,4.879,5.140,5.313,5.885,5.624,6.332,5.435,5.193,,5.548,5.171,,6.457,5.620,3.717,3.922
2,6.005,6.329,,,,,,6.700,6.100,,,,5.133,4.850,5.198,5.300,5.600,5.414,6.092,5.358,5.044,,5.268,5.035,,6.410,5.659,3.515,3.891
3,5.983,6.225,,,,,,6.712,6.092,,,,5.229,5.029,4.812,5.193,5.293,5.247,5.861,5.278,4.772,,4.905,4.928,,6.297,5.748,3.488,3.985
4,5.983,6.290,,,,,,6.708,6.025,,,,5.167,5.050,4.560,5.061,4.970,5.228,5.569,5.195,4.593,,4.549,4.875,5.836,6.169,5.738,3.528,4.166
5,5.958,6.413,,,,,,6.758,5.925,,,,5.100,4.893,4.406,4.934,4.706,5.318,5.398,5.110,4.569,,4.268,4.891,5.831,6.055,5.676,3.388,4.140
6,5.938,6.371,,,,,,6.700,5.788,,,,4.992,4.857,4.544,4.852,4.606,5.165,5.232,4.975,4.627,,3.951,4.929,5.724,5.921,5.722,3.338,4.267
7,5.967,6.364,,,,,,6.675,5.675,,,,5.042,4.750,4.633,4.679,4.650,5.003,5.168,4.872,4.752,,3.647,4.966,5.589,5.828,5.696,3.489,4.343
8,5.950,6.396,,,,,,6.821,5.600,,,,5.025,4.800,4.873,4.544,4.557,4.929,5.142,4.803,4.748,,3.531,5.119,5.461,5.776,5.633,3.428,4.421
9,5.958,6.325,,,,,,6.721,5.579,,,,4.943,4.764,4.764,4.742,4.470,4.870,5.207,4.662,4.658,,3.454,5.165,5.449,5.558,5.518,3.418,4.332
10,5.995,6.325,,,,17.374,,6.600,5.396,,,,4.800,4.621,4.585,4.670,4.277,4.767,5.078,4.640,4.689,,3.317,5.123,5.469,5.375,5.465,3.280,4.199
11,5.963,6.283,,,,,,6.563,5.300,,,,4.558,4.450,4.788,4.579,4.099,4.538,4.910,4.803,4.751,,3.123,5.165,5.450,5.365,5.456,3.238,4.186
12,5.950,6.308,,,,,,6.517,5.309,,,,4.158,4.314,4.622,4.624,4.096,4.299,4.780,4.751,4.735,,2.996,5.161,5.458,5.245,5.453,3.277,4.273
13,5.983,6.375,,,,,,6.300,5.301,,,,3.983,4.214,4.450,4.732,4.260,4.125,4.540,4.772,4.657,,2.783,5.152,5.463,4.974,5.470,3.267,4.254
14,5.962,6.296,,,,,,6.033,5.271,,,,3.783,4.221,4.133,4.796,4.507,3.951,4.384,4.827,4.509,,2.644,5.084,5.307,4.565,5.330,3.312,4.254
15,5.962,6.196,,,,,,5.742,5.237,,,,3.483,4.100,4.183,4.874,4.588,3.775,4.248,4.828,4.396,5.291,2.401,5.032,5.261,4.180,5.175,3.405,4.208
16,5.960,6.250,,,,,,5.717,,,,,3.250,3.914,4.150,4.878,4.648,3.591,4.082,4.633,4.268,5.205,2.163,4.860,5.220,3.969,5.050,3.493,4.172
17,5.975,6.317,,,,,,5.678,,,,,3.021,3.686,4.068,4.864,4.998,3.334,4.022,4.351,4.100,5.033,2.010,4.745,5.186,3.823,4.820,3.552,4.082
18,5.950,6.392,,,,,,5.508,,,,,2.858,3.564,4.033,4.843,4.905,3.119,3.849,4.156,4.036,4.888,2.017,4.700,5.206,3.528,4.747,3.631,3.945
19,5.967,6.379,,,,,,5.488,,,,,2.767,3.457,3.882,4.855,4.581,2.754,3.877,4.171,3.995,4.732,2.023,4.633,5.154,3.409,4.612,3.619,3.793
20,5.967,6.442,,,,,,5.383,,,,,2.646,3.264,3.738,4.845,4.404,2.472,3.861,4.072,3.966,4.627,1.930,4.552,5.060,3.368,4.549,3.580,3.624
21,5.971,6.350,,,,,,5.304,4.772,,,,2.583,3.057,3.702,4.765,4.173,2.379,3.788,3.934,3.839,4.635,2.119,4.386,4.870,3.463,4.484,3.540,3.418
22,5.962,6.338,,,,,,5.058,4.717,,,,2.483,2.764,3.563,4.637,4.128,2.282,3.684,3.758,3.750,4.578,2.226,4.217,4.718,3.560,4.393,3.386,3.359
23,5.971,6.450,,,,,,4.879,4.702,,,,2.562,2.443,3.369,4.696,4.173,2.134,3.615,3.634,,4.515,2.171,4.116,4.647,3.636,4.189,3.168,3.215
24,5.975,6.342,,,,,,4.917,4.756,,,,2.583,2.236,3.285,4.700,4.212,1.930,3.514,3.500,,4.524,2.175,4.033,4.580,3.821,4.077,3.119,3.082
25,5.958,6.358,,,,,,5.025,4.763,,,,2.608,2.121,3.084,,4.080,2.058,3.464,3.386,,4.412,2.230,3.912,,4.010,4.070,2.959,2.887
26,5.946,6.461,,,,,,4.908,4.846,,,,2.650,1.836,2.591,,3.912,2.180,3.422,3.298,3.786,4.250,2.319,3.770,4.499,4.109,4.056,2.822,2.782
27,5.954,6.488,,,,,,4.796,4.932,,,,2.729,1.664,2.397,,3.664,2.138,3.409,3.201,3.869,4.382,2.330,3.755,4.460,4.171,3.930,2.719,2.864
28,5.950,6.454,,,,,,4.658,4.985,,,,2.721,1.629,2.330,,3.632,2.233,3.429,3.170,3.919,4.435,2.366,3.674,4.331,4.213,3.887,2.597,2.893
29,5.971,6.558,,,,,,4.475,4.969,,,,2.696,1.557,2.276,4.363,3.623,2.459,3.403,3.162,3.925,4.454,2.286,3.612,4.180,4.188,3.868,2.468,2.606
30,5.962,6.567,,,,,,4.392,4.964,,,3.813,2.558,1.650,2.254,4.240,3.634,2.773,3.587,3.157,3.956,4.460,2.363,3.593,4.124,4.108,3.913,2.414,2.205
31,5.962,6.600,,,,,,4.283,5.010,,,3.900,2.442,1.800,2.229,4.320,3.539,2.773,3.852,3.136,3.955,4.383,2.431,3.461,4.052,4.222,3.989,2.359,2.351
32,5.971,6.596,,,,,,4.171,5.033,,,3.835,2.338,1.850,2.217,4.209,3.328,2.856,3.883,3.130,3.923,4.329,2.400,3.389,3.966,4.573,4.090,2.374,2.338
33,5.980,6.583,,,,,,4.096,4.995,,,3.838,2.208,1.664,2.321,4.140,3.167,2.965,3.904,2.981,3.846,4.136,2.188,3.381,3.944,4.524,4.219,2.305,2.233
34,,6.579,,,,,,3.983,4.973,,,3.800,2.021,1.586,2.200,4.114,3.013,2.993,3.775,2.880,3.784,4.032,2.041,3.425,3.933,4.155,4.431,2.256,2.182
35,5.958,6.533,,,,,,3.804,4.895,,,3.833,1.988,1.679,2.154,4.194,2.888,2.985,3.711,2.714,3.775,3.914,1.904,3.622,3.696,4.070,4.582,2.095,2.156
36,5.963,6.442,,,,,,3.717,4.823,,,3.850,2.058,1.807,2.307,4.276,2.929,2.947,3.684,2.356,3.765,3.798,1.844,3.619,3.388,3.955,4.685,2.016,2.141
