day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,93.004,102.188,61.500,70.958,80.683,135.638,60.283,80.663,50.879,83.625,88.029,68.863,73.504,84.204,72.513,60.775,103.471,66.896,145.913,83.329,143.229,107.150,135.846,106.583,86.604,51.492,96.517,157.029,69.339
2,101.429,131.450,58.375,110.138,113.842,119.088,120.942,93.533,83.183,103.196,90.842,75.471,70.629,120.917,91.108,67.229,107.921,93.254,139.208,85.733,138.413,109.338,133.704,115.925,119.200,76.121,106.075,162.654,101.600
3,125.471,126.392,90.071,120.633,131.100,146.646,127.250,113.813,68.950,103.713,130.713,83.029,89.546,121.750,105.633,68.425,125.233,94.054,150.746,84.517,150.488,113.942,129.575,119.538,94.613,82.267,109.800,154.442,81.350
4,117.896,137.858,108.604,96.421,149.417,150.796,107.708,119.233,61.354,97.858,136.808,88.317,106.529,116.842,116.550,100.600,133.413,83.967,153.613,109.454,138.946,111.663,141.600,119.267,94.200,87.625,120.596,142.488,115.967
5,116.800,150.063,109.588,132.467,147.308,157.733,112.913,101.813,62.979,147.758,139.267,94.213,108.121,96.954,124.054,83.738,128.046,78.929,157.413,107.946,118.429,112.696,138.608,130.567,96.163,93.150,102.104,152.396,104.072
6,115.063,152.421,152.567,128.163,149.567,168.813,106.188,76.088,85.713,139.417,126.500,98.925,97.863,91.217,107.683,81.750,116.392,94.533,148.029,109.563,135.308,111.946,141.775,116.654,90.413,90.454,119.917,157.783,96.394
7,102.342,123.679,160.117,132.758,136.013,156.375,112.792,77.879,97.063,131.721,135.821,80.867,62.163,126.688,104.221,95.567,99.221,99.346,143.750,117.242,128.608,116.142,143.925,126.450,105.725,101.017,132.621,138.500,63.950
8,92.388,137.154,152.983,140.042,139.246,148.804,122.208,83.383,101.617,115.033,102.367,74.042,95.313,124.871,92.800,92.454,84.063,93.892,139.708,125.342,124.388,110.163,138.288,124.563,115.029,94.788,137.288,116.475,71.589
9,91.304,156.317,148.646,157.054,142.246,112.742,126.200,76.892,79.675,113.350,105.004,76.596,112.192,117.213,95.529,78.617,76.738,105.817,124.567,110.617,135.308,105.742,137.346,117.633,123.517,104.808,137.242,137.629,100.439
10,93.117,165.788,161.233,139.429,117.096,146.179,112.792,68.217,86.383,93.800,123.433,90.708,97.496,112.963,83.554,64.708,116.108,103.158,134.646,99.338,133.804,99.867,140.442,134.929,113.729,111.508,127.067,137.371,96.111
11,98.621,160.129,150.150,125.754,141.171,159.504,111.217,76.321,69.492,76.442,123.313,100.704,122.246,85.308,74.775,96.500,131.579,105.492,141.383,97.179,136.529,106.700,136.333,151.558,100.379,79.121,128.546,127.533,76.894
12,92.771,171.338,162.504,153.175,145.263,161.267,98.363,80.504,50.575,117.971,130.183,93.375,126.325,69.800,100.517,87.921,133.308,112.608,143.442,87.617,139.017,113.942,132.246,132.267,101.496,84.358,129.433,118.246,95.500
13,69.104,162.525,178.954,149.238,152.625,166.908,88.379,71.079,74.838,109.196,116.525,97.842,144.583,78.279,106.217,66.642,112.113,111.092,142.371,77.204,138.271,98.867,138.708,123.400,120.758,118.600,115.792,135.300,101.506
14,60.858,159.583,184.554,123.683,141.763,157.954,74.654,109.958,87.421,104.500,115.196,93.488,123.058,103.513,125.971,70.392,86.979,94.417,146.563,99.708,144.142,102.213,139.171,125.904,119.479,128.733,140.425,152.542,86.150
15,47.171,167.850,181.746,117.642,146.954,137.546,96.467,118.550,102.650,94.179,127.375,94.733,143.871,116.279,137.438,71.600,78.746,98.363,141.567,87.750,145.633,127.350,138.463,138.888,111.796,115.033,147.375,160.592,56.428
16,71.733,175.413,183.150,125.588,139.158,100.425,110.079,112.192,100.054,90.221,105.588,131.688,133.463,116.521,140.283,63.900,56.171,107.192,144.317,95.779,140.904,89.533,145.904,127.400,93.446,121.675,144.754,143.763,84.794
17,91.296,161.817,165.192,92.450,130.575,130.579,107.871,118.213,102.242,78.154,121.058,128.521,132.613,111.429,126.875,36.650,67.150,113.938,153.925,102.875,145.075,69.142,139.117,136.821,84.217,127.804,108.571,159.417,98.406
18,84.921,180.046,151.400,68.725,141.800,147.558,97.338,108.525,71.213,69.604,95.058,129.354,133.400,119.525,111.396,67.671,98.279,127.796,155.792,104.238,130.050,79.321,132.829,126.988,87.108,102.188,131.838,147.354,88.863
19,95.079,180.467,145.929,107.842,138.363,153.404,86.638,102.746,72.596,88.871,89.375,121.196,134.721,77.167,129.117,66.171,127.658,113.921,153.904,93.154,131.992,66.088,120.008,142.454,72.742,95.875,128.517,136.029,116.340
20,83.508,186.175,150.092,115.721,143.088,152.092,85.063,73.363,91.588,90.063,96.138,105.492,119.050,69.163,128.742,74.888,125.300,110.575,154.500,118.921,141.729,65.913,120.938,118.854,71.850,116.667,126.708,149.854,100.506
21,84.225,172.688,148.417,116.896,141.463,144.488,83.417,106.817,108.129,98.375,94.358,99.083,113.400,121.392,135.342,72.971,145.700,77.067,142.979,110.675,134.825,78.908,118.242,122.246,106.363,123.558,132.125,123.017,95.850
22,81.104,179.546,146.004,110.625,140.071,110.433,96.600,118.963,96.592,122.563,74.071,83.517,127.404,129.633,125.592,79.704,140.579,86.288,156.554,108.271,138.025,92.817,105.113,127.554,91.138,129.117,126.925,144.533,88.867
23,106.400,192.563,151.467,101.575,122.454,129.750,86.783,115.917,70.854,97.329,69.650,100.104,122.725,125.333,128.475,45.292,129.196,97.763,151.175,104.654,137.088,84.563,119.667,135.446,75.888,121.433,130.079,159.071,88.594
24,111.446,179.129,153.463,92.267,100.988,157.567,94.288,92.954,77.333,83.167,103.850,114.250,128.054,120.671,99.563,54.854,139.029,107.967,144.013,96.850,122.604,65.667,112.275,123.938,83.721,113.371,130.842,148.213,110.028
25,104.888,181.446,164.446,65.438,136.683,166.413,97.508,117.346,61.358,77.654,114.996,108.483,141.883,120.638,109.563,91.283,144.425,85.058,139.242,78.558,129.504,109.725,110.283,119.904,76.092,118.258,140.433,160.358,107.211
26,94.138,181.246,159.617,105.279,155.288,154.208,98.238,82.900,41.896,108.679,101.788,110.138,136.700,93.288,144.163,92.313,163.942,94.467,121.071,81.288,135.879,104.942,105.263,141.450,69.183,101.300,129.321,153.267,76.406
27,102.829,179.558,162.433,114.688,158.692,154.629,78.354,77.813,65.288,103.708,98.767,104.600,136.375,90.688,132.104,89.600,168.029,112.304,93.054,106.571,130.104,125.592,104.600,137.908,69.738,118.308,143.008,147.063,91.944
28,101.538,148.396,151.125,112.229,154.125,155.583,70.321,114.296,77.529,98.721,109.833,103.675,124.129,93.788,118.883,80.917,154.246,90.658,103.946,120.092,140.817,110.842,95.992,112.754,109.788,118.813,143.592,154.117,92.578
29,69.704,175.346,170.450,109.850,151.725,148.517,89.500,127.513,72.979,94.958,93.608,94.129,146.238,93.108,116.654,78.675,150.625,46.713,125.275,99.813,151.750,119.425,102.067,136.133,116.571,124.854,141.942,154.338,109.478
30,99.063,187.479,152.600,111.346,132.792,159.638,89.750,130.146,86.396,80.500,86.429,104.971,137.492,92.163,119.079,64.792,142.213,75.858,105.438,95.354,146.133,87.642,109.463,114.258,121.204,104.900,118.067,141.083,140.528
31,103.408,186.229,131.413,101.546,124.608,163.725,77.758,133.196,68.713,81.167,104.621,110.175,119.121,88.271,91.229,41.950,148.771,93.704,100.792,89.917,156.271,91.646,99.938,132.088,116.313,105.625,105.438,141.454,118.544
32,82.275,203.500,118.783,104.725,136.363,156.638,63.429,105.704,57.196,67.196,97.033,97.821,107.442,101.017,68.192,81.113,142.825,83.463,96.988,62.492,154.283,111.417,105.317,139.204,97.625,75.221,124.246,133.479,127.706
33,73.904,204.971,113.800,132.771,168.850,137.508,63.863,88.688,47.838,96.742,100.754,89.713,119.058,84.496,93.346,87.229,147.208,91.896,89.963,50.592,140.654,119.004,111.883,142.883,75.908,114.779,123.963,139.608,129.972
34,76.292,186.908,139.846,151.433,167.629,114.129,61.642,77.975,72.138,110.546,128.763,88.888,88.988,87.217,102.696,67.000,141.317,83.029,62.354,83.758,147.563,121.283,118.279,130.817,76.821,128.183,125.213,131.967,105.111
35,65.371,148.163,149.433,143.833,170.046,128.554,63.479,137.375,85.633,76.804,126.042,85.683,73.871,94.567,84.663,72.929,121.904,72.400,83.096,86.554,155.042,92.821,108.763,124.113,111.438,128.100,128.500,147.446,92.800
36,67.450,144.188,157.158,144.850,168.658,143.792,89.958,102.775,85.721,113.017,95.608,58.742,90.933,103.100,83.938,62.588,96.629,65.792,93.875,93.904,160.542,88.808,110.350,130.233,93.967,124.963,133.700,140.675,75.311
37,113.292,158.079,170.604,148.175,152.313,84.083,101.221,112.275,104.708,101.400,87.821,99.492,99.513,105.488,75.450,44.442,111.979,88.179,108.150,124.771,150.571,67.142,118.413,145.183,67.992,131.946,87.350,131.850,88.022
38,102.000,119.958,168.013,126.525,138.842,116.788,101.458,94.054,87.904,82.200,134.850,105.438,123.904,88.063,56.833,44.646,126.925,108.979,124.725,118.892,159.479,89.754,124.696,145.367,99.721,130.771,97.767,133.275,104.600
39,102.388,74.604,154.808,113.804,152.596,116.817,115.825,109.442,64.196,55.163,137.858,97.450,111.904,101.829,75.117,82.838,142.404,103.258,131.258,92.354,152.088,89.817,129.446,155.517,117.154,105.567,140.846,95.208,93.678
40,111.238,70.567,148.833,145.075,163.579,137.742,102.375,95.621,49.796,98.563,135.704,99.317,112.479,65.021,88.983,95.550,161.092,96.658,100.050,65.675,147.592,99.054,122.163,164.025,97.508,120.067,128.604,119.246,106.633
41,104.975,73.092,143.400,151.738,159.717,153.950,98.058,93.858,78.258,100.542,121.046,115.696,111.083,63.583,114.463,93.029,164.092,102.167,81.917,79.029,128.521,115.200,119.329,178.546,83.196,122.238,129.829,119.433,70.194
