day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,5.142,,,,,18.300,16.000,,,,,,,5.683,,5.229,6.200,5.839,5.522,6.222,6.129,5.804,4.300,4.761
2,,,,,,5.004,,,,,18.300,16.000,,,,,,,5.471,4.518,5.158,6.200,5.621,5.518,6.035,5.975,5.854,4.154,4.722
3,,,,,,4.922,,,,,18.300,16.000,,,,,,,5.204,4.742,5.125,6.200,5.452,5.455,5.964,5.900,5.896,4.050,4.728
4,,,,,,4.830,,,,,18.300,16.000,,,,,,,5.100,4.621,5.200,5.654,4.875,5.509,6.021,5.871,5.833,3.975,4.739
5,,,,,,4.708,,,,,18.300,16.000,,,,,,,5.021,4.492,5.121,5.250,4.483,5.500,6.068,5.896,5.642,3.954,4.561
6,,,,,,4.554,,,,,18.300,16.000,,,,,,,4.954,4.333,4.992,5.233,4.326,5.388,6.026,5.838,5.621,3.779,4.317
7,,,,,,4.471,,,,,18.300,16.000,,,,,,,4.917,4.221,5.037,5.417,3.950,5.400,5.964,5.733,5.567,3.733,4.400
8,,,,,,4.483,,,,,18.300,16.000,,,,,,,4.867,4.029,5.096,5.546,3.868,5.492,5.865,5.621,5.592,3.675,4.400
9,,,,,,4.454,,,,,18.300,16.000,,,,,,,4.792,3.908,5.004,5.696,3.800,5.500,5.800,5.471,5.500,3.712,4.228
10,,,,,,4.313,,,,,18.300,16.000,,,,,,,4.658,3.871,4.892,5.800,3.795,5.457,5.787,5.317,5.400,3.538,4.200
11,,,,,,4.036,,,,,18.300,16.000,,,,,,,4.517,3.900,4.771,5.800,3.548,5.336,5.800,5.225,5.312,3.550,4.189
12,,,,,,3.908,,,,,18.300,16.000,,,,,,,4.354,3.870,4.637,5.717,3.223,5.124,5.778,5.108,5.188,3.600,4.017
13,,,,,,3.879,,,,,18.300,16.000,,,,,,,4.104,3.883,4.554,5.438,2.754,4.917,5.714,4.838,5.017,3.638,3.967
14,,,,,,3.821,,,,,18.300,16.000,,,,,,,3.967,3.938,4.492,5.254,2.513,4.770,5.530,4.379,4.883,3.708,3.794
15,,,,,,3.767,,,,,18.300,16.000,,,,,,,3.721,4.046,4.346,5.050,2.405,4.700,5.348,3.996,4.758,3.842,3.700
16,,,,,,3.650,,,,,18.300,16.000,,,,,,,3.700,3.925,4.200,4.800,2.278,4.700,5.122,3.583,4.683,3.808,3.683
17,,,,,,3.473,,,,,18.300,16.000,,,,,,,3.700,3.721,4.150,4.683,2.221,4.622,4.926,3.663,4.608,3.721,3.606
18,,,,,,3.333,,,,,18.300,16.000,,,,,,,3.700,3.546,4.038,4.642,2.213,4.479,4.853,3.700,4.575,3.588,3.588
19,,,,,,3.213,,,,,18.300,16.000,,,,,,,3.700,3.400,4.042,4.596,2.208,4.325,4.750,3.658,4.438,3.471,3.400
20,,,,,,3.138,,,,,18.300,16.000,,,,,,,3.625,3.213,4.046,4.575,2.217,4.257,4.746,3.763,4.358,3.400,3.200
21,,,,,,3.109,,,,,18.300,16.000,,,,,,,3.521,3.062,3.971,4.592,2.283,4.196,4.690,3.900,4.333,3.358,2.982
22,,,,,,3.179,,,,,18.300,16.000,,,,,,,3.363,3.000,3.900,4.654,2.404,4.029,4.692,3.938,4.325,3.192,2.889
23,,,,,,3.167,,,,,18.300,16.000,,,,,,,3.281,2.908,3.938,4.700,2.462,3.918,4.622,4.050,4.204,3.029,2.817
24,,,,,,3.129,,,,,18.300,16.000,,,,,,,3.200,2.900,4.004,4.621,2.427,3.817,4.533,4.038,4.042,2.938,2.706
25,,,,,,3.183,,,,,18.300,16.000,,,,,,,3.204,2.850,4.017,4.642,2.370,3.704,4.443,4.100,3.975,2.821,2.600
26,,,,,,3.213,,,,,18.300,16.000,,,,,,,3.263,2.808,4.075,4.638,2.350,3.577,4.400,4.154,3.900,2.683,2.517
27,,,,,,3.170,,,,,18.300,16.000,,,,,,,3.300,2.833,4.100,4.608,2.439,3.475,4.400,4.129,3.867,2.637,2.656
28,,,,,,3.108,,,,,18.300,16.000,,,,,,,3.300,2.800,4.100,4.587,2.500,3.500,4.300,4.108,3.943,2.563,2.644
