day,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,5.713,16.100,,,,,,,5.683,5.129,5.283,6.200,5.861,5.595,6.241,6.092,5.742,4.292,4.700
2,,,,,,,,,5.446,16.100,,,,,,,5.488,5.033,5.175,6.200,5.633,5.530,6.061,5.904,5.800,4.117,5.350
3,,,,,,,,,5.125,16.100,,,,,,,5.212,4.925,5.146,6.200,5.495,5.470,6.000,5.838,5.800,3.988,4.656
4,,,,,,,,,4.654,16.100,,,,,,,5.100,4.825,5.204,5.662,4.929,5.547,6.043,5.800,5.754,3.942,4.700
5,,,,,,,,,4.308,16.100,,,,,,,5.025,4.662,5.137,5.263,4.517,5.505,6.100,5.800,5.588,3.900,4.500
6,,,,,,,,,4.188,16.100,,,,,,,4.946,4.529,5.004,5.241,4.362,5.404,6.071,5.796,5.554,3.721,4.272
7,,,,,,,,,3.900,16.100,,,,,,,4.900,4.367,5.037,5.425,3.978,5.405,6.000,5.671,5.500,3.650,4.300
8,,,,,,,,,3.833,16.100,,,,,,,4.888,4.079,5.100,5.554,3.885,5.500,5.895,5.554,5.500,3.600,4.300
9,,,,,,,,,3.808,16.100,,,,,,,4.775,4.000,5.025,5.721,3.800,5.511,5.736,5.433,5.438,3.646,4.167
10,,,,,,,,,3.750,16.100,,,,,,,4.654,3.933,4.900,5.804,3.800,5.477,5.800,5.242,5.300,3.504,4.100
11,,,,,,,,,3.850,16.100,,,,,,,4.517,3.979,4.779,5.817,3.594,5.355,5.800,5.163,5.263,3.479,4.100
12,,,,,,,,,3.879,16.100,,,,,,,4.363,3.957,4.646,5.742,3.289,5.181,5.800,5.067,5.117,3.546,3.944
13,,,,,,,,,3.867,16.100,,,,,,,4.100,3.967,4.571,5.475,2.813,4.938,5.735,4.796,4.938,3.550,3.883
14,,,,,,,,,3.608,16.100,,,,,,,3.963,4.008,4.500,5.278,2.530,4.795,5.560,4.321,4.817,3.642,3.722
15,,,,,,,,,3.358,16.100,,,,,,,3.725,4.113,4.358,5.083,2.442,4.735,5.390,3.958,4.700,3.742,3.600
16,,,,,,,,,3.027,16.100,,,,,,,3.700,4.017,4.212,4.821,2.318,4.700,5.082,3.529,4.604,3.729,3.600
17,,,,,,,,,2.879,16.100,,,,,,,3.700,3.792,4.154,4.713,2.214,4.674,4.950,3.600,4.546,3.638,3.528
18,,,,,,,,,2.942,16.100,,,,,,,3.700,3.633,4.050,4.675,2.290,4.514,4.863,3.621,4.500,3.529,3.525
19,,,,,,,,,2.846,16.100,,,,,,,3.700,3.471,4.046,4.617,2.217,4.360,4.800,3.600,4.396,3.392,3.300
20,,,,,,,,,3.013,16.100,,,,,,,3.613,3.296,4.075,4.587,2.241,4.300,4.795,3.667,4.304,3.300,3.122
21,,,,,,,,,3.188,16.100,,,,,,,3.529,3.142,3.988,4.600,2.257,4.209,4.706,3.835,4.258,3.821,2.924
22,,,,,,,,,3.400,16.100,,,,,,,3.363,3.037,3.900,4.650,2.417,4.064,4.633,3.858,4.267,3.108,2.800
23,,,,,,,,,3.492,16.100,,,,,,,3.287,3.000,3.933,4.700,2.519,3.959,4.645,3.971,4.125,2.946,2.739
24,,,,,,,,,3.592,16.100,,,,,,,3.200,2.967,4.004,4.667,2.482,3.836,4.571,3.946,3.992,2.900,2.628
25,,,,,,,,,3.617,16.100,,,,,,,3.200,2.900,4.025,4.638,2.391,3.714,4.480,4.000,3.896,2.733,3.228
26,,,,,,,,,3.458,16.100,,,,,,,3.250,2.900,4.092,4.638,2.358,3.605,4.400,4.063,3.763,2.608,2.478
27,,,,,,,,,3.242,16.100,,,,,,,3.300,2.900,4.104,4.587,2.432,3.509,4.413,4.004,3.817,2.600,2.556
28,,,,,,,,,3.300,16.100,,,,,,,3.300,2.900,4.100,4.596,2.500,3.500,4.336,4.042,3.850,2.513,2.600
29,,,,,,,,,3.300,16.100,,,,,,,3.317,2.796,4.073,4.521,2.500,3.500,4.182,4.000,3.946,2.400,2.406
30,,,,,,,,,3.300,16.100,,,,,,,3.304,2.742,4.042,4.392,2.480,3.423,4.104,4.017,4.000,2.371,2.278
31,,,,,,,,,3.329,16.100,,,,,,,3.300,2.779,4.000,4.283,2.400,3.384,4.041,4.050,4.050,2.374,2.017
32,,,,,,,,,3.333,16.100,,,,,,,3.309,2.758,3.921,4.179,2.270,3.316,4.068,4.142,4.058,2.312,1.844
33,,,,,,,,,3.317,16.100,,,,,,,3.250,2.542,3.879,4.113,2.045,3.200,4.054,3.996,4.113,2.204,1.844
34,,,,,,,,,3.238,16.100,,,,,,,3.046,2.471,3.813,3.937,1.840,3.245,4.100,3.888,4.137,2.100,1.917
35,,,,,,,,,3.271,16.100,,,,,,,2.770,2.508,3.724,3.746,1.695,3.427,3.905,3.754,4.117,2.046,1.917
36,,,,,,,,,3.296,16.100,,,,,,,3.117,2.212,3.635,3.705,1.700,3.465,3.519,3.646,4.125,2.125,2.000
37,,,,,,,,,3.242,16.100,,,,,,,3.163,1.813,3.629,3.692,1.654,3.486,3.181,3.608,4.104,2.158,2.089
38,,,,,,,,,3.121,16.100,,,,,,,3.300,1.646,3.633,3.700,1.610,3.450,2.895,3.700,4.171,2.254,2.239
39,,,,,,,,,2.992,16.100,,,,,,,3.379,1.617,3.650,3.763,1.488,3.573,2.645,3.654,4.113,2.346,2.356
40,,,,,,,,,2.867,16.100,,,,,,,3.367,1.600,3.708,3.826,1.424,3.610,2.441,3.671,3.908,2.479,2.372
41,,,,,,,,,2.979,16.100,,,,,,,3.075,1.692,3.838,3.808,1.550,3.443,2.400,3.558,3.650,2.542,2.450
42,,,,,,,,,2.983,16.100,,,,,,,3.200,1.775,3.900,3.817,1.641,3.317,2.341,3.563,3.300,2.562,2.461
43,,,,,,,,,2.904,16.100,,,,,,,3.019,1.833,3.950,3.896,1.775,3.186,2.213,3.596,3.046,2.558,2.461
44,,,,,,,,,2.883,16.100,,,,,,,3.274,1.883,4.029,3.900,1.829,3.150,2.327,3.579,2.729,2.575,2.544
45,,,,,,,,,2.904,16.100,,,,,,,3.350,2.008,4.029,3.913,1.786,3.195,2.309,3.558,2.675,2.600,2.550
46,,,,,,,,,2.863,16.100,,,,,,,3.367,2.100,4.021,4.004,1.855,3.271,2.427,3.479,2.854,2.654,2.494
47,,,,,,,,,2.714,16.100,,,,,,,3.317,2.142,3.954,4.013,1.932,3.400,2.672,3.471,3.033,2.792,2.450
48,,,,,,,,,2.657,16.100,,,,,,,3.296,2.350,3.913,4.079,2.010,3.559,2.779,3.467,3.139,3.429,2.506
49,,,,,,,,,2.604,16.100,,,,,,,3.321,2.126,3.917,4.183,2.136,3.523,2.805,3.429,3.146,3.013,2.594
50,,,,,,,,,2.554,16.100,,,,,,,3.267,2.321,3.933,4.200,2.168,3.425,2.805,3.375,3.100,3.058,2.744
51,,,,,,,,,2.621,16.100,,,,,,,3.217,2.480,3.983,4.167,2.241,3.233,2.871,3.346,3.142,3.188,2.865
52,,,,,,,,,2.626,16.100,,,,,,,3.217,2.500,4.050,4.146,2.346,3.062,2.847,3.304,3.242,3.179,3.000
53,,,,,,,,,2.604,16.100,,,,,,,3.217,2.488,4.100,4.079,2.438,2.973,2.824,3.313,3.392,3.058,2.939
54,,,,,,,,,2.421,16.100,,,,,,,3.221,2.425,4.096,4.058,2.513,2.986,2.848,3.350,3.458,2.854,2.706
55,,,,,,,,,2.335,16.100,,,,,,,3.213,2.400,4.138,4.088,2.555,3.118,2.829,3.379,3.443,2.708,2.567
56,,,,,,,,,2.404,16.100,,,,,,,3.204,2.392,4.200,4.063,2.505,3.175,2.800,3.412,3.513,2.642,2.400
57,,,,,,,,,2.500,16.100,,,,,,,3.317,2.367,4.325,4.108,2.516,3.309,2.738,3.404,3.554,2.700,2.350
58,,,,,,,,,2.587,16.100,,,,,,,3.342,2.279,4.433,4.233,2.544,3.409,2.714,3.504,3.571,2.838,2.206
59,,,,,,,,,2.675,16.100,,,,,,,3.442,4.592,4.529,4.350,2.595,3.527,2.758,3.538,3.650,2.892,2.283
60,,,,,,,,,2.679,16.100,,,,,,,3.442,2.360,4.538,4.421,2.710,3.610,2.876,3.554,3.775,3.063,2.350
61,,,,,,,,,2.750,16.100,,,,,,,3.592,,4.600,4.421,2.829,3.639,2.767,3.508,3.854,3.217,2.483
62,,,,,,,,,2.763,16.100,,,,,,,3.721,,4.642,4.354,2.957,3.681,2.713,3.558,3.917,3.383,2.567
63,,,,,,,,,2.825,16.100,,,,,,,3.571,3.638,4.650,4.392,3.095,3.678,2.674,3.738,3.921,3.496,2.706
64,,,,,,,,,2.904,16.100,,,,,,,3.737,5.025,4.646,4.454,3.148,3.738,2.800,3.854,4.000,3.504,2.768
65,,,,,,,,,3.050,16.100,,,,,,,3.625,8.108,4.738,4.608,3.175,3.774,2.743,3.963,4.100,3.508,2.811
