day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,93.825,101.788,61.179,71.163,79.658,135.067,59.963,77.950,48.725,80.192,82.929,70.788,72.050,83.692,70.508,58.304,99.354,64.417,140.804,77.275,134.871,99.900,134.563,103.021,81.029,47.071,93.125,150.554,70.094
2,103.388,130.925,60.692,112.821,116.308,119.504,124.392,92.979,80.567,101.929,88.992,77.275,68.938,123.321,89.946,64.213,105.554,90.779,137.250,82.029,129.938,101.725,131.058,110.533,112.929,71.175,102.875,158.475,97.178
3,127.913,123.992,90.196,121.975,131.958,146.438,126.396,109.583,69.796,100.233,127.613,87.492,86.575,127.375,104.096,67.429,122.171,93.000,147.983,80.454,141.888,104.896,129.100,113.792,89.004,75.721,103.246,149.075,78.883
4,119.233,137.038,112.650,97.321,153.108,151.013,108.221,114.783,58.763,98.179,133.092,92.917,102.363,115.350,114.854,98.163,131.404,81.575,149.746,103.767,130.317,108.329,141.988,116.221,87.192,80.679,111.263,138.675,116.244
5,119.300,149.767,113.613,137.329,149.688,156.775,110.783,98.938,59.679,146.975,136.021,100.075,104.363,96.888,121.754,81.421,124.225,76.350,153.346,103.654,109.367,106.996,139.788,124.467,86.721,83.996,100.696,146.875,101.811
6,116.504,149.296,157.763,129.579,151.021,170.496,106.763,69.646,84.938,138.029,121.600,102.808,94.854,90.500,106.113,80.538,112.013,92.596,142.817,104.875,125.613,106.433,145.125,111.967,85.475,86.279,115.600,153.704,97.728
7,102.988,122.992,165.171,136.308,136.438,156.129,111.729,77.575,94.204,129.221,134.442,84.263,56.454,127.063,96.038,90.250,96.292,97.567,137.800,114.483,116.046,110.588,145.067,119.583,98.058,92.479,123.117,131.129,62.989
8,94.004,135.371,154.742,144.046,141.883,146.363,122.008,76.871,97.192,113.283,98.117,72.708,96.546,125.629,82.250,91.113,80.100,91.438,135.558,119.325,114.154,103.221,140.913,118.096,107.138,84.996,131.646,110.154,71.406
9,92.029,156.988,157.017,158.788,143.779,111.146,124.754,69.567,78.400,113.383,103.950,79.133,105.296,117.379,83.321,74.379,75.400,103.229,119.000,105.854,127.017,98.458,139.446,113.300,115.700,95.600,130.083,131.900,98.556
10,94.825,165.638,165.788,140.842,118.379,147.800,111.621,62.771,85.088,89.896,119.625,95.108,97.888,113.529,77.600,63.521,113.971,99.392,129.725,96.108,123.571,93.042,141.954,128.292,104.983,104.192,120.967,131.821,95.761
11,100.208,159.821,152.638,128.404,144.679,157.196,108.700,71.617,66.296,74.021,121.033,103.400,121.238,86.517,65.883,94.788,128.088,103.192,135.379,93.000,124.333,100.892,136.942,146.483,93.271,71.242,120.704,122.421,76.094
12,93.621,170.421,170.613,159.271,147.725,160.013,96.821,73.017,47.771,114.417,128.075,96.171,125.925,66.779,95.967,85.704,131.842,111.533,138.913,79.663,129.929,107.700,133.696,125.375,94.621,78.054,122.375,111.783,89.444
13,69.621,163.304,183.604,150.021,153.217,167.213,90.771,65.792,74.150,106.542,114.313,101.138,145.650,79.288,100.450,62.054,111.063,109.100,136.758,72.925,129.271,92.438,141.146,118.188,113.963,113.767,109.000,130.113,98.411
