day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.0,0.0,0.0,0.0,0.0,10.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400,0.0,0.0,0.0,0.0,0.004,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.0,1.096,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,9.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.0,0.383,0.0,0.0,0.0,1.746,0.058,0.0,0.0,10.375,0.0,0.0,3.804,0.379,0.0,0.0
5,0.0,0.0,0.0,11.583,2.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.0,0.0,0.0,3.833,0.0,0.0,0.0,8.371,0.0,0.0,0.367,0.0,0.0,0.428
6,0.0,0.0,0.017,2.863,3.079,11.367,0.0,0.0,0.0,3.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.158,0.0,0.0,0.0,11.542,0.0,0.0,1.179,0.0,0.0,0.217
7,0.0,0.0,1.167,7.083,0.0,4.029,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946,0.0,0.0,11.408,0.0,0.0,2.188,0.0,0.0,0.0
8,0.0,0.0,0.750,9.096,4.317,1.175,0.0,0.0,0.0,0.0,0.0,0.0,4.417,0.0,0.008,0.0,0.0,0.0,0.0,0.929,0.0,0.0,8.296,0.0,0.0,0.0,0.104,0.0,0.0
9,0.0,0.0,6.921,16.638,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.183,0.0,0.0,2.913,0.063,0.008,0.0
10,0.0,0.0,13.671,0.517,0.0,3.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.025,0.796,0.0,8.533,2.233,0.0,0.0
11,0.0,0.0,1.938,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,2.038,6.625,0.0,0.0,0.850,0.0,0.0
12,0.0,0.0,7.938,15.754,1.175,5.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,0.0,0.0,0.0,0.0,4.746,0.0,0.0,0.0
13,0.0,0.0,23.704,9.246,1.833,8.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,3.729,0.013,1.042,16.958,0.0,0.0,0.0
14,0.0,0.0,35.163,0.0,0.0,2.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,5.446,0.0,0.0,24.208,0.0,0.0,0.0
15,0.0,12.217,37.279,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.154,0.0,0.0,2.658,0.029,0.0,13.129,0.0,0.0,0.0
16,0.0,6.842,33.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.433,0.467,0.0,16.438,1.458,0.0,0.0
17,0.0,0.0,20.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.300,0.0,0.0,0.0,0.0,0.025,0.0,0.0,9.329,0.483,0.0,16.758,0.0,4.146,0.0
18,0.0,3.504,2.529,0.0,6.850,1.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.358,0.0,0.775,0.0,0.0,6.192,0.0,0.0,0.0
19,0.0,16.042,0.0,0.0,0.075,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050,0.0,0.0,7.850,0.0,0.704,0.0,0.0,0.0
20,0.0,13.704,2.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,1.883,1.758,0.0,0.0,16.142,0.0,0.0,0.0
21,0.0,0.0,0.104,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.329,0.0,0.0,0.0,0.0,0.0,0.0,15.821,1.171,0.0,0.0
22,0.0,10.271,0.0,0.0,3.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.517,0.0,0.0,0.033,0.0,0.0,0.0,25.388,0.0,0.0,0.144
23,0.0,16.179,2.946,0.0,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.546,0.0,0.0,0.0,0.0,0.0,0.0,21.896,0.0,0.0,0.0
24,0.0,9.804,10.808,0.0,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817,0.0,0.0,0.0,0.0,0.0,0.0,9.600,0.854,0.0,0.0
25,0.0,7.479,6.238,0.0,4.050,18.350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.946,0.0,0.0,2.075,0.0,0.0,0.0,11.675,0.0,0.667,0.0
26,0.0,8.154,2.500,0.613,9.788,16.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504,0.0,7.483,0.0,0.0,0.0,0.0,0.0,0.0,2.221,0.0,1.146,0.0,0.0,0.0
27,0.0,3.033,7.179,0.571,3.550,6.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,19.688,0.0,0.0,4.713,0.0,0.0,0.0,1.388,0.0,15.358,0.0,0.0,0.0
28,0.0,0.0,8.517,0.0,0.779,7.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250,0.0,2.163,0.0,0.0,3.208,0.238,0.0,0.0,0.0,0.0,12.054,0.0,0.0,0.0
29,0.0,3.750,17.954,0.0,6.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.350,0.0,0.0,0.271,0.0,0.0,0.0,0.0,0.0,12.642,0.0,0.0,0.0
30,0.0,10.908,1.075,2.263,0.0,4.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.717,0.0,0.0,0.0
31,0.0,14.675,0.0,0.0,0.0,16.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767,0.0,0.0,0.0
32,0.0,28.575,0.0,0.0,0.0,13.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,19.154,0.0,8.708,13.442,2.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188,0.0,0.0,0.017,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,0.0,0.0,0.0
34,0.0,21.742,1.458,19.992,10.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,3.371,0.0,0.0,0.0
35,0.0,0.0,0.158,12.763,9.050,3.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092,0.0,0.0,0.0,1.438,0.0,0.0,0.0,0.0,2.967,1.779,0.917,0.0
36,0.0,0.0,0.0,8.446,8.192,5.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.025,0.0,0.0,0.0,0.0,2.504,5.738,0.0,0.0
37,0.0,0.0,4.746,10.954,9.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.171,0.0,0.471,0.0,0.0,4.750,0.0,9.013,0.0,0.0,0.0
38,0.0,0.0,12.496,0.650,1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.150,3.083,9.067,0.0,0.0,5.896,0.0,0.863,0.650,0.0,0.122
39,0.0,5.417,3.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025,0.0,0.0,11.596,0.0,0.0,2.871,0.0,0.0
40,0.0,5.838,0.0,20.325,0.0,10.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,2.292,0.0,0.625,0.0,0.0,0.228
41,0.0,7.450,0.0,27.696,0.0,8.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600,0.0,0.0,0.0,0.0,0.071,4.650,0.0,1.138,13.788,0.0,0.0,0.0,0.0,0.0
42,0.0,7.013,5.808,26.413,0.0,5.667,0.0,0.0,0.0,0.0,0.0,0.767,0.0,0.0,0.0,0.0,13.621,0.0,0.0,0.0,0.0,0.0,5.683,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,22.129,0.321,18.525,0.242,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250,0.0,0.0,0.0,0.0,0.0,0.0,11.254,0.0,2.679,1.238,0.0,0.0
44,0.0,7.713,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513,0.0,0.0,0.0,8.346,0.0,0.0,30.696,0.0,7.550,2.629,0.0,0.0
