day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,4.992,,,,,18.600,16.100,,,,,,,5.800,5.267,5.342,6.008,5.804,5.600,6.304,6.088,5.908,4.467,4.906
2,,,,,,4.825,,,,,18.600,16.100,,,,,,,5.567,5.133,5.292,5.667,5.579,5.583,6.105,6.021,5.900,4.233,4.822
3,,,,,,4.609,,,,,18.600,16.100,,,,,,,5.283,5.062,5.225,5.446,5.296,5.558,6.091,5.950,5.904,4.133,4.800
4,,,,,,4.426,,,,,18.600,16.100,,,,,,,5.213,5.033,5.254,5.338,4.863,5.600,6.150,5.954,5.875,4.100,4.789
5,,,,,,4.478,,,,,18.600,16.100,,,,,,,5.096,4.833,5.175,5.288,4.546,5.488,6.139,5.987,5.717,4.013,4.533
6,,,,,,4.304,,,,,18.600,16.100,,,,,,,5.100,4.696,5.133,5.329,4.308,5.400,6.092,5.879,5.675,3.858,4.400
7,,,,,,4.183,,,,,18.600,16.100,,,,,,,5.025,4.513,5.100,5.463,4.017,5.455,6.058,5.763,5.600,3.767,4.422
8,,,,,,4.287,,,,,18.600,16.100,,,,,,,4.958,4.304,5.104,5.629,3.908,5.500,5.933,5.671,5.600,3.800,4.372
9,,,,,,4.183,,,,,18.600,16.100,,,,,,,4.854,4.258,4.988,5.758,3.800,5.500,5.822,5.517,5.454,3.750,4.228
10,,,,,,3.921,,,,,18.600,16.100,,,,,,,4.796,4.146,4.854,5.858,3.763,5.443,5.805,5.396,5.388,3.621,4.200
11,,,,,,3.733,,,,,18.600,16.100,,,,,,,4.692,4.125,4.729,5.821,3.548,5.317,5.838,5.333,5.304,3.633,4.122
12,,,,,,3.629,,,,,18.600,16.100,,,,,,,4.467,4.200,4.617,5.675,3.171,5.088,5.800,5.150,5.167,3.654,3.989
13,,,,,,3.508,,,,,18.600,16.100,,,,,,,4.250,4.179,4.508,5.375,2.754,4.913,5.668,4.850,5.004,3.729,3.878
14,,,,,,3.504,,,,,18.600,16.100,,,,,,,4.033,4.238,4.437,5.233,2.535,4.722,5.541,4.425,4.913,3.800,3.722
15,,,,,,3.450,,,,,18.600,16.100,,,,,,,3.900,4.325,4.317,5.013,2.475,4.700,5.333,3.946,4.800,3.846,3.628
16,,,,,,3.338,,,,,18.600,16.100,,,,,,,3.879,4.117,4.204,4.783,2.317,4.642,5.132,3.696,4.700,3.808,3.606
17,,,,,,3.246,,,,,18.600,16.100,,,,,,,3.854,3.942,4.138,4.725,2.300,4.592,4.929,3.800,4.642,3.712,3.611
