day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,162.300,118.200,112.525,130.150,155.138,119.279,115.654,94.367,107.192,148.021,97.842,181.771,132.371,121.758,106.504,109.729,255.717,147.508,160.679,121.558,151.375,116.971,147.288,159.358,134.846,123.983,168.283,113.008,143.417,78.117,120.542,187.196,295.529,138.767,179.150,164.229,121.733,115.754,116.558,128.013,128.254,203.029,118.663,142.179,107.317,103.125,152.975,149.679,180.704,107.846,188.521,134.792,153.813,144.250,126.633,118.796,146.567,185.971,104.867
2,151.300,109.300,108.217,122.042,124.129,151.721,115.138,103.254,146.879,181.750,137.838,198.225,101.638,132.217,160.125,123.200,252.000,166.342,154.488,147.621,188.388,121.863,144.988,132.888,109.392,134.408,166.088,129.596,132.513,91.313,123.804,188.567,318.271,136.550,172.017,180.863,115.321,115.204,103.042,116.238,120.021,201.450,116.796,143.800,112.925,91.479,141.192,117.321,198.421,113.825,178.488,139.925,160.404,169.575,124.133,104.542,135.213,170.767,124.900
3,165.800,116.200,92.254,119.425,125.942,166.838,126.208,167.833,156.567,202.375,163.471,200.988,147.833,139.867,228.704,124.300,262.846,138.975,155.833,123.171,187.917,112.033,122.142,140.321,165.067,148.913,151.704,149.967,135.813,83.917,157.021,205.746,320.033,140.563,208.017,208.263,139.179,111.871,104.404,135.583,156.396,197.267,121.054,123.558,153.400,98.950,176.788,138.517,186.413,118.808,168.721,143.417,167.783,177.379,118.896,111.383,104.063,161.317,139.250
4,166.100,119.500,123.075,120.858,145.383,135.804,119.488,160.875,176.083,186.671,144.613,167.921,166.225,170.325,220.771,128.292,244.250,167.633,171.379,158.254,182.542,129.588,115.192,187.888,130.358,163.429,190.967,143.825,154.188,84.242,141.671,213.075,316.338,143.821,190.908,178.900,141.567,118.304,100.579,130.300,155.808,167.450,143.946,137.129,156.950,112.563,173.008,157.696,175.083,113.138,195.979,150.079,164.788,177.758,113.171,110.100,129.746,186.096,120.656
5,167.700,120.800,138.267,127.804,119.900,136.471,137.221,150.396,172.679,170.708,110.042,163.858,172.188,152.929,214.638,135.304,226.092,188.138,168.054,190.867,185.783,107.258,131.942,167.654,161.975,167.842,187.371,124.208,167.492,114.146,144.325,214.475,319.600,168.592,192.363,176.050,133.908,136.204,94.983,176.750,159.525,166.783,166.621,145.900,151.392,114.500,139.888,125.808,169.542,113.021,167.221,142.167,192.275,171.092,141.404,112.267,150.008,190.421,117.722
6,171.400,125.900,138.338,130.958,141.158,153.871,136.567,143.908,150.675,130.855,151.092,180.858,151.375,154.121,167.567,129.492,208.983,180.142,191.254,187.417,162.567,109.950,147.192,151.088,161.600,146.967,190.042,145.504,177.929,115.817,139.667,212.017,307.567,202.438,196.508,208.488,120.846,134.200,107.363,183.425,175.583,152.567,149.263,135.946,162.629,126.321,131.933,135.704,160.513,141.354,149.742,142.121,187.608,164.446,119.808,109.371,163.800,171.688,136.767
7,160.000,129.400,138.196,134.183,200.354,153.413,137.579,169.325,129.654,156.850,158.767,230.567,164.821,166.858,91.879,159.808,216.975,184.325,228.158,200.150,184.546,128.604,173.917,182.275,186.363,131.625,193.400,173.438,181.596,104.654,143.700,211.688,270.863,158.988,198.679,191.933,124.183,125.008,110.921,176.671,163.213,154.704,160.067,133.125,167.963,140.925,130.750,108.158,146.021,142.208,179.433,134.771,185.613,137.863,123.038,101.696,166.517,157.179,113.050
8,161.200,121.900,136.888,132.217,206.313,145.275,132.854,124.921,184.879,174.371,164.108,230.050,154.113,135.413,141.600,174.379,216.804,186.483,189.304,190.467,206.242,131.288,192.629,175.275,205.179,140.163,192.679,165.800,187.471,121.071,99.058,221.963,279.838,169.308,211.004,171.754,139.183,104.050,127.488,170.788,162.613,139.429,147.983,164.283,148.438,128.263,125.858,108.892,165.404,138.133,181.813,140.500,177.604,181.392,139.171,109.196,164.779,161.675,114.344
9,179.300,122.600,110.379,138.658,221.717,154.963,114.788,111.096,199.154,170.933,181.413,222.008,115.946,125.683,162.167,198.450,218.296,191.904,184.446,219.483,194.788,115.346,193.675,146.175,187.804,146.375,189.925,169.125,173.925,83.850,148.767,212.746,276.425,175.079,225.863,212.546,135.258,144.700,133.821,152.433,108.621,162.071,131.304,147.088,173.979,131.104,128.896,137.567,194.717,143.263,184.117,136.546,162.329,185.983,139.108,116.400,168.588,169.513,123.817
10,157.500,109.000,113.254,124.408,235.275,120.300,107.000,130.338,172.917,174.592,185.913,209.421,117.958,151.413,184.813,203.417,222.108,182.713,164.083,201.613,206.621,144.979,173.042,147.358,208.713,142.125,194.933,154.279,155.783,114.308,132.517,213.617,283.946,192.013,207.850,214.942,110.271,152.538,120.942,110.779,144.354,134.188,162.379,140.654,163.367,102.138,142.842,132.429,175.329,142.308,182.700,120.071,166.271,172.121,137.800,146.263,156.438,166.842,138.511
11,148.000,109.900,121.888,112.629,188.075,105.158,125.054,158.183,171.525,177.571,149.921,152.629,139.292,188.092,158.333,194.750,182.521,172.400,177.700,209.771,209.325,112.263,152.450,169.738,196.525,180.413,198.725,186.367,177.563,105.621,126.954,260.700,286.371,184.342,179.938,204.058,138.067,131.175,125.242,101.021,143.138,153.521,150.363,156.829,146.738,112.954,158.021,150.821,172.313,97.129,189.217,156.908,178.029,188.233,146.986,118.542,164.125,166.125,146.061
12,160.600,122.200,124.413,127.750,165.200,114.817,130.700,157.642,159.592,155.208,129.567,182.275,155.542,191.996,168.650,163.825,189.483,182.946,166.800,187.254,203.667,114.729,177.579,162.329,208.733,180.754,170.617,135.553,150.963,107.788,148.196,270.358,279.175,186.729,197.504,189.113,126.150,109.700,98.967,141.846,119.071,187.888,197.008,133.375,164.354,114.592,182.592,127.275,179.717,135.196,186.604,137.171,182.908,200.692,139.250,117.246,173.183,168.583,141.228
13,168.200,122.000,122.954,135.483,141.754,125.642,165.483,165.579,113.100,130.208,149.025,192.813,139.729,180.383,149.671,119.842,224.121,180.513,196.792,191.079,191.746,133.713,177.875,173.396,199.475,150.400,162.942,139.000,186.025,115.750,143.833,239.892,276.008,177.113,222.779,199.642,120.538,110.092,103.033,138.883,168.133,222.296,173.746,104.404,155.625,113.529,140.629,139.475,171.075,112.967,191.733,136.463,176.046,210.438,109.054,132.192,186.571,167.921,119.772
14,169.200,107.600,109.813,117.404,151.000,135.988,174.467,153.758,104.288,137.038,167.088,202.663,145.554,178.063,103.829,137.813,209.621,186.392,243.288,200.704,211.146,119.392,167.421,157.667,110.317,129.725,154.308,152.363,167.333,112.217,149.625,252.588,302.433,185.450,223.838,200.058,115.546,128.500,119.192,132.350,193.275,197.813,184.692,126.842,191.017,119.913,158.121,109.513,180.654,110.325,182.013,133.108,167.175,191.196,136.092,149.846,195.292,162.458,119.356
15,154.600,115.800,113.692,108.079,180.267,140.596,168.508,125.592,152.850,179.183,180.854,166.371,115.088,135.263,129.429,154.717,197.758,166.000,211.738,201.271,201.146,141.675,185.492,162.929,163.563,107.379,160.988,154.779,161.208,110.800,144.300,243.171,282.875,166.454,223.300,203.142,119.675,161.592,115.500,124.458,157.450,179.404,198.813,135.575,192.925,96.542,149.996,121.596,191.296,118.646,185.342,126.654,179.000,196.138,149.500,148.354,182.633,176.508,121.406
16,157.200,106.800,114.792,108.550,195.433,139.513,124.746,118.304,149.038,241.763,173.667,159.342,103.946,178.938,153.725,167.208,234.633,161.979,187.271,219.954,196.650,136.925,195.004,135.696,186.888,166.633,184.604,155.454,132.954,91.942,149.358,251.842,264.867,152.004,224.238,187.954,128.771,186.833,113.592,143.967,127.913,187.742,188.413,154.863,206.183,105.546,122.421,136.583,195.367,136.321,170.925,146.329,170.838,196.113,148.508,153.454,176.729,182.567,134.939
17,137.500,98.500,125.763,106.154,195.288,137.700,112.954,140.442,145.350,261.388,156.808,215.533,133.433,161.496,157.958,160.025,202.492,156.375,189.367,228.000,207.550,117.579,172.279,125.742,148.292,180.054,197.375,143.558,98.221,114.633,158.213,258.492,263.696,163.196,232.838,186.592,128.975,159.496,124.063,112.463,148.421,190.092,171.958,151.775,192.804,106.592,177.146,129.671,183.375,123.717,193.954,125.821,179.575,198.246,143.638,156.367,151.788,199.125,113.533
18,137.100,119.100,157.963,121.371,169.417,127.496,177.883,135.288,158.992,349.004,116.363,234.546,130.721,185.517,173.467,124.583,152.746,172.750,208.104,227.650,194.500,129.154,178.208,135.833,148.900,166.946,183.783,142.246,131.358,149.917,156.308,261.442,267.721,133.967,222.546,198.267,133.908,153.400,133.396,105.454,118.904,204.488,197.500,133.942,184.113,94.150,228.504,156.908,170.700,122.050,159.642,105.838,172.850,204.250,113.263,157.475,153.971,188.954,125.833
