day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,89.5670,97.3750,58.3670,66.3370,76.0000,123.4880,60.2420,67.5420,47.0830,79.8080,34.6500,33.9000,67.6000,41.5500,41.8900,58.5330,97.9833,63.1000,132.3167,76.4417,135.1790,76.8000,133.7217,76.6000,83.0125,52.2750,97.8958,156.3333
2,100.6630,125.7710,59.1870,111.3120,115.7000,118.8080,118.7540,93.9330,80.1500,102.7460,91.6000,77.0000,73.5000,128.2000,97.1670,62.4580,105.7792,93.6000,139.2667,82.8083,135.1540,88.6000,126.7435,102.8000,112.3583,74.2125,102.7167,159.1917
3,121.5960,122.3290,83.8420,117.2880,121.7000,145.5130,122.0960,101.2790,70.3120,98.3580,131.2000,91.1910,84.2000,130.1000,100.6580,66.2630,125.4583,91.1000,149.8917,85.7167,140.6120,101.6000,128.9708,110.2000,91.5375,83.7583,105.9625,144.4667
4,115.0210,131.7000,107.8040,90.2750,148.9000,155.7380,112.1500,112.2630,57.6880,105.5380,134.3000,91.6000,97.3000,108.7000,124.9210,99.0290,127.3708,85.1000,150.7375,99.3833,126.3620,102.1000,141.1042,111.8000,86.4500,86.4792,104.2250,142.0042
5,113.7670,148.7040,112.9250,137.5500,144.0000,157.5750,108.9290,91.7500,59.6540,143.6170,136.5000,102.1000,109.8000,96.6000,113.0420,77.1960,122.8375,74.7000,148.4625,99.3625,107.2920,88.1000,137.6417,122.7000,89.4583,76.4750,108.4917,149.9167
6,109.9000,141.7710,158.4330,122.3710,141.8000,170.6710,110.1750,59.6710,91.1710,141.3290,119.7000,94.1000,90.6000,94.1000,106.4830,82.5040,109.2792,94.0000,138.4458,107.8917,128.6080,75.6000,144.0000,124.5000,90.1583,91.6833,121.3917,154.4000
7,96.7630,115.2250,159.2080,135.3290,124.1000,151.7040,112.0790,81.2170,94.3040,120.8210,133.2000,82.7000,51.4000,125.7000,91.0420,87.6170,97.1250,98.6000,133.7875,115.2458,115.0920,81.5000,154.3000,117.3000,98.8458,94.0292,125.4708,130.9583
8,88.4500,134.7080,143.5830,141.5500,142.9000,138.7040,119.5620,76.2460,94.9920,111.1830,98.9000,67.3000,102.9000,120.4000,85.0620,94.8670,75.5500,86.2000,132.5583,112.2750,118.0540,93.6000,119.7000,116.6000,110.2583,88.5083,133.1417,114.0625
9,86.7290,157.4420,159.3000,154.1750,129.5000,104.9130,122.6790,59.7670,81.3790,112.6630,102.2000,85.1000,92.8000,120.3000,78.2000,69.2170,78.0625,102.7000,117.6792,100.6833,133.7920,90.5000,147.0000,116.6000,121.1125,101.0417,132.6208,129.9917
10,91.1750,155.6670,158.4330,130.4540,108.8000,153.9670,107.6920,60.4250,86.7670,86.4580,117.8000,91.3000,104.2000,104.0000,75.8540,68.8330,117.0375,99.0000,133.6292,94.0125,127.8460,83.2000,124.6000,119.7000,105.4917,100.3375,129.4792,132.1667
