day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,5.313,5.503,6.076,5.912,6.051,6.338,6.083,5.913,4.483,4.989
2,,,,,,,,,,,,,,,,,,,,5.264,5.519,5.889,5.632,5.977,6.308,6.088,5.788,4.396,4.739
3,,,,,,,,,,,,,,,,,,,,5.183,5.331,5.588,5.234,5.773,6.246,6.054,5.808,4.258,4.472
4,,,,,,,,,,,,,,,,,,,,5.068,5.284,5.475,4.919,5.491,6.175,6.029,5.738,4.200,4.489
5,,,,,,,,,,,,,,,,,,,,4.783,5.194,5.508,4.544,5.537,6.187,5.900,5.525,4.113,4.517
6,,,,,,,,,,,,,,,,,,,,4.568,5.164,5.633,4.440,5.546,6.221,5.746,5.571,3.846,4.300
7,,,,,,,,,,,,,,,,,,,,4.550,5.005,5.783,4.197,5.535,6.175,5.604,5.417,3.863,4.200
8,,,,,,,,,,,,,,,,,,,,4.372,4.826,5.861,4.113,5.491,6.012,5.596,5.292,3.733,4.106
9,,,,,,,,,,,,,,,,,,,,4.278,4.679,5.836,4.111,5.433,5.888,5.463,5.229,3.708,3.989
10,,,,,,,,,,,,,,,,,,,,4.234,4.566,5.722,3.843,5.278,5.792,5.225,5.075,3.667,3.894
11,,,,,,,,,,,,,,,,,,,,4.256,4.437,5.517,3.285,5.032,5.658,5.167,4.967,3.579,3.700
12,,,,,,,,,,,,,,,,,,,,4.286,4.384,5.261,2.868,4.775,5.604,5.117,4.812,3.646,3.500
13,,,,,,,,,,,,,,,,,,,,4.179,4.300,5.025,2.746,4.676,5.487,4.754,4.775,3.675,3.394
14,,,,,,,,,,,,,,,,,,,,4.121,4.250,,,4.597,5.271,4.292,4.675,3.675,3.472
15,,,,,,,,,,,,,,,,,,,,4.061,4.211,4.810,,4.493,4.979,4.167,4.633,3.588,3.367
16,,,,,,,,,,,,,,,,,,,,3.894,4.114,,2.460,4.354,4.783,4.063,4.513,3.500,3.239
17,,,,,,,,,,,,,,,,,,,,3.706,4.077,,2.313,4.248,4.775,3.883,4.417,5.275,3.206
18,,,,,,,,,,,,,,,,,,,,3.543,3.975,,2.200,4.171,4.775,3.883,4.387,3.283,3.125
19,,,,,,,,,,,,,,,,,,,,3.419,4.022,4.697,2.169,4.111,4.796,3.900,4.308,3.196,3.010
20,,,,,,,,,,,,,,,,,,,,3.380,3.931,4.627,2.303,4.007,4.713,3.971,4.317,3.179,2.972
21,,,,,,,,,,,,,,,,,,,,3.306,3.877,4.521,2.333,3.949,4.642,4.042,4.267,3.083,2.750
22,,,,,,,,,,,,,,,,,,,,3.271,3.843,4.560,2.333,3.824,4.504,3.975,4.192,2.988,2.600
23,,,,,,,,,,,,,,,,,,,,3.274,3.889,4.586,2.316,3.701,4.496,3.983,4.038,2.842,2.517
24,,,,,,,,,,,,,,,,,,,,3.291,3.899,4.558,2.278,3.532,4.463,3.996,3.904,2.729,2.572
25,,,,,,,,,,,,,,,,,,,,3.228,3.959,4.428,2.292,3.502,4.321,3.992,3.900,2.662,2.600
26,,,,,,,,,,,,,,,,,,,,3.167,3.929,4.366,2.345,3.454,4.229,3.967,3.921,2.579,2.567
27,,,,,,,,,,,,,,,,,,,,3.119,3.930,4.333,2.326,3.338,4.254,4.013,3.917,2.500,2.517
28,,,,,,,,,,,,,,,,,,,,3.172,3.929,4.285,2.333,3.231,4.263,4.000,3.925,2.421,2.494
29,,,,,,,,,,,,,,,,,,,,3.102,3.811,4.176,2.301,3.269,4.167,3.988,3.954,2.388,2.311
