day,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,5.417,5.519,6.071,5.842,5.917,6.283,5.975,5.896,4.471,4.983
2,,,,,,,,,,,,,,,,,5.358,5.515,5.900,5.579,5.913,6.283,6.000,5.800,4.371,4.772
3,,,,,,,,,,,,,,,,,5.265,5.374,5.633,5.179,5.738,6.200,6.000,5.788,4.267,4.528
4,,,,,,,,,,,,,,,,,5.159,5.300,5.479,4.858,5.454,6.121,5.954,5.742,4.162,4.461
5,,,,,,,,,,,,,,,,,4.904,5.233,5.525,4.496,5.450,6.108,5.813,5.533,4.096,4.522
6,,,,,,,,,,,,,,,,,4.669,5.176,5.652,4.371,5.500,6.179,5.671,5.554,3.833,4.300
7,,,,,,,,,,,,,,,,,4.638,5.055,5.795,4.117,5.483,6.138,5.517,5.438,3.875,4.200
8,,,,,,,,,,,,,,,,,4.486,4.887,5.872,3.996,5.462,5.967,5.517,5.300,3.725,4.133
9,,,,,,,,,,,,,,,,,4.365,4.726,5.878,3.863,5.375,5.842,5.413,5.233,3.671,4.017
10,,,,,,,,,,,,,,,,,4.342,4.586,5.781,3.713,5.262,5.754,5.154,5.096,3.654,3.922
11,,,,,,,,,,,,,,,,,4.350,4.491,5.580,3.238,4.992,5.650,5.083,4.979,3.571,3.750
12,,,,,,,,,,,,,,,,,4.378,4.413,5.306,2.821,4.758,5.563,5.025,4.817,3.654,3.506
13,,,,,,,,,,,,,,,,,4.321,4.317,5.075,2.648,4.621,5.442,4.692,4.763,3.679,3.400
14,,,,,,,,,,,,,,,,,4.213,4.282,,,4.571,5.242,4.187,4.679,3.687,3.483
15,,,,,,,,,,,,,,,,,4.152,4.233,4.850,,4.475,4.971,4.025,4.600,3.596,3.411
16,,,,,,,,,,,,,,,,,4.027,4.171,,2.409,4.333,4.750,3.979,4.521,3.500,3.294
17,,,,,,,,,,,,,,,,,3.822,4.091,,2.254,4.212,4.725,3.800,4.417,3.500,3.228
18,,,,,,,,,,,,,,,,,3.645,4.005,,2.096,4.167,4.700,3.788,4.396,3.500,3.133
19,,,,,,,,,,,,,,,,,3.528,4.045,4.725,2.104,4.079,4.721,3.817,4.304,3.400,3.020
20,,,,,,,,,,,,,,,,,3.470,3.945,4.675,2.254,3.971,4.683,3.896,4.329,3.179,2.967
21,,,,,,,,,,,,,,,,,3.394,3.896,4.571,2.329,3.883,4.558,3.975,4.254,3.088,2.772
22,,,,,,,,,,,,,,,,,3.346,3.900,4.583,2.300,3.779,4.442,3.896,4.196,2.988,2.617
23,,,,,,,,,,,,,,,,,3.363,3.900,4.621,2.209,3.654,4.433,3.900,4.058,2.863,2.539
24,,,,,,,,,,,,,,,,,3.389,3.900,4.608,2.188,3.496,4.375,3.937,3.888,2.742,2.567
25,,,,,,,,,,,,,,,,,,3.974,4.488,2.279,3.446,4.279,3.900,3.913,2.671,2.600
26,,,,,,,,,,,,,,,,,,3.976,4.408,2.308,3.396,4.175,3.900,3.900,2.587,2.539
27,,,,,,,,,,,,,,,,,,3.952,4.392,2.271,3.288,4.208,3.925,3.921,2.500,2.522
28,,,,,,,,,,,,,,,,,3.239,3.973,4.325,2.279,3.183,4.212,3.967,3.913,2.413,2.500
29,,,,,,,,,,,,,,,,,3.214,3.825,4.225,2.233,3.204,4.133,3.954,3.954,2.400,2.306
30,,,,,,,,,,,,,,,,,3.180,3.770,4.129,2.196,3.165,4.008,3.900,3.958,2.371,2.111
31,,,,,,,,,,,,,,,,,3.193,3.719,4.058,2.092,3.113,4.004,3.917,4.000,2.300,2.039
32,,,,,,,,,,,,,,,,,3.063,3.674,3.978,1.875,3.083,3.983,3.963,4.008,2.217,2.067
33,,,,,,,,,,,,,,,,,2.931,3.583,3.871,1.675,3.117,3.913,3.925,4.013,2.200,2.000
34,,,,,,,,,,,,,,,,,2.731,3.500,3.650,1.604,3.121,3.800,3.708,3.954,2.179,2.111
35,,,,,,,,,,,,,,,,,2.647,3.461,3.587,1.654,3.129,3.392,3.592,3.929,2.188,2.100
36,,,,,,,,,,,,,,,,,2.490,3.400,3.650,1.679,3.146,2.963,3.508,3.950,2.250,2.172
37,,,,,,,,,,,,,,,,,2.230,3.400,3.688,1.608,3.167,2.792,3.475,3.954,2.300,2.239
38,,,,,,,,,,,,,,,,,2.286,3.400,3.625,1.550,3.200,2.688,3.471,4.013,2.375,2.350
39,,,,,,,,,,,,,,,,,2.260,3.422,3.627,1.471,3.200,2.771,3.492,3.883,2.417,2.367
40,,,,,,,,,,,,,,,,,2.129,3.496,3.650,1.458,3.200,2.713,3.429,3.613,2.413,2.417
41,,,,,,,,,,,,,,,,,2.078,3.550,3.642,1.646,3.200,2.604,3.392,3.375,2.454,2.417
42,,,,,,,,,,,,,,,,,2.150,3.610,3.613,1.671,3.200,2.483,3.404,3.071,2.529,2.367
43,,,,,,,,,,,,,,,,,2.322,3.630,3.642,1.696,3.129,2.554,3.417,2.813,2.537,2.344
44,,,,,,,,,,,,,,,,,2.555,3.686,3.625,1.733,3.088,2.617,3.338,2.842,2.533,2.333
45,,,,,,,,,,,,,,,,,2.665,3.679,3.636,1.671,3.192,2.612,3.321,3.004,2.621,2.483
46,,,,,,,,,,,,,,,,,3.443,3.635,3.671,1.725,3.300,2.613,3.308,3.117,2.704,2.461
47,,,,,,,,,,,,,,,,,2.652,3.667,3.765,1.788,3.413,2.700,3.292,3.146,2.813,2.517
48,,,,,,,,,,,,,,,,,2.718,3.709,3.784,1.858,3.458,2.700,3.271,3.113,2.888,2.578
49,,,,,,,,,,,,,,,,,2.743,3.739,3.876,1.958,3.433,2.700,3.233,3.063,2.979,2.656
50,,,,,,,,,,,,,,,,,2.700,3.758,3.935,2.058,3.275,2.725,3.217,3.083,3.046,2.678
51,,,,,,,,,,,,,,,,,2.663,3.795,3.813,2.129,3.136,2.746,3.100,3.071,3.058,2.767
52,,,,,,,,,,,,,,,,,2.712,3.889,3.844,2.225,3.070,2.863,3.038,3.029,3.075,2.875
53,,,,,,,,,,,,,,,,,2.633,3.929,3.800,2.288,3.146,2.808,3.083,3.146,2.875,2.778
54,,,,,,,,,,,,,,,,,2.600,3.964,3.733,2.342,3.129,2.692,3.179,3.187,2.708,2.433
55,,,,,,,,,,,,,,,,,2.633,4.011,3.788,2.350,3.154,2.683,3.167,3.213,2.783,2.233
56,,,,,,,,,,,,,,,,,2.659,4.088,3.808,2.354,3.271,2.783,3.138,3.296,2.783,2.294
57,,,,,,,,,,,,,,,,,2.662,4.207,3.871,2.417,3.321,2.742,3.204,3.271,2.775,2.378
58,,,,,,,,,,,,,,,,,2.729,4.277,3.971,2.475,3.408,2.571,3.192,3.317,2.938,2.356
