"","date","mouth to BON","MCN to ICH or PRA (ICH)","ICH to LGR","BON to MCN","MCN to ICH or PRA (PRA)","PRA to RIS","RIS to RRE","RRE to WEL"
"1","1965-01-02",184.6,65.3,NA,139.5,NA,NA,NA,NA
"2","1965-01-03",162.9,60.7,NA,139.8,NA,NA,NA,NA
"3","1965-01-04",171.2,51.9,NA,163.6,NA,NA,NA,NA
"4","1965-01-05",183.4,54.9,NA,150.3,NA,NA,NA,NA
"5","1965-01-06",180.7,54.5,NA,160.4,NA,NA,NA,NA
"6","1965-01-07",181.1,54.5,NA,157.1,NA,NA,NA,NA
"7","1965-01-08",171.5,54.9,NA,148.8,NA,NA,NA,NA
"8","1965-01-09",163.8,56.5,NA,167.5,NA,NA,NA,NA
"9","1965-01-10",188.5,57,NA,158.7,NA,NA,NA,NA
"10","1965-01-11",169.9,67.2,NA,140.7,NA,NA,NA,NA
"11","1965-01-12",155.5,66.4,NA,142.4,NA,NA,NA,NA
"12","1965-01-13",159.2,58.4,NA,158.8,NA,NA,NA,NA
"13","1965-01-14",174.5,58.3,NA,158.4,NA,NA,NA,NA
"14","1965-01-15",180.4,51.8,NA,154.3,NA,NA,NA,NA
"15","1965-01-16",160.2,50.3,NA,144.2,NA,NA,NA,NA
"16","1965-01-17",162.2,52.2,NA,134,NA,NA,NA,NA
"17","1965-01-18",152.2,52.3,NA,124.3,NA,NA,NA,NA
"18","1965-01-19",146.7,52.9,NA,126.7,NA,NA,NA,NA
"19","1965-01-20",143.7,53.2,NA,146.1,NA,NA,NA,NA
"20","1965-01-21",153,51.9,NA,147.9,NA,NA,NA,NA
"21","1965-01-22",170.9,50,NA,142.8,NA,NA,NA,NA
"22","1965-01-23",161,47.7,NA,137.3,NA,NA,NA,NA
"23","1965-01-24",156.8,50.1,NA,142.4,NA,NA,NA,NA
"24","1965-01-25",152.9,49.4,NA,122.5,NA,NA,NA,NA
"25","1965-01-26",156.7,53,NA,127.1,NA,NA,NA,NA
"26","1965-01-27",157.7,57,NA,147.3,NA,NA,NA,NA
"27","1965-01-28",206.5,61.7,NA,167.3,NA,NA,NA,NA
"28","1965-01-29",253.2,56.4,NA,160.1,NA,NA,NA,NA
"29","1965-01-30",258.9,100.9,NA,182.2,NA,NA,NA,NA
