"date","day","year","temp","window_temp"
2005-01-01,1,2005,6.029,4.99735714285714
2005-01-02,2,2005,5.989,4.8175
2005-01-03,3,2005,5.771,4.60307142857143
2005-01-04,4,2005,5.442,4.3915
2005-01-05,5,2005,5.102,4.20807142857143
2005-01-06,6,2005,5.03,4.07021428571429
2005-01-07,7,2005,5.021,3.95071428571429
2005-01-08,8,2005,4.837,3.83942857142857
2005-01-09,9,2005,4.722,3.75357142857143
2005-01-10,10,2005,4.577,3.672
2005-01-11,11,2005,4.387,3.59657142857143
2005-01-12,12,2005,4.388,3.52442857142857
2005-01-13,13,2005,4.48,3.44157142857143
2005-01-14,14,2005,4.188,3.34792857142857
2005-01-15,15,2005,3.511,3.27857142857143
2005-01-16,16,2005,2.987,3.256
2005-01-17,17,2005,2.809,3.2755
2005-01-18,18,2005,2.874,3.31514285714286
2005-01-19,19,2005,3.172,3.358
2005-01-20,20,2005,3.357,3.38392857142857
2005-01-21,21,2005,3.463,3.4075
2005-01-22,22,2005,3.635,3.43821428571429
2005-01-23,23,2005,3.58,3.4705
2005-01-24,24,2005,3.521,3.51007142857143
2005-01-25,25,2005,3.377,3.55521428571429
2005-01-26,26,2005,3.228,3.60921428571429
2005-01-27,27,2005,3.169,3.67385714285714
2005-01-28,28,2005,3.217,3.74614285714286
2005-01-29,29,2005,3.195,3.817
2005-01-30,30,2005,3.26,3.89314285714286
2005-01-31,31,2005,3.364,3.973
2005-02-01,1,2005,3.474,4.05021428571429
2005-02-02,2,2005,3.535,4.11707142857143
2005-02-03,3,2005,3.687,4.17285714285714
2005-02-04,4,2005,3.893,4.21285714285714
2005-02-05,5,2005,4.087,4.2325
2005-02-06,6,2005,4.134,4.23835714285714
2005-02-07,7,2005,4.153,4.24571428571429
2005-02-08,8,2005,4.133,4.25757142857143
2005-02-09,9,2005,4.133,4.27064285714286
2005-02-10,10,2005,4.181,4.28178571428571
2005-02-11,11,2005,4.209,4.28942857142857
2005-02-12,12,2005,4.261,4.29764285714286
2005-02-13,13,2005,4.378,4.30542857142857
2005-02-14,14,2005,4.445,4.31057142857143
2005-02-15,15,2005,4.41,4.31692857142857
2005-02-16,16,2005,4.316,4.33185714285714
2005-02-17,17,2005,4.247,4.36321428571429
2005-02-18,18,2005,4.168,4.40242857142857
2005-02-19,19,2005,4.169,4.44957142857143
2005-02-20,20,2005,4.237,4.501
2005-02-21,21,2005,4.319,4.55292857142857
2005-02-22,22,2005,4.316,4.60964285714286
2005-02-23,23,2005,4.289,4.68407142857143
2005-02-24,24,2005,4.288,4.77857142857143
2005-02-25,25,2005,4.324,4.89321428571429
2005-02-26,26,2005,4.37,5.02035714285714
2005-02-27,27,2005,4.45,5.15771428571429
2005-02-28,28,2005,4.534,5.29785714285714
2005-03-01,1,2005,4.619,5.43121428571429
2005-03-02,2,2005,4.755,5.57028571428571
2005-03-03,3,2005,4.796,5.70592857142857
2005-03-04,4,2005,4.828,5.84342857142857
