"date","day","year","temp","window_temp"
2005-01-01,1,2005,NA,NA
2005-01-02,2,2005,NA,NA
2005-01-03,3,2005,NA,NA
2005-01-04,4,2005,NA,NA
2005-01-05,5,2005,NA,NA
2005-01-06,6,2005,NA,NA
2005-01-07,7,2005,NA,NA
2005-01-08,8,2005,NA,NA
2005-01-09,9,2005,NA,NA
2005-01-10,10,2005,NA,NA
2005-01-11,11,2005,NA,NA
2005-01-12,12,2005,NA,NA
2005-01-13,13,2005,NA,NA
2005-01-14,14,2005,NA,NA
2005-01-15,15,2005,NA,NA
2005-01-16,16,2005,NA,NA
2005-01-17,17,2005,NA,NA
2005-01-18,18,2005,NA,NA
2005-01-19,19,2005,NA,NA
2005-01-20,20,2005,NA,NA
2005-01-21,21,2005,NA,NA
2005-01-22,22,2005,NA,NA
2005-01-23,23,2005,NA,NA
2005-01-24,24,2005,NA,NA
2005-01-25,25,2005,NA,NA
2005-01-26,26,2005,NA,NA
2005-01-27,27,2005,NA,NA
2005-01-28,28,2005,NA,NA
2005-01-29,29,2005,NA,NA
2005-01-30,30,2005,NA,NA
2005-01-31,31,2005,NA,NA
2005-02-01,1,2005,NA,NA
2005-02-02,2,2005,NA,NA
2005-02-03,3,2005,NA,NA
2005-02-04,4,2005,NA,NA
2005-02-05,5,2005,NA,NA
2005-02-06,6,2005,NA,NA
2005-02-07,7,2005,NA,NA
2005-02-08,8,2005,NA,NA
2005-02-09,9,2005,NA,NA
2005-02-10,10,2005,NA,NA
2005-02-11,11,2005,NA,NA
2005-02-12,12,2005,NA,NA
2005-02-13,13,2005,NA,NA
2005-02-14,14,2005,NA,NA
2005-02-15,15,2005,NA,NA
2005-02-16,16,2005,NA,NA
2005-02-17,17,2005,NA,NA
2005-02-18,18,2005,NA,NA
2005-02-19,19,2005,NA,NA
2005-02-20,20,2005,NA,NA
2005-02-21,21,2005,NA,NA
2005-02-22,22,2005,NA,NA
2005-02-23,23,2005,NA,NA
2005-02-24,24,2005,NA,NA
2005-02-25,25,2005,NA,NA
2005-02-26,26,2005,NA,NA
2005-02-27,27,2005,NA,NA
2005-02-28,28,2005,NA,NA
2005-03-01,1,2005,NA,NA
2005-03-02,2,2005,NA,NA
2005-03-03,3,2005,NA,NA
2005-03-04,4,2005,NA,NA
2005-03-05,5,2005,NA,NA
2005-03-06,6,2005,NA,NA
2005-03-07,7,2005,NA,NA
2005-03-08,8,2005,NA,NA
2005-03-09,9,2005,NA,NA
2005-03-10,10,2005,NA,NA
2005-03-11,11,2005,NA,NA
2005-03-12,12,2005,NA,NA
2005-03-13,13,2005,NA,NA
2005-03-14,14,2005,NA,NA
2005-03-15,15,2005,NA,NA
2005-03-16,16,2005,NA,NA
2005-03-17,17,2005,NA,NA
2005-03-18,18,2005,NA,NA
2005-03-19,19,2005,NA,NA
2005-03-20,20,2005,NA,NA
2005-03-21,21,2005,NA,NA
2005-03-22,22,2005,NA,NA
2005-03-23,23,2005,NA,NA
2005-03-24,24,2005,NA,NA
2005-03-25,25,2005,NA,NA
2005-03-26,26,2005,NA,NA
2005-03-27,27,2005,NA,NA
2005-03-28,28,2005,NA,NA
2005-03-29,29,2005,NA,NA
2005-03-30,30,2005,NA,NA
2005-03-31,31,2005,NA,NA
2005-04-01,1,2005,NA,NA
2005-04-02,2,2005,NA,NA
2005-04-03,3,2005,NA,NA
2005-04-04,4,2005,NA,NA
2005-04-05,5,2005,NA,NA
2005-04-06,6,2005,NA,NA
2005-04-07,7,2005,NA,NA
2005-04-08,8,2005,NA,NA
2005-04-09,9,2005,NA,NA
2005-04-10,10,2005,NA,NA
2005-04-11,11,2005,NA,NA
2005-04-12,12,2005,NA,NA
2005-04-13,13,2005,NA,NA
2005-04-14,14,2005,NA,NA
2005-04-15,15,2005,NA,NA
2005-04-16,16,2005,NA,NA
2005-04-17,17,2005,7.987,8.1434
2005-04-18,18,2005,8.088,8.2184
2005-04-19,19,2005,8.154,8.3142
2005-04-20,20,2005,8.225,8.415
2005-04-21,21,2005,8.263,8.5508
2005-04-22,22,2005,8.362,8.7074
2005-04-23,23,2005,8.567,8.8826
2005-04-24,24,2005,8.658,9.0476
2005-04-25,25,2005,8.904,9.2302
2005-04-26,26,2005,9.046,9.4002
2005-04-27,27,2005,9.238,9.6026
2005-04-28,28,2005,9.392,9.7834
2005-04-29,29,2005,9.571,9.945
2005-04-30,30,2005,9.754,10.09
2005-05-01,1,2005,10.058,10.1992
2005-05-02,2,2005,10.142,10.2962
2005-05-03,3,2005,10.2,10.372
2005-05-04,4,2005,10.296,10.4512
2005-05-05,5,2005,10.3,10.5128
2005-05-06,6,2005,10.543,10.5462
2005-05-07,7,2005,10.521,10.5376
2005-05-08,8,2005,10.596,10.603
2005-05-09,9,2005,10.604,10.6638
2005-05-10,10,2005,10.467,10.67875
2005-05-11,11,2005,10.5,10.7493333333333
2005-05-12,12,2005,10.848,10.9493333333333
2005-05-13,13,2005,10.9,11.064
2005-05-14,14,2005,NA,NA
2005-05-15,15,2005,NA,NA
2005-05-16,16,2005,11.1,11.3
2005-05-17,17,2005,11.192,11.3974
2005-05-18,18,2005,11.329,11.499
2005-05-19,19,2005,11.379,11.589
2005-05-20,20,2005,11.5,11.688
2005-05-21,21,2005,11.587,11.735
2005-05-22,22,2005,11.7,11.936
2005-05-23,23,2005,11.779,12.14025
2005-05-24,24,2005,11.874,12.4425
2005-05-25,25,2005,NA,NA
2005-05-26,26,2005,12.391,12.9868
2005-05-27,27,2005,12.517,13.2478
2005-05-28,28,2005,12.988,13.437
2005-05-29,29,2005,13.392,13.5952
2005-05-30,30,2005,13.646,13.7226
2005-05-31,31,2005,13.696,13.8376
2005-06-01,1,2005,13.463,13.9784
2005-06-02,2,2005,13.779,14.1516
2005-06-03,3,2005,14.029,14.2574
2005-06-04,4,2005,14.221,14.2758
2005-06-05,5,2005,14.4,14.2766
2005-06-06,6,2005,14.329,14.2766
2005-06-07,7,2005,14.308,14.2984
2005-06-08,8,2005,14.121,14.2468
2005-06-09,9,2005,14.225,14.231
2005-06-10,10,2005,14.4,14.2136
2005-06-11,11,2005,14.438,14.1844
2005-06-12,12,2005,14.05,14.236
2005-06-13,13,2005,14.042,14.3976
2005-06-14,14,2005,14.138,14.6076
2005-06-15,15,2005,14.254,14.8526
2005-06-16,16,2005,14.696,15.1034
2005-06-17,17,2005,14.858,15.2768
2005-06-18,18,2005,15.092,15.4286
2005-06-19,19,2005,15.363,15.5328
2005-06-20,20,2005,15.508,15.6468
2005-06-21,21,2005,15.563,15.7586
2005-06-22,22,2005,15.617,15.8702
2005-06-23,23,2005,15.613,15.9768
2005-06-24,24,2005,15.933,16.0742
2005-06-25,25,2005,16.067,16.1432
2005-06-26,26,2005,16.121,16.2106
2005-06-27,27,2005,16.15,16.2798
2005-06-28,28,2005,16.1,16.3598
2005-06-29,29,2005,16.278,16.399
2005-06-30,30,2005,16.404,16.466
2005-07-01,1,2005,16.467,16.5878
2005-07-02,2,2005,16.55,16.7786
2005-07-03,3,2005,16.296,16.9602
2005-07-04,4,2005,16.613,17.1852
2005-07-05,5,2005,17.013,17.3768
2005-07-06,6,2005,17.421,17.4634
2005-07-07,7,2005,17.458,17.4142
2005-07-08,8,2005,17.421,17.3402
2005-07-09,9,2005,17.571,17.3038
2005-07-10,10,2005,17.446,17.2572
2005-07-11,11,2005,17.175,17.2514
2005-07-12,12,2005,17.088,17.3372
