"date","day","year","temp","window_temp"
2005-01-01,1,2005,NA,NA
2005-01-02,2,2005,NA,NA
2005-01-03,3,2005,NA,NA
2005-01-04,4,2005,NA,NA
2005-01-05,5,2005,NA,NA
2005-01-06,6,2005,NA,NA
2005-01-07,7,2005,NA,NA
2005-01-08,8,2005,NA,NA
2005-01-09,9,2005,NA,NA
2005-01-10,10,2005,NA,NA
2005-01-11,11,2005,NA,NA
2005-01-12,12,2005,NA,NA
2005-01-13,13,2005,NA,NA
2005-01-14,14,2005,NA,NA
2005-01-15,15,2005,NA,NA
2005-01-16,16,2005,NA,NA
2005-01-17,17,2005,NA,NA
2005-01-18,18,2005,NA,NA
2005-01-19,19,2005,NA,NA
2005-01-20,20,2005,NA,NA
2005-01-21,21,2005,NA,NA
2005-01-22,22,2005,NA,NA
2005-01-23,23,2005,NA,NA
2005-01-24,24,2005,NA,NA
2005-01-25,25,2005,NA,NA
2005-01-26,26,2005,NA,NA
2005-01-27,27,2005,NA,NA
2005-01-28,28,2005,NA,NA
2005-01-29,29,2005,NA,NA
2005-01-30,30,2005,NA,NA
2005-01-31,31,2005,NA,NA
2005-02-01,1,2005,NA,NA
2005-02-02,2,2005,NA,NA
2005-02-03,3,2005,NA,NA
2005-02-04,4,2005,NA,NA
2005-02-05,5,2005,NA,NA
2005-02-06,6,2005,NA,NA
2005-02-07,7,2005,NA,NA
2005-02-08,8,2005,NA,NA
2005-02-09,9,2005,NA,NA
2005-02-10,10,2005,NA,NA
2005-02-11,11,2005,NA,NA
2005-02-12,12,2005,NA,NA
2005-02-13,13,2005,NA,NA
2005-02-14,14,2005,NA,NA
2005-02-15,15,2005,NA,NA
2005-02-16,16,2005,NA,NA
2005-02-17,17,2005,NA,NA
2005-02-18,18,2005,NA,NA
2005-02-19,19,2005,NA,NA
2005-02-20,20,2005,NA,NA
2005-02-21,21,2005,NA,NA
2005-02-22,22,2005,NA,NA
2005-02-23,23,2005,NA,NA
2005-02-24,24,2005,NA,NA
2005-02-25,25,2005,NA,NA
2005-02-26,26,2005,NA,NA
2005-02-27,27,2005,NA,NA
2005-02-28,28,2005,NA,NA
2005-03-01,1,2005,NA,NA
2005-03-02,2,2005,NA,NA
2005-03-03,3,2005,NA,NA
2005-03-04,4,2005,NA,NA
2005-03-05,5,2005,NA,NA
2005-03-06,6,2005,NA,NA
2005-03-07,7,2005,NA,NA
2005-03-08,8,2005,NA,NA
2005-03-09,9,2005,NA,NA
2005-03-10,10,2005,NA,NA
2005-03-11,11,2005,NA,NA
2005-03-12,12,2005,NA,NA
2005-03-13,13,2005,NA,NA
2005-03-14,14,2005,NA,NA
2005-03-15,15,2005,NA,NA
2005-03-16,16,2005,NA,NA
2005-03-17,17,2005,10.417,5.697
2005-03-18,18,2005,4.171,4.12925
2005-03-19,19,2005,4.1,4.1375
2005-03-20,20,2005,4.1,4.1875
2005-03-21,21,2005,4.146,4.26675
2005-03-22,22,2005,4.204,4.349
2005-03-23,23,2005,4.3,4.424
2005-03-24,24,2005,4.417,4.49075
2005-03-25,25,2005,4.475,4.55525
2005-03-26,26,2005,4.504,4.60525
2005-03-27,27,2005,4.567,4.6825
2005-03-28,28,2005,4.675,4.7585
2005-03-29,29,2005,4.675,4.819
2005-03-30,30,2005,4.813,4.895
2005-03-31,31,2005,4.871,4.94625
2005-04-01,1,2005,4.917,4.99
2005-04-02,2,2005,4.979,5.02525
2005-04-03,3,2005,5.018,5.0795
2005-04-04,4,2005,5.046,5.14275
2005-04-05,5,2005,5.058,5.22075
2005-04-06,6,2005,5.196,5.327
2005-04-07,7,2005,5.271,5.44375
2005-04-08,8,2005,5.358,5.6135
2005-04-09,9,2005,5.483,5.801
2005-04-10,10,2005,5.663,5.971
2005-04-11,11,2005,5.95,6.11575
2005-04-12,12,2005,6.108,6.1585
2005-04-13,13,2005,6.163,6.1565
2005-04-14,14,2005,6.242,6.169
2005-04-15,15,2005,6.121,6.17825
2005-04-16,16,2005,6.1,6.25125
2005-04-17,17,2005,6.213,6.3585
2005-04-18,18,2005,6.279,6.50725
2005-04-19,19,2005,6.413,6.71575
2005-04-20,20,2005,6.529,6.923
2005-04-21,21,2005,6.808,7.17825
2005-04-22,22,2005,7.113,7.47325
2005-04-23,23,2005,7.242,7.75325
2005-04-24,24,2005,7.55,8.08225
2005-04-25,25,2005,7.988,8.3655
2005-04-26,26,2005,8.233,8.53625
2005-04-27,27,2005,8.558,8.6885
2005-04-28,28,2005,8.683,8.79025
2005-04-29,29,2005,8.671,8.8415
2005-04-30,30,2005,8.842,8.92275
2005-05-01,1,2005,8.965,8.9925
2005-05-02,2,2005,8.888,9.05325
2005-05-03,3,2005,8.996,9.126
2005-05-04,4,2005,9.121,9.253
2005-05-05,5,2005,9.208,9.3935
2005-05-06,6,2005,9.179,9.479
2005-05-07,7,2005,9.504,9.6
2005-05-08,8,2005,9.683,9.60825
2005-05-09,9,2005,9.55,9.58225
2005-05-10,10,2005,9.663,9.6875
2005-05-11,11,2005,9.537,9.85
2005-05-12,12,2005,9.579,10.071
2005-05-13,13,2005,9.971,10.322
2005-05-14,14,2005,10.313,10.50325
2005-05-15,15,2005,10.421,10.60425
2005-05-16,16,2005,10.583,10.66575
2005-05-17,17,2005,10.696,10.7075
2005-05-18,18,2005,10.717,10.693
2005-05-19,19,2005,10.667,10.69825
2005-05-20,20,2005,10.75,10.73775
2005-05-21,21,2005,10.638,10.85225
2005-05-22,22,2005,10.738,11.096
2005-05-23,23,2005,10.825,11.31675
2005-05-24,24,2005,11.208,11.54175
2005-05-25,25,2005,11.613,11.71475
2005-05-26,26,2005,11.621,11.894
2005-05-27,27,2005,11.725,12.1795
2005-05-28,28,2005,11.9,12.54
2005-05-29,29,2005,12.33,12.91375
2005-05-30,30,2005,12.763,13.15325
2005-05-31,31,2005,13.167,13.27075
2005-06-01,1,2005,13.395,13.2655
2005-06-02,2,2005,13.288,13.2625
2005-06-03,3,2005,13.233,13.2895
2005-06-04,4,2005,13.146,13.30525
2005-06-05,5,2005,13.383,13.272
2005-06-06,6,2005,13.396,13.13575
2005-06-07,7,2005,13.296,13.0045
2005-06-08,8,2005,13.013,12.98375
2005-06-09,9,2005,12.838,13.1795
2005-06-10,10,2005,12.871,13.395
2005-06-11,11,2005,13.213,13.647
2005-06-12,12,2005,13.796,13.8375
2005-06-13,13,2005,13.7,13.84175
2005-06-14,14,2005,13.879,13.87925
2005-06-15,15,2005,13.975,13.92825
2005-06-16,16,2005,13.813,13.96375
2005-06-17,17,2005,13.85,14.122
2005-06-18,18,2005,14.075,14.3865
2005-06-19,19,2005,14.117,14.596
2005-06-20,20,2005,14.446,14.797
2005-06-21,21,2005,14.908,14.95
2005-06-22,22,2005,14.913,15.00625
2005-06-23,23,2005,14.921,15.09675
2005-06-24,24,2005,15.058,15.15925
2005-06-25,25,2005,15.133,15.1865
2005-06-26,26,2005,15.275,15.23025
2005-06-27,27,2005,15.171,15.21975
2005-06-28,28,2005,15.167,15.329
2005-06-29,29,2005,15.308,15.511
2005-06-30,30,2005,15.233,15.66525
2005-07-01,1,2005,15.608,15.905
2005-07-02,2,2005,15.895,16.0905
2005-07-03,3,2005,15.925,16.27
2005-07-04,4,2005,16.192,16.3595
2005-07-05,5,2005,16.35,16.26475
2005-07-06,6,2005,16.613,16.14925
2005-07-07,7,2005,16.283,16.0605
2005-07-08,8,2005,15.813,16.00425
