"day","year","temp","date"
1,1998,NA,"1998-01-01"
2,1998,NA,"1998-01-02"
3,1998,NA,"1998-01-03"
4,1998,NA,"1998-01-04"
5,1998,NA,"1998-01-05"
6,1998,NA,"1998-01-06"
7,1998,NA,"1998-01-07"
8,1998,NA,"1998-01-08"
9,1998,NA,"1998-01-09"
10,1998,NA,"1998-01-10"
11,1998,NA,"1998-01-11"
12,1998,NA,"1998-01-12"
13,1998,NA,"1998-01-13"
14,1998,NA,"1998-01-14"
15,1998,NA,"1998-01-15"
16,1998,NA,"1998-01-16"
17,1998,NA,"1998-01-17"
18,1998,NA,"1998-01-18"
19,1998,NA,"1998-01-19"
20,1998,NA,"1998-01-20"
21,1998,NA,"1998-01-21"
22,1998,NA,"1998-01-22"
23,1998,NA,"1998-01-23"
24,1998,NA,"1998-01-24"
25,1998,NA,"1998-01-25"
26,1998,NA,"1998-01-26"
27,1998,NA,"1998-01-27"
28,1998,NA,"1998-01-28"
29,1998,NA,"1998-01-29"
30,1998,NA,"1998-01-30"
31,1998,NA,"1998-01-31"
32,1998,NA,"1998-02-01"
33,1998,NA,"1998-02-02"
34,1998,NA,"1998-02-03"
35,1998,NA,"1998-02-04"
36,1998,NA,"1998-02-05"
37,1998,NA,"1998-02-06"
38,1998,NA,"1998-02-07"
39,1998,NA,"1998-02-08"
40,1998,NA,"1998-02-09"
41,1998,NA,"1998-02-10"
42,1998,NA,"1998-02-11"
43,1998,NA,"1998-02-12"
44,1998,NA,"1998-02-13"
45,1998,NA,"1998-02-14"
46,1998,NA,"1998-02-15"
47,1998,NA,"1998-02-16"
48,1998,NA,"1998-02-17"
49,1998,NA,"1998-02-18"
50,1998,NA,"1998-02-19"
51,1998,NA,"1998-02-20"
52,1998,NA,"1998-02-21"
53,1998,NA,"1998-02-22"
54,1998,NA,"1998-02-23"
55,1998,NA,"1998-02-24"
56,1998,NA,"1998-02-25"
57,1998,NA,"1998-02-26"
58,1998,NA,"1998-02-27"
59,1998,NA,"1998-02-28"
60,1998,NA,"1998-03-01"
61,1998,NA,"1998-03-02"
62,1998,NA,"1998-03-03"
63,1998,NA,"1998-03-04"
64,1998,NA,"1998-03-05"
65,1998,NA,"1998-03-06"
66,1998,NA,"1998-03-07"
67,1998,NA,"1998-03-08"
68,1998,NA,"1998-03-09"
69,1998,NA,"1998-03-10"
70,1998,NA,"1998-03-11"
71,1998,NA,"1998-03-12"
72,1998,NA,"1998-03-13"
73,1998,NA,"1998-03-14"
74,1998,NA,"1998-03-15"
75,1998,NA,"1998-03-16"
76,1998,NA,"1998-03-17"
77,1998,NA,"1998-03-18"
78,1998,NA,"1998-03-19"
79,1998,NA,"1998-03-20"
80,1998,NA,"1998-03-21"
81,1998,NA,"1998-03-22"
82,1998,NA,"1998-03-23"
83,1998,NA,"1998-03-24"
84,1998,NA,"1998-03-25"
85,1998,NA,"1998-03-26"
86,1998,NA,"1998-03-27"
87,1998,NA,"1998-03-28"
88,1998,NA,"1998-03-29"
89,1998,NA,"1998-03-30"
90,1998,NA,"1998-03-31"
91,1998,NA,"1998-04-01"
92,1998,NA,"1998-04-02"
93,1998,NA,"1998-04-03"
94,1998,NA,"1998-04-04"
95,1998,NA,"1998-04-05"
96,1998,NA,"1998-04-06"
97,1998,NA,"1998-04-07"
98,1998,6.643,"1998-04-08"
99,1998,6.51,"1998-04-09"
100,1998,6.483,"1998-04-10"
101,1998,6.602,"1998-04-11"
102,1998,6.572,"1998-04-12"
103,1998,6.7,"1998-04-13"
104,1998,6.777,"1998-04-14"
105,1998,6.786,"1998-04-15"
106,1998,6.999,"1998-04-16"
107,1998,7.136,"1998-04-17"
108,1998,7.329,"1998-04-18"
109,1998,7.376,"1998-04-19"
110,1998,7.389,"1998-04-20"
111,1998,7.602,"1998-04-21"
112,1998,7.34,"1998-04-22"
113,1998,7.377,"1998-04-23"
114,1998,7.567,"1998-04-24"
115,1998,7.768,"1998-04-25"
116,1998,7.778,"1998-04-26"
117,1998,8.469,"1998-04-27"
118,1998,8.374,"1998-04-28"
119,1998,8.242,"1998-04-29"
120,1998,8.019,"1998-04-30"
121,1998,8.37,"1998-05-01"
122,1998,8.702,"1998-05-02"
123,1998,8.688,"1998-05-03"
124,1998,9.148,"1998-05-04"
125,1998,8.889,"1998-05-05"
126,1998,8.821,"1998-05-06"
127,1998,9.059,"1998-05-07"
128,1998,9.243,"1998-05-08"
129,1998,9.324,"1998-05-09"
130,1998,9.681,"1998-05-10"
131,1998,9.811,"1998-05-11"
132,1998,9.984,"1998-05-12"
133,1998,9.802,"1998-05-13"
134,1998,10.005,"1998-05-14"
135,1998,9.918,"1998-05-15"
136,1998,9.984,"1998-05-16"
137,1998,10.032,"1998-05-17"
138,1998,10.183,"1998-05-18"
139,1998,10.437,"1998-05-19"
140,1998,10.568,"1998-05-20"
141,1998,10.991,"1998-05-21"
142,1998,11.258,"1998-05-22"
143,1998,NA,"1998-05-23"
144,1998,NA,"1998-05-24"
145,1998,11.1,"1998-05-25"
146,1998,11.097,"1998-05-26"
147,1998,11.076,"1998-05-27"
148,1998,11.106,"1998-05-28"
149,1998,11.287,"1998-05-29"
150,1998,11.473,"1998-05-30"
151,1998,12,"1998-05-31"
152,1998,12.49,"1998-06-01"
153,1998,12.775,"1998-06-02"
154,1998,12.807,"1998-06-03"
155,1998,12.85,"1998-06-04"
156,1998,12.912,"1998-06-05"
157,1998,12.942,"1998-06-06"
158,1998,13.198,"1998-06-07"
159,1998,13.335,"1998-06-08"
160,1998,13.526,"1998-06-09"
161,1998,13.655,"1998-06-10"
162,1998,13.879,"1998-06-11"
163,1998,14.068,"1998-06-12"
164,1998,14.231,"1998-06-13"
165,1998,14.37,"1998-06-14"
166,1998,14.127,"1998-06-15"
167,1998,13.882,"1998-06-16"
168,1998,13.863,"1998-06-17"
169,1998,13.48,"1998-06-18"
170,1998,13.435,"1998-06-19"
171,1998,13.78,"1998-06-20"
172,1998,14.123,"1998-06-21"
173,1998,14.394,"1998-06-22"
174,1998,14.434,"1998-06-23"
175,1998,14.346,"1998-06-24"
176,1998,14.713,"1998-06-25"
177,1998,14.579,"1998-06-26"
