"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"1",0,28,0,0,0,0,0,0,0
"2",0,28,3,0,0,1,4,0,0
"3",0,28,0,0,0,2,4,0,0
"4",0,28,0,2,0,2,5,0,0
"5",0,28,0,0,0,3,3,1,0
"6",0,28,0,0,0,0,0,0,0
"7",0,28,26,15,14,11,11,0,1
"8",0,29,2,1,1,5,2,3,1
"9",0,28,0,4,0,4,4,1,0
"10",0,28,0,3,0,7,2,0,0
"11",0,28,28,28,5,20,19,5,2
"12",0,29,0,0,13,1,0,1,0
"13",0,28,18,3,0,7,0,19,11
"14",0,25,24,22,25,19,28,15,0
"15",0,26,0,3,3,3,5,1,0
"16",0,27,3,6,14,20,3,3,0
"17",0,26,6,15,19,16,14,0,1
"18",0,28,17,12,6,2,12,0,0
