"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"1",0,0.31,0,0,0,0,0.01,0,0
"2",0,0.31,0.01,0.02,0,0,0.04,0,0
"3",0,0.31,0.01,0,0,0.03,0.03,0.01,0
"4",0,0.31,0,0.02,0,0,0.02,0.01,0.02
"5",0,0.31,0,0.13,0.01,0.1,0.09,0,0.01
"6",0,0.31,0,0,0.01,0,0,0.02,0.02
"7",0,0.31,0.14,0.06,0.07,0.05,0.06,0.03,0
"8",0,0.31,0,0,0,0,0,0,0
"9",0,0.31,0.17,0.07,0,0.08,0.08,0.04,0
"10",0,0.31,0,0.08,0,0.15,0.11,0,0
"11",0,0.31,0.27,0.05,0,0.03,0.03,0,0
"12",0,0.31,0,0.01,0.09,0.03,0,0,0
"13",0,0.31,0,0.19,0.02,0.18,0.02,0,0
"14",0,0.31,0.09,0.11,0.04,0.09,0.18,0.23,0
"15",0,0.31,0,0.02,0.02,0.01,0.08,0.01,0.01
"16",0,0.31,0,0.1,0.15,0.26,0.02,0,0.02
"17",0,0.31,0.01,0.13,0.09,0.08,0.07,0,0
"18",0,0.31,0.29,0.27,0.14,0.04,0.16,0,0
