"date","spill","window_spill"
2005-06-01,0.84046,0.45957875
2005-06-02,0.48048,0.383245
2005-06-03,0.27571,0.37676375
2005-06-04,0.26121,0.39575375
2005-06-05,0.22958,0.39681625
2005-06-06,0.5969,0.39118625
2005-06-07,0.66258,0.36131375
2005-06-08,0.32971,0.33493875
2005-06-09,0.22979,0.3404125
2005-06-10,0.42863,0.3625325
2005-06-11,0.42763,0.33925625
2005-06-12,0.26971,0.308865
2005-06-13,0.18454,0.313125
2005-06-14,0.35792,0.34238875
2005-06-15,0.45158,0.35483125
2005-06-16,0.3735,0.342165
2005-06-17,0.40675,0.3391125
2005-06-18,0.24242,0.312185
2005-06-19,0.1845,0.31490375
2005-06-20,0.30379,0.33408125
2005-06-21,0.41865,0.34362875
2005-06-22,0.45746,0.34933375
2005-06-23,0.35025,0.32541125
2005-06-24,0.34908,0.30614
2005-06-25,0.19133,0.2954375
2005-06-26,0.26417,0.303875
2005-06-27,0.33792,0.3005775
2005-06-28,0.38017,0.2805975
2005-06-29,0.46429,0.26889375
2005-06-30,0.26608,0.2557175
2005-07-01,0.19608,0.246395
2005-07-02,0.26346,0.24188
2005-07-03,0.25883,0.23027
2005-07-04,0.23779,0.23242625
2005-07-05,0.17808,0.224125
2005-07-06,0.28654,0.22235
2005-07-07,0.35888,0.2062825
2005-07-08,0.1915,0.1811725
2005-07-09,0.15996,0.189225
2005-07-10,0.17058,0.19350125
2005-07-11,0.27608,0.209005
2005-07-12,0.17138,0.20132875
2005-07-13,0.16388,0.20299
2005-07-14,0.158,0.202255
2005-07-15,0.158,0.20834875
2005-07-16,0.25592,0.21775
2005-07-17,0.19417,0.21159375
2005-07-18,0.29461,0.2061975
2005-07-19,0.21467,0.19475125
2005-07-20,0.18467,0.19376125
2005-07-21,0.158,0.19262
2005-07-22,0.20675,0.20244875
2005-07-23,0.23321,0.21101125
2005-07-24,0.20667,0.20933375
2005-07-25,0.151,0.20676
2005-07-26,0.20304,0.22013
2005-07-27,0.20675,0.21751
2005-07-28,0.17554,0.2105575
2005-07-29,0.23663,0.2111
2005-07-30,0.27525,0.213985
2005-07-31,0.21979,0.21136
2005-08-01,0.18608,0.207095
2005-08-02,0.25796,0.20766375
2005-08-03,0.18208,0.19757
2005-08-04,0.15113,0.202695
2005-08-05,0.17988,0.1981475
2005-08-06,0.25971,0.1924025
2005-08-07,0.25425,0.17719375
2005-08-08,0.18567,0.1622925
2005-08-09,0.19063,0.15333875
2005-08-10,0.17721,0.14165625
2005-08-11,0.22308,0.1395525
2005-08-12,0.11475,0.12881875
2005-08-13,0.13392,0.123215
2005-08-14,0.13804,0.12121
2005-08-15,0.13504,0.11060625
2005-08-16,0.11404,0.11372625
2005-08-17,0.09717,0.11197125
2005-08-18,0.16038,0.117185
2005-08-19,0.13721,0.1097625
2005-08-20,0.06992,0.1080025
2005-08-21,0.11788,0.11203875
2005-08-22,0.05321,0.10824125
2005-08-23,0.16,0.11962125
2005-08-24,0.1,0.112215
2005-08-25,0.13888,0.10031375
2005-08-26,0.101,0.08295375
2005-08-27,0.12313,0.07032875
2005-08-28,0.10221,0.0549375
2005-08-29,0.0875,0.04216125
2005-08-30,0.14425,0.03122375
2005-08-31,0.10075,0.0131925
2005-09-01,0.00479,0.00059875
2005-09-02,0,0
2005-09-03,0,0
2005-09-04,0,0
2005-09-05,0,0
2005-09-06,0,0
2005-09-07,0,0
2005-09-08,0,0
2005-09-09,0,0
2005-09-10,0,0
2005-09-11,0,0
2005-09-12,0,0
2005-09-13,0,0
2005-09-14,0,0
2005-09-15,0,0
2005-09-16,0,0
2005-09-17,0,0
2005-09-18,0,0
2005-09-19,0,0
2005-09-20,0,0
2005-09-21,0,0
2005-09-22,0,0
2005-09-23,0,0
2005-09-24,0,0
2005-09-25,0,0
2005-09-26,0,0
2005-09-27,0,0
2005-09-28,0,0
2005-09-29,0,0
2005-09-30,0,0
2005-10-01,0,0
2005-10-02,0,0
2005-10-03,0,0
2005-10-04,0,0
2005-10-05,0,0
2005-10-06,0,0
2005-10-07,0,0
2005-10-08,0,0
2005-10-09,0,0
2005-10-10,0,0
2005-10-11,0,0
2005-10-12,0,0
2005-10-13,0,0
2005-10-14,0,0
2005-10-15,0,0
2005-10-16,0,0
2005-10-17,0,0
2005-10-18,0,0
2005-10-19,0,0
2005-10-20,0,0
2005-10-21,0,0
2005-10-22,0,0
2005-10-23,0,0
2005-10-24,0,0
2005-10-25,0,0
2005-10-26,0,0
2005-10-27,0,0
2005-10-28,0,0
2005-10-29,0,0
2005-10-30,0,0
2005-10-31,0,0
2005-11-01,0,0
2005-11-02,0,0
2005-11-03,0,0
2005-11-04,0,0
2005-11-05,0,0
2005-11-06,0,0
2005-11-07,0,0
2005-11-08,0,0
