"date","spill","window_spill"
2005-06-01,0.11192,0.173818
2005-06-02,0.07567,0.178243
2005-06-03,0.02013,0.180341
2005-06-04,0,0.182096
2005-06-05,0,0.186495
2005-06-06,0.10525,0.1921605
2005-06-07,0.17263,0.1972125
2005-06-08,0,0.2034895
2005-06-09,0.02921,0.208902
2005-06-10,0,0.214624
2005-06-11,0,0.21904475
2005-06-12,0,0.22303125
2005-06-13,0,0.22819475
2005-06-14,0,0.23198425
2005-06-15,0,0.236801
2005-06-16,0,0.24209375
2005-06-17,0,0.238814
2005-06-18,0,0.23706925
2005-06-19,0,0.237468
2005-06-20,0.3689,0.23402225
2005-06-21,0.2425,0.22874725
2005-06-22,0.18113,0.22634825
2005-06-23,0.33058,0.22376075
2005-06-24,0.37663,0.22377225
2005-06-25,0.24054,0.224116
2005-06-26,0.27513,0.21998875
2005-06-27,0.21429,0.21433575
2005-06-28,0.18704,0.21188275
2005-06-29,0.33013,0.208184
2005-06-30,0.39983,0.20565275
2005-07-01,0.25175,0.2039495
2005-07-02,0.29258,0.199442
2005-07-03,0.21679,0.19677525
2005-07-04,0.18317,0.19113475
2005-07-05,0.29563,0.18641075
2005-07-06,0.21896,0.1837575
2005-07-07,0.32529,0.18113975
2005-07-08,0.32242,0.17735125
2005-07-09,0.21721,0.17220975
2005-07-10,0.18296,0.16984625
2005-07-11,0.24508,0.165045
2005-07-12,0.28404,0.16232
2005-07-13,0.19017,0.1596085
2005-07-14,0.27288,0.15563775
2005-07-15,0.177,0.15333875
2005-07-16,0.18917,0.149043
2005-07-17,0.24283,0.14752225
2005-07-18,0.17596,0.14481825
2005-07-19,0.25583,0.14229125
2005-07-20,0.20208,0.1376255
2005-07-21,0.25108,0.13320475
2005-07-22,0.2165,0.12921825
2005-07-23,0.22888,0.12405475
2005-07-24,0.17683,0.12026525
2005-07-25,0.15946,0.1154485
2005-07-26,0.20654,0.11015575
2005-07-27,0.15158,0.104213
2005-07-28,0.19267,0.09989525
2005-07-29,0.21171,0.09496825
2005-07-30,0.23771,0.0901495
2005-07-31,0.17271,0.08600875
2005-08-01,0.19708,0.08239425
2005-08-02,0.19275,0.0781035
2005-08-03,0.16563,0.07273475
2005-08-04,0.14458,0.067715
2005-08-05,0.17163,0.063589
2005-08-06,0.21475,0.05924625
2005-08-07,0.20079,0.0554055
2005-08-08,0.16504,0.05178975
2005-08-09,0.17371,0.04890125
2005-08-10,0.15363,0.04602525
2005-08-11,0.14463,0.043142
2005-08-12,0.11554,0.04033475
2005-08-13,0.11504,0.037843
2005-08-14,0.11533,0.0345065
2005-08-15,0.11229,0.0317295
2005-08-16,0.09967,0.02977325
2005-08-17,0.13346,0.02743475
2005-08-18,0.11108,0.02547525
2005-08-19,0.07825,0.0230845
2005-08-20,0.09354,0.02106375
2005-08-21,0.07838,0.01936375
2005-08-22,0.09563,0.017346
2005-08-23,0.08083,0.015246
2005-08-24,0.068,0.013146
2005-08-25,0.08071,0.011046
2005-08-26,0.084,0.00751475
2005-08-27,0.084,0.00394175
2005-08-28,0.084,0.00105625
2005-08-29,0.14125,0
2005-08-30,0.14292,0
2005-08-31,0.11542,0
2005-09-01,0.04225,0
2005-09-02,0,0
2005-09-03,0,0
2005-09-04,0,0
2005-09-05,0,0
2005-09-06,0,0
2005-09-07,0,0
2005-09-08,0,2.2e-05
2005-09-09,0,2.2e-05
2005-09-10,0,2.2e-05
2005-09-11,0,2.2e-05
2005-09-12,0,2.2e-05
2005-09-13,0,2.2e-05
2005-09-14,0,2.2e-05
2005-09-15,0,2.2e-05
2005-09-16,0,2.2e-05
2005-09-17,0,2.2e-05
2005-09-18,0,2.2e-05
2005-09-19,0,2.2e-05
2005-09-20,0,2.2e-05
2005-09-21,0,2.2e-05
2005-09-22,0,2.2e-05
2005-09-23,0,2.2e-05
2005-09-24,0,2.2e-05
2005-09-25,0,2.2e-05
2005-09-26,0,2.2e-05
2005-09-27,0,2.2e-05
2005-09-28,0,2.2e-05
2005-09-29,0,2.2e-05
2005-09-30,0,2.2e-05
2005-10-01,0,2.2e-05
2005-10-02,0,2.2e-05
2005-10-03,0,2.2e-05
2005-10-04,0,2.2e-05
2005-10-05,0,2.2e-05
2005-10-06,0,2.2e-05
2005-10-07,0,2.2e-05
2005-10-08,0,2.2e-05
2005-10-09,0,2.2e-05
2005-10-10,0,2.2e-05
2005-10-11,0,2.2e-05
2005-10-12,0,2.2e-05
2005-10-13,0,2.2e-05
2005-10-14,0,2.2e-05
2005-10-15,0,2.2e-05
2005-10-16,0,2.2e-05
2005-10-17,0,2.2e-05
2005-10-18,0,0
2005-10-19,0,5.825e-05
2005-10-20,0,0.0001655
2005-10-21,0.00088,0.0001655
2005-10-22,0,0.0001655
2005-10-23,0,0.0001655
2005-10-24,0,0.0001655
2005-10-25,0,0.0001655
2005-10-26,0,0.0001655
2005-10-27,0,0.0001655
2005-10-28,0,0.0001655
2005-10-29,0,0.0001655
2005-10-30,0,0.0001655
2005-10-31,0,0.0001655
2005-11-01,0,0.0001655
2005-11-02,0,0.0001655
2005-11-03,0,0.0001655
2005-11-04,0,0.0001655
2005-11-05,0,0.0001655
2005-11-06,0,0.0001655
2005-11-07,0,0.0001655
2005-11-08,0,0.0001655
2005-11-09,0,0.0001655
2005-11-10,0,0.0001655
2005-11-11,0,0.0001655
2005-11-12,0,0.0001655
2005-11-13,0,0.0001655
2005-11-14,0,0.0001655
2005-11-15,0,0.0001655
2005-11-16,0,0.0001655
2005-11-17,0,0.0001655
2005-11-18,0,0.0001655
2005-11-19,0,0.0001655
2005-11-20,0,0.0001655
2005-11-21,0,0.0001655
2005-11-22,0,0.0001655
2005-11-23,0,0.0001655
2005-11-24,0,0.0001655
2005-11-25,0,0.0001655
2005-11-26,0,0.0001655
2005-11-27,0,0.0001655
2005-11-28,0,0.00010725
2005-11-29,0,0
2005-11-30,0,0
2005-12-01,0.00233,0
2005-12-02,0.00429,0
2005-12-03,0,0
2005-12-04,0,0
2005-12-05,0,0
2005-12-06,0,0
2005-12-07,0,0
2005-12-08,0,0
2005-12-09,0,0
2005-12-10,0,0
2005-12-11,0,0
2005-12-12,0,0
2005-12-13,0,0
2005-12-14,0,0
2005-12-15,0,0
2005-12-16,0,0
2005-12-17,0,0
2005-12-18,0,0
2005-12-19,0,0
2005-12-20,0,0
2005-12-21,0,0
2005-12-22,0,0
2005-12-23,0,0
2005-12-24,0,0
2005-12-25,0,0
2005-12-26,0,0
2005-12-27,0,0
2005-12-28,0,0
2005-12-29,0,0
2005-12-30,0,0
2005-12-31,0,0
2006-01-01,0,0
2006-01-02,0,0
2006-01-03,0,0
2006-01-04,0,0
2006-01-05,0,0
2006-01-06,0,0
2006-01-07,0,0
2006-01-08,0,0
2006-01-09,0,0
2006-01-10,0,0
2006-01-11,0,0
2006-01-12,0,0
2006-01-13,0,0
2006-01-14,0,0
2006-01-15,0,0
2006-01-16,0,0
2006-01-17,0,0
2006-01-18,0,0
2006-01-19,0,0
2006-01-20,0,0
2006-01-21,0,0
2006-01-22,0,0
2006-01-23,0,0
2006-01-24,0,0
2006-01-25,0,0
2006-01-26,0,0
2006-01-27,0,0
2006-01-28,0,0
2006-01-29,0,0
2006-01-30,0,0
2006-01-31,0,0
2006-02-01,0,0
2006-02-02,0,0
2006-02-03,0,0
2006-02-04,0,0
2006-02-05,0,0
2006-02-06,0,0
2006-02-07,0,0
2006-02-08,0,0
2006-02-09,0,0
2006-02-10,0,0
2006-02-11,0,0
2006-02-12,0,0
2006-02-13,0,0
2006-02-14,0,0
2006-02-15,0,0
2006-02-16,0,0
2006-02-17,0,0
2006-02-18,0,0
2006-02-19,0,0.00499275
2006-02-20,0,0.01098125
2006-02-21,0,0.0202355
2006-02-22,0,0.02876475
2006-02-23,0,0.04235225
2006-02-24,0,0.052998
2006-02-25,0,0.06382
2006-02-26,0,0.07551175
2006-02-27,0,0.08578675
2006-02-28,0,0.0971545
2006-03-01,0,0.107842
2006-03-02,0,0.11942325
2006-03-03,0,0.13372025
2006-03-04,0,0.150039
2006-03-05,0,0.16664
2006-03-06,0,0.181764
2006-03-07,0,0.1951495
2006-03-08,0,0.207484
2006-03-09,0,0.21560475
2006-03-10,0,0.22309325
2006-03-11,0,0.23120775
2006-03-12,0,0.24259225
2006-03-13,0,0.25491825
2006-03-14,0,0.267239
2006-03-15,0,0.27709425
2006-03-16,0,0.28690475
2006-03-17,0,0.29733925
2006-03-18,0,0.3111685
2006-03-19,0,0.3277415
2006-03-20,0,0.34211025
2006-03-21,0,0.35458525
2006-03-22,0,0.36647225
2006-03-23,0,0.37550875
2006-03-24,0,0.385113
2006-03-25,0,0.39500475
2006-03-26,0,0.4051255
2006-03-27,0,0.413136
2006-03-28,0,0.41945575
2006-03-29,0,0.424536
2006-03-30,0,0.42961
2006-03-31,0,0.42970575
2006-04-01,0,0.42994325
2006-04-02,0,0.43054325
2006-04-03,0.19971,0.435274
2006-04-04,0.23954,0.438098
2006-04-05,0.37017,0.4475095
2006-04-06,0.34117,0.45920625
2006-04-07,0.5435,0.47343375
2006-04-08,0.42583,0.490841
2006-04-09,0.43288,0.50333375
2006-04-10,0.46767,0.5162995
2006-04-11,0.411,0.52706625
2006-04-12,0.45471,0.53205775
2006-04-13,0.4275,0.533528
2006-04-14,0.46325,0.53191025
2006-04-15,0.57188,0.53063525
2006-04-16,0.65275,0.52843925
2006-04-17,0.66404,0.52646875
2006-04-18,0.60496,0.52358975
2006-04-19,0.53542,0.521595
2006-04-20,0.49338,0.51854
2006-04-21,0.32483,0.5130805
2006-04-22,0.29954,0.50969725
2006-04-23,0.32458,0.51083275
2006-04-24,0.45538,0.5139235
2006-04-25,0.49304,0.51603
2006-04-26,0.49283,0.5174435
2006-04-27,0.39421,0.51667775
2006-04-28,0.39242,0.514758
2006-04-29,0.41738,0.51777175
2006-04-30,0.55317,0.51875875
2006-05-01,0.66292,0.51393525
2006-05-02,0.57475,0.51537575
2006-05-03,0.499,0.514959
2006-05-04,0.47548,0.511709
2006-05-05,0.36146,0.50664775
2006-05-06,0.38417,0.50368825
2006-05-07,0.39567,0.5024405
2006-05-08,0.40483,0.5024425
2006-05-09,0.32042,0.50242575
2006-05-10,0.25279,0.50235175
2006-05-11,0.20321,0.500679
2006-05-12,0.20296,0.49538525
2006-05-13,0.20354,0.48662
2006-05-14,0.24904,0.474744
2006-05-15,0.39417,0.4591785
2006-05-16,0.5304,0.4411775
2006-05-17,0.65646,0.41975925
2006-05-18,0.80229,0.3966155
2006-05-19,0.90075,0.37727375
2006-05-20,1.03677,0.358109
2006-05-21,1.10729,0.340309
2006-05-22,0.95442,0.32548625
2006-05-23,0.94613,0.31222025
2006-05-24,0.89392,0.30177875
2006-05-25,0.77154,0.292435
2006-05-26,0.71156,0.2856975
2006-05-27,0.59933,0.27985325
2006-05-28,0.55396,0.27909075
2006-05-29,0.44758,0.27813775
2006-05-30,0.41456,0.27760425
2006-05-31,0.20967,0.276223
2006-06-01,0.21975,0.27176775
2006-06-02,0.20238,0.2628585
2006-06-03,0.237,0.25447825
2006-06-04,0.35771,0.24708325
2006-06-05,0.53825,0.23975725
2006-06-06,0.51784,0.231174
2006-06-07,0.47668,0.221001
2006-06-08,0.47392,0.2079675
2006-06-09,0.52254,0.198617
2006-06-10,0.58613,0.19565775
2006-06-11,0.6953,0.1893005
2006-06-12,0.53848,0.184237
2006-06-13,0.28254,0.181713
2006-06-14,0.41908,0.180889
2006-06-15,0.3675,0.18034625
2006-06-16,0.26567,0.1797775
2006-06-17,0.20238,0.17917975
2006-06-18,0.20204,0.17826325
2006-06-19,0.20288,0.1765415
2006-06-20,0.20329,0.175207
2006-06-21,0.20229,0.174633
2006-06-22,0.20058,0.1742715
2006-06-23,0.18213,0.173934
2006-06-24,0.18242,0.173963
2006-06-25,0.17979,0.17344425
2006-06-26,0.18142,0.1731495
2006-06-27,0.17967,0.1731455
2006-06-28,0.18071,0.17316125
2006-06-29,0.18004,0.173204
2006-06-30,0.18154,0.17218925
2006-07-01,0.18075,0.17144025
2006-07-02,0.17954,0.1703755
2006-07-03,0.18192,0.1697505
2006-07-04,0.17863,0.1696235
2006-07-05,0.18092,0.16897675
2006-07-06,0.18167,0.16817275
2006-07-07,0.18021,0.167428
2006-07-08,0.17808,0.1672445
2006-07-09,0.18079,0.1672925
2006-07-10,0.17917,0.16732075
2006-07-11,0.18163,0.16713525
2006-07-12,0.18104,0.1658965
2006-07-13,0.18175,0.1642255
2006-07-14,0.1795,0.16213575
2006-07-15,0.18188,0.16005325
2006-07-16,0.18263,0.159547
2006-07-17,0.18088,0.16012825
2006-07-18,0.18088,0.16118025
2006-07-19,0.17921,0.16146975
2006-07-20,0.17921,0.15753325
2006-07-21,0.17396,0.1534135
2006-07-22,0.16446,0.1492895
2006-07-23,0.16417,0.14517175
2006-07-24,0.16479,0.14093625
2006-07-25,0.16496,0.136428
2006-07-26,0.16471,0.13192475
2006-07-27,0.16942,0.12744025
2006-07-28,0.18033,0.1232995
2006-07-29,0.18013,0.12000675
2006-07-30,0.17938,0.116788
2006-07-31,0.16563,0.1128015
2006-08-01,0.13171,0.10866825
2006-08-02,0.12875,0.10447025
2006-08-03,0.15946,0.0999495
2006-08-04,0.16533,0.0959505
2006-08-05,0.16792,0.09174425
2006-08-06,0.18083,0.08720975
2006-08-07,0.15996,0.08267525
2006-08-08,0.16825,0.078144
2006-08-09,0.18138,0.07461075
2006-08-10,0.18138,0.070894
2006-08-11,0.18125,0.06743575
2006-08-12,0.14133,0.063519
2006-08-13,0.14867,0.05914075
2006-08-14,0.13833,0.0553355
2006-08-15,0.15667,0.05161975
2006-08-16,0.17513,0.04788525
2006-08-17,0.15221,0.043528
2006-08-18,0.14863,0.038954
2006-08-19,0.14938,0.034382
2006-08-20,0.17429,0.03008
2006-08-21,0.18296,0.02677175
2006-08-22,0.18288,0.023877
2006-08-23,0.17208,0.02144475
2006-08-24,0.13233,0.01900525
2006-08-25,0.11579,0.01503125
2006-08-26,0.09729,0.00996975
2006-08-27,0.09758,0.00456875
2006-08-28,0.15896,0.00016775
2006-08-29,0.20246,0
2006-08-30,0.21604,0
2006-08-31,0.17604,0
2006-09-01,0.00671,0
2006-09-02,0,0
2006-09-03,0,0
2006-09-04,0,0
2006-09-05,0,0
2006-09-06,0,0
2006-09-07,0,0
2006-09-08,0,0
2006-09-09,0,0
2006-09-10,0,0
2006-09-11,0,0
2006-09-12,0,0
2006-09-13,0,0
2006-09-14,0,0
2006-09-15,0,0
2006-09-16,0,0
2006-09-17,0,4.575e-05
2006-09-18,0,4.575e-05
2006-09-19,0,4.575e-05
2006-09-20,0,4.575e-05
2006-09-21,0,4.575e-05
2006-09-22,0,4.575e-05
2006-09-23,0,4.575e-05
2006-09-24,0,4.575e-05
2006-09-25,0,4.575e-05
2006-09-26,0,4.575e-05
2006-09-27,0,4.575e-05
2006-09-28,0,4.575e-05
2006-09-29,0,4.575e-05
2006-09-30,0,4.575e-05
2006-10-01,0,4.575e-05
2006-10-02,0,4.575e-05
2006-10-03,0,4.575e-05
2006-10-04,0,4.575e-05
2006-10-05,0,4.575e-05
2006-10-06,0,4.575e-05
2006-10-07,0,4.575e-05
2006-10-08,0,4.575e-05
2006-10-09,0,4.575e-05
2006-10-10,0,4.575e-05
2006-10-11,0,4.575e-05
2006-10-12,0,4.575e-05
2006-10-13,0,4.575e-05
2006-10-14,0,4.575e-05
2006-10-15,0,4.575e-05
2006-10-16,0,4.575e-05
2006-10-17,0,4.575e-05
2006-10-18,0,4.575e-05
2006-10-19,0,4.575e-05
2006-10-20,0,4.575e-05
2006-10-21,0,4.575e-05
2006-10-22,0,0.001724
2006-10-23,0,0.004171
2006-10-24,0,0.006646
2006-10-25,0,0.007994
2006-10-26,0,0.007994
2006-10-27,0,0.00794825
2006-10-28,0,0.00794825
2006-10-29,0,0.00794825
2006-10-30,0.00183,0.00794825
2006-10-31,0,0.00794825
2006-11-01,0,0.00794825
