"date","spill","window_spill"
2005-06-01,30.408,27.6846666666667
2005-06-02,26.467,24.3486666666667
2005-06-03,26.179,21.0403333333333
2005-06-04,20.4,20.9266666666667
2005-06-05,16.542,22.431
2005-06-06,25.838,24.931
2005-06-07,24.913,24.3503333333333
2005-06-08,24.042,24.053
2005-06-09,24.096,22.3473333333333
2005-06-10,24.021,19.4263333333333
2005-06-11,18.925,20.1373333333333
2005-06-12,15.333,22.8886666666667
2005-06-13,26.154,26.6263333333333
2005-06-14,27.179,26.5666666666667
2005-06-15,26.546,26.7863333333333
2005-06-16,25.975,25.8363333333333
2005-06-17,27.838,23.4543333333333
2005-06-18,23.696,23.682
2005-06-19,18.829,26.082
2005-06-20,28.521,30.2056666666667
2005-06-21,30.896,31.7486666666667
2005-06-22,31.2,32.5013333333333
2005-06-23,33.15,32.629
2005-06-24,33.154,30.5553333333333
2005-06-25,31.583,30.4373333333333
2005-06-26,26.929,30.404
2005-06-27,32.8,31.4526666666667
2005-06-28,31.483,30.2416666666667
2005-06-29,30.075,29.435
2005-06-30,29.167,28.706
2005-07-01,29.063,25.7766666666667
2005-07-02,27.888,22.7683333333333
2005-07-03,20.379,23.1583333333333
2005-07-04,20.038,25.1916666666667
2005-07-05,29.058,28.1693333333333
2005-07-06,26.479,27.871
2005-07-07,28.971,28.1556666666667
2005-07-08,28.163,27.5196666666667
2005-07-09,27.333,28.1653333333333
2005-07-10,27.063,28.4556666666667
2005-07-11,30.1,28.8083333333333
2005-07-12,28.204,28.889
2005-07-13,28.121,29.5433333333333
2005-07-14,30.342,27.7323333333333
2005-07-15,30.167,23.871
2005-07-16,22.688,23.6333333333333
2005-07-17,18.758,25.725
2005-07-18,29.454,29.457
2005-07-19,28.963,29.4903333333333
2005-07-20,29.954,29.0903333333333
2005-07-21,29.554,26.5376666666667
2005-07-22,27.763,23.035
2005-07-23,22.296,23.3723333333333
2005-07-24,19.046,25.643
2005-07-25,28.775,27.729
2005-07-26,29.108,27.5333333333333
2005-07-27,25.304,27.228
2005-07-28,28.188,27.1433333333333
2005-07-29,28.192,24.535
2005-07-30,25.05,24.6903333333333
2005-07-31,20.363,25.7973333333333
2005-08-01,28.658,26.65
2005-08-02,28.371,25.235
2005-08-03,22.921,21.874
2005-08-04,24.413,21.4863333333333
2005-08-05,18.288,20.053
2005-08-06,21.758,22.5153333333333
2005-08-07,20.113,20.439
2005-08-08,25.675,13.7346666666667
2005-08-09,15.529,5.17633333333333
2005-08-10,0,0
2005-08-11,0,0
2005-08-12,0,0
2005-08-13,0,0
2005-08-14,0,0
2005-08-15,0,0
2005-08-16,0,0
2005-08-17,0,0
2005-08-18,0,0
2005-08-19,0,0
2005-08-20,0,0
2005-08-21,0,0
2005-08-22,0,0
2005-08-23,0,0
2005-08-24,0,0
2005-08-25,0,0
2005-08-26,0,0
2005-08-27,0,0
2005-08-28,0,0
2005-08-29,0,0
2005-08-30,0,0
2005-08-31,0,0
2005-09-01,0,0
2005-09-02,0,0
2005-09-03,0,0
2005-09-04,0,0
2005-09-05,0,0
2005-09-06,0,0
2005-09-07,0,0
2005-09-08,0,0
2005-09-09,0,0
2005-09-10,0,0
2005-09-11,0,0
2005-09-12,0,0
2005-09-13,0,0
2005-09-14,0,0
2005-09-15,0,0
2005-09-16,0,0
2005-09-17,0,0
2005-09-18,0,0
2005-09-19,0,0
2005-09-20,0,0
2005-09-21,0,0
2005-09-22,0,0
2005-09-23,0,0
2005-09-24,0,0
2005-09-25,0,0
2005-09-26,0,0
2005-09-27,0,0
2005-09-28,0,0
2005-09-29,0,0
2005-09-30,0,0
2005-10-01,0,0
2005-10-02,0,0
