"date","spill","window_spill"
2005-06-01,0,0.149055
2005-06-02,0.27346,0.149055
2005-06-03,0.31063,0.15319
2005-06-04,0.01213,0.15444
2005-06-05,0,0.154835
2005-06-06,0.29,0.154835
2005-06-07,0.31563,0.109835
2005-06-08,0.01371,0.052375
2005-06-09,0,0.0673025
2005-06-10,0.11,0.096
2005-06-11,0.08579,0.0985
2005-06-12,0.07342,0.106365
2005-06-13,0.11479,0.1160425
2005-06-14,0.12,0.119095
2005-06-15,0.11725,0.1160525
2005-06-16,0.11213,0.1077725
2005-06-17,0.127,0.11174
2005-06-18,0.10783,0.109885
2005-06-19,0.08413,0.1168025
2005-06-20,0.128,0.1329675
2005-06-21,0.11958,0.1364775
2005-06-22,0.1355,0.1421975
2005-06-23,0.14879,0.1375625
2005-06-24,0.14204,0.13726
2005-06-25,0.14246,0.13823
2005-06-26,0.11696,0.135345
2005-06-27,0.14758,0.139875
2005-06-28,0.14592,0.13773
2005-06-29,0.13092,0.132375
2005-06-30,0.13508,0.12229
2005-07-01,0.139,0.1082175
2005-07-02,0.1245,0.105625
2005-07-03,0.09058,0.103605
2005-07-04,0.07879,0.1126275
2005-07-05,0.12863,0.1238675
2005-07-06,0.11642,0.1231175
2005-07-07,0.12667,0.124845
2005-07-08,0.12375,0.1264075
2005-07-09,0.12563,0.1241475
2005-07-10,0.12333,0.123635
2005-07-11,0.13292,0.1266575
2005-07-12,0.11471,0.126605
2005-07-13,0.12358,0.1243125
2005-07-14,0.13542,0.1154275
2005-07-15,0.13271,0.11325
2005-07-16,0.10554,0.112355
2005-07-17,0.08804,0.118865
2005-07-18,0.12671,0.1310625
2005-07-19,0.12913,0.13173
2005-07-20,0.13158,0.123645
2005-07-21,0.13683,0.1115725
2005-07-22,0.12938,0.1085525
2005-07-23,0.09679,0.107865
2005-07-24,0.08329,0.1030425
2005-07-25,0.12475,0.1122625
2005-07-26,0.12663,0.1117
2005-07-27,0.0775,0.1078125
2005-07-28,0.12017,0.1116575
2005-07-29,0.1225,0.11401
2005-07-30,0.11108,0.1156975
2005-07-31,0.09288,0.1142925
2005-08-01,0.12958,0.11902
2005-08-02,0.12925,0.11197
2005-08-03,0.10546,0.104335
2005-08-04,0.11179,0.1005525
2005-08-05,0.10138,0.1000525
2005-08-06,0.09871,0.102655
2005-08-07,0.09033,0.10501
2005-08-08,0.10979,0.1084475
2005-08-09,0.11179,0.103385
2005-08-10,0.10813,0.0958225
2005-08-11,0.10408,0.08681
2005-08-12,0.08954,0.082385
2005-08-13,0.08154,0.06072
2005-08-14,0.07208,0.040335
2005-08-15,0.08638,0.022315
2005-08-16,0.00288,0.00072
2005-08-17,0,0
2005-08-18,0,0
2005-08-19,0,0
2005-08-20,0,1e-05
2005-08-21,0,1e-05
2005-08-22,0,1e-05
2005-08-23,4e-05,1e-05
2005-08-24,0,0.0004075
2005-08-25,0,0.0004075
2005-08-26,0,0.0004075
2005-08-27,0.00163,0.0004075
2005-08-28,0,0.0014475
2005-08-29,0,0.0083125
2005-08-30,0,0.0083125
2005-08-31,0.00579,0.0083125
2005-09-01,0.02746,0.006865
2005-09-02,0,0
2005-09-03,0,2e-05
2005-09-04,0,2e-05
2005-09-05,0,2e-05
2005-09-06,8e-05,2e-05
2005-09-07,0,0
2005-09-08,0,0
2005-09-09,0,0
2005-09-10,0,0
2005-09-11,0,0
2005-09-12,0,0
2005-09-13,0,0
2005-09-14,0,0
2005-09-15,0,0
2005-09-16,0,0
2005-09-17,0,0
2005-09-18,0,0
2005-09-19,0,0
2005-09-20,0,0
2005-09-21,0,0
2005-09-22,0,0
2005-09-23,0,0
2005-09-24,0,0
2005-09-25,0,0
2005-09-26,0,0
2005-09-27,0,0
2005-09-28,0,0
2005-09-29,0,0
2005-09-30,0,0
2005-10-01,0,0
2005-10-02,0,0
2005-10-03,0,0
2005-10-04,0,0
2005-10-05,0,0
2005-10-06,0,0
2005-10-07,0,0
2005-10-08,0,0
2005-10-09,0,0
2005-10-10,0,0
2005-10-11,0,0
2005-10-12,0,0
2005-10-13,0,0
2005-10-14,0,0
2005-10-15,0,0
2005-10-16,0,0
2005-10-17,0,0
2005-10-18,0,0
2005-10-19,0,0
2005-10-20,0,0
2005-10-21,0,0
2005-10-22,0,0
2005-10-23,0,0
2005-10-24,0,0
2005-10-25,0,0
2005-10-26,0,0
2005-10-27,0,0
2005-10-28,0,0
2005-10-29,0,0
2005-10-30,0,0
2005-10-31,0,0
2005-11-01,0,0
2005-11-02,0,0
2005-11-03,0,0
2005-11-04,0,0
2005-11-05,0,0
2005-11-06,0,0
2005-11-07,0,0
2005-11-08,0,0
2005-11-09,0,0
2005-11-10,0,0
2005-11-11,0,0
2005-11-12,0,0
2005-11-13,0,0
2005-11-14,0,0
2005-11-15,0,0
2005-11-16,0,0
2005-11-17,0,0
2005-11-18,0,0
2005-11-19,0,0
2005-11-20,0,0
2005-11-21,0,0
2005-11-22,0,0
2005-11-23,0,0
2005-11-24,0,0
2005-11-25,0,0.015145
2005-11-26,0,0.0217275
2005-11-27,0,0.0217275
2005-11-28,0.06058,0.0217275
2005-11-29,0.02633,0.0065825
2005-11-30,0,0
2005-12-01,0,0
2005-12-02,0,0
2005-12-03,0,0
2005-12-04,0,0
2005-12-05,0,0
2005-12-06,0,0
2005-12-07,0,0
2005-12-08,0,0
2005-12-09,0,0
2005-12-10,0,0.005095
2005-12-11,0,0.005095
2005-12-12,0,0.005095
2005-12-13,0.02038,0.005095
2005-12-14,0,0
2005-12-15,0,0
2005-12-16,0,0
2005-12-17,0,0
2005-12-18,0,0
2005-12-19,0,0
2005-12-20,0,0
2005-12-21,0,0
2005-12-22,0,0
2005-12-23,0,0
2005-12-24,0,0
2005-12-25,0,0
2005-12-26,0,0
2005-12-27,0,0
2005-12-28,0,0
2005-12-29,0,0
2005-12-30,0,0
2005-12-31,0,0
2006-01-01,0,0
2006-01-02,0,0
2006-01-03,0,0
2006-01-04,0,0
2006-01-05,0,0
2006-01-06,0,0
2006-01-07,0,0
2006-01-08,0,0
2006-01-09,0,0
2006-01-10,0,0
2006-01-11,0,0
2006-01-12,0,0
2006-01-13,0,0
2006-01-14,0,0
2006-01-15,0,0
2006-01-16,0,0
2006-01-17,0,0
2006-01-18,0,0
2006-01-19,0,0
2006-01-20,0,0
2006-01-21,0,0
2006-01-22,0,0
2006-01-23,0,0
2006-01-24,0,0
2006-01-25,0,0
2006-01-26,0,0
2006-01-27,0,0
2006-01-28,0,0
2006-01-29,0,0
2006-01-30,0,0
2006-01-31,0,0
2006-02-01,0,0
2006-02-02,0,0
2006-02-03,0,0
2006-02-04,0,0
2006-02-05,0,0
2006-02-06,0,0
2006-02-07,0,0
2006-02-08,0,0.0019175
2006-02-09,0,0.0019175
2006-02-10,0,0.0019175
2006-02-11,0.00767,0.0019175
2006-02-12,0,0
2006-02-13,0,0
2006-02-14,0,0
2006-02-15,0,0
2006-02-16,0,0
2006-02-17,0,0
2006-02-18,0,0
2006-02-19,0,0
2006-02-20,0,0
2006-02-21,0,0
2006-02-22,0,0
2006-02-23,0,0
2006-02-24,0,0
2006-02-25,0,0
2006-02-26,0,0
2006-02-27,0,0
2006-02-28,0,0
2006-03-01,0,0
2006-03-02,0,0
2006-03-03,0,0
2006-03-04,0,0
2006-03-05,0,0
2006-03-06,0,0
2006-03-07,0,0
2006-03-08,0,0
2006-03-09,0,0
2006-03-10,0,0
2006-03-11,0,0
2006-03-12,0,0
2006-03-13,0,0
2006-03-14,0,0
2006-03-15,0,0.000355
2006-03-16,0,0.000355
2006-03-17,0,0.000355
2006-03-18,0.00142,0.000355
2006-03-19,0,0
2006-03-20,0,0
2006-03-21,0,0
2006-03-22,0,0
2006-03-23,0,0
2006-03-24,0,0
2006-03-25,0,0
2006-03-26,0,0
2006-03-27,0,0
2006-03-28,0,0
2006-03-29,0,0
2006-03-30,0,0
2006-03-31,0,0
2006-04-01,0,0
2006-04-02,0,0
2006-04-03,0,0
2006-04-04,0,0
2006-04-05,0,0.000605
2006-04-06,0,0.003825
2006-04-07,0,0.003825
2006-04-08,0.00242,0.003825
2006-04-09,0.01288,0.00322
2006-04-10,0,0.009095
2006-04-11,0,0.0362725
2006-04-12,0,0.05443
2006-04-13,0.03638,0.1159725
2006-04-14,0.10871,0.1386275
2006-04-15,0.07263,0.1443875
2006-04-16,0.24617,0.1363975
2006-04-17,0.127,0.1038025
2006-04-18,0.13175,0.1125425
2006-04-19,0.04067,0.1006575
2006-04-20,0.11579,0.1011675
2006-04-21,0.16196,0.09844
2006-04-22,0.08421,0.08668
2006-04-23,0.04271,0.0705225
2006-04-24,0.10488,0.059845
2006-04-25,0.11492,0.033625
2006-04-26,0.01958,0.05804
2006-04-27,0,0.1033425
2006-04-28,0,0.168385
2006-04-29,0.21258,0.276855
2006-04-30,0.20079,0.3320125
2006-05-01,0.26017,0.3903975
2006-05-02,0.43388,0.4305325
2006-05-03,0.43321,0.4270825
2006-05-04,0.43433,0.40929
2006-05-05,0.42071,0.3298325
2006-05-06,0.42008,0.2314375
2006-05-07,0.36204,0.12697
2006-05-08,0.1165,0.04796
2006-05-09,0.02713,0.1167925
2006-05-10,0.00221,0.194
2006-05-11,0.046,0.254105
2006-05-12,0.39183,0.3261475
2006-05-13,0.33596,0.232785
2006-05-14,0.24263,0.148795
2006-05-15,0.33417,0.1863675
2006-05-16,0.01838,0.1982
2006-05-17,0,0.1975425
2006-05-18,0.39292,0.1975425
2006-05-19,0.3815,0.0993125
2006-05-20,0.01575,0.006
2006-05-21,0,0.0904575
2006-05-22,0,0.19353
2006-05-23,0.00825,0.2817275
2006-05-24,0.35358,0.3889675
2006-05-25,0.41229,0.47201
2006-05-26,0.35279,0.5337925
2006-05-27,0.43721,0.6063875
2006-05-28,0.68575,0.58868
2006-05-29,0.65942,0.5109
2006-05-30,0.64317,0.412055
2006-05-31,0.36638,0.33094
2006-06-01,0.37463,0.3164075
2006-06-02,0.26404,0.31698
2006-06-03,0.31871,0.351815
2006-06-04,0.30825,0.381045
2006-06-05,0.37692,0.40643
2006-06-06,0.40338,0.3976275
2006-06-07,0.43563,0.4217525
2006-06-08,0.40979,0.47695
2006-06-09,0.34171,0.5175225
2006-06-10,0.49988,0.55449
2006-06-11,0.65642,0.53551
2006-06-12,0.57208,0.4668125
2006-06-13,0.48958,0.4581375
2006-06-14,0.42396,0.42643
2006-06-15,0.38163,0.38295
2006-06-16,0.53738,0.356345
2006-06-17,0.36275,0.29598
2006-06-18,0.25004,0.26224
2006-06-19,0.27521,0.32447
2006-06-20,0.29592,0.319575
2006-06-21,0.22779,0.28648
2006-06-22,0.49896,0.277855
2006-06-23,0.25563,0.1924375
2006-06-24,0.16354,0.1682275
2006-06-25,0.19329,0.171425
2006-06-26,0.15729,0.1642275
2006-06-27,0.15879,0.1563325
2006-06-28,0.17633,0.14724
2006-06-29,0.1645,0.13024
2006-06-30,0.12571,0.12001
2006-07-01,0.12242,0.1146025
2006-07-02,0.10833,0.11932
2006-07-03,0.12358,0.1274675
2006-07-04,0.10408,0.129865
2006-07-05,0.14129,0.1352925
2006-07-06,0.14092,0.124075
2006-07-07,0.13317,0.12294
2006-07-08,0.12579,0.12219
2006-07-09,0.09642,0.1202525
2006-07-10,0.13638,0.125085
2006-07-11,0.13017,0.11899
2006-07-12,0.11804,0.1105925
2006-07-13,0.11575,0.1025925
2006-07-14,0.112,0.103165
2006-07-15,0.09658,0.1083
2006-07-16,0.08604,0.11504
2006-07-17,0.11804,0.12428
2006-07-18,0.13254,0.1245725
2006-07-19,0.12354,0.11548
2006-07-20,0.123,0.1010225
2006-07-21,0.11921,0.09697
2006-07-22,0.09617,0.096335
2006-07-23,0.06571,0.1006675
2006-07-24,0.10679,0.11321
2006-07-25,0.11667,0.112045
2006-07-26,0.1135,0.10866
2006-07-27,0.11588,0.1010775
2006-07-28,0.10213,0.09839
2006-07-29,0.10313,0.094815
2006-07-30,0.08317,0.0913975
2006-07-31,0.10513,0.0957
2006-08-01,0.08783,0.092115
2006-08-02,0.08946,0.090115
2006-08-03,0.10038,0.0840825
2006-08-04,0.09079,0.0813525
2006-08-05,0.07983,0.08201
2006-08-06,0.06533,0.086585
2006-08-07,0.08946,0.0887225
2006-08-08,0.09342,0.0842325
2006-08-09,0.09813,0.0616175
2006-08-10,0.07388,0.037085
2006-08-11,0.0715,0.018615
