"date","BON","MCN","PRA","RIS","RRE","ICH","WEL","LGR"
2005-06-01,15.228,14.936,13.463,13.382,13.395,14.128,12.572,15.035
2005-06-02,15.258,14.911,13.779,13.433,13.288,14.293,12.56,14.696
2005-06-03,15.24,14.77,14.029,13.333,13.233,14.366,12.792,13.522
2005-06-04,15.265,14.818,14.221,13.213,13.146,14.511,13.06,13.58
2005-06-05,15.327,14.976,14.4,13.292,13.383,14.834,12.935,13.061
2005-06-06,15.364,15.151,14.329,13.379,13.396,15.06,12.944,12.959
2005-06-07,15.447,15.153,14.308,13.375,13.296,15.23,12.751,13.054
2005-06-08,15.539,15.256,14.121,13.133,13.013,15.42,12.428,13.152
2005-06-09,15.93,15.587,14.225,12.913,12.838,15.513,12.539,13.303
2005-06-10,16.063,15.885,14.4,12.808,12.871,15.541,13.091,13.352
2005-06-11,15.987,15.977,14.438,12.658,13.213,15.593,13.16,13.459
2005-06-12,15.78,15.808,14.05,13.008,13.796,15.509,13.481,13.641
2005-06-13,15.945,15.928,14.042,13.4,13.7,15.271,13.639,13.771
2005-06-14,16.029,16.049,14.138,13.371,13.879,15.225,13.488,13.773
2005-06-15,16.162,15.922,14.254,13.388,13.975,15.154,13.414,13.825
2005-06-16,16.409,15.921,14.696,13.654,13.813,15.205,13.595,14.099
2005-06-17,16.417,15.723,14.858,13.917,13.85,15.205,13.579,14.399
2005-06-18,16.696,15.874,15.092,14.071,14.075,15.33,13.556,14.63
2005-06-19,16.9,16.066,15.363,14.288,14.117,15.579,13.556,14.863
2005-06-20,17.285,16.449,15.508,14.404,14.446,15.736,14.222,15.361
2005-06-21,17.548,16.782,15.563,14.7,14.908,15.887,14.488,15.739
2005-06-22,17.519,17.178,15.617,15.079,14.913,16.08,14.512,15.681
2005-06-23,17.667,17.358,15.613,15.042,14.921,16.42,14.725,16.082
2005-06-24,17.635,17.367,15.933,15.096,15.058,16.577,14.766,17.02
2005-06-25,17.622,17.277,16.067,15.288,15.133,16.46,14.75,17.447
2005-06-26,17.762,17.32,16.121,15.438,15.275,16.74,14.761,17.803
2005-06-27,17.79,17.439,16.15,15.333,15.171,16.89,14.958,18.103
2005-06-28,17.73,17.385,16.1,15.225,15.167,17.064,14.804,18.447
2005-06-29,17.908,17.375,16.278,15.45,15.308,16.998,14.782,18.63
2005-06-30,18.468,17.536,16.404,15.413,15.233,17.291,15.34,18.751
2005-07-01,18.871,17.862,16.467,15.6,15.608,17.633,15.495,18.223
2005-07-02,18.762,18.16,16.55,16.01,15.895,17.895,15.606,18.196
2005-07-03,18.567,18.299,16.296,16.046,15.925,18.135,15.653,18.407
2005-07-04,18.634,18.387,16.613,16.308,16.192,18.423,15.956,18.814
2005-07-05,18.895,18.424,17.013,16.521,16.35,18.683,16.028,19.158
2005-07-06,19.128,18.472,17.421,16.708,16.613,18.88,15.551,18.857
2005-07-07,19.239,18.82,17.458,16.617,16.283,19.525,15.488,18.878
2005-07-08,19.26,19.036,17.421,16.008,15.813,19.568,15.926,19.276
2005-07-09,19.057,19.281,17.571,15.904,15.888,19.748,15.639,19.515
2005-07-10,19.083,19.208,17.446,16.258,16.258,19.831,15.632,19.775
2005-07-11,19.329,19.07,17.175,16.254,16.058,20.086,15.882,19.761
2005-07-12,19.787,19.157,17.088,16.183,16.125,20.101,16.088,19.629
2005-07-13,19.883,19.574,17.239,16.471,16.421,20.165,16.129,19.271
2005-07-14,19.887,19.66,17.338,16.622,16.513,20.521,16.532,19.177
2005-07-15,20.026,19.377,17.417,16.746,16.725,20.72,16.572,19.551
2005-07-16,20.122,19.482,17.604,16.958,16.838,20.79,16.35,19.271
2005-07-17,20.353,19.62,17.671,17.033,16.846,20.94,16.579,19.205
2005-07-18,20.642,19.694,17.946,17.05,16.917,21.136,16.9,19.358
2005-07-19,20.724,19.782,18.15,17.267,17.238,21.189,16.928,19.185
2005-07-20,20.595,19.91,18.196,17.522,17.438,21.153,16.833,18.969
2005-07-21,20.708,20.287,18.296,17.496,17.3,21.434,17.15,19.224
2005-07-22,20.821,20.363,18.404,17.429,17.346,21.564,17.159,19.25
2005-07-23,20.948,20.469,18.433,17.617,17.633,21.569,17.4711931152145,18.865
2005-07-24,20.924,20.606,18.554,17.692,17.542,21.633,17.455872458298,18.678
2005-07-25,20.827,20.543,18.45,17.692,17.496,21.621,17.4516558687277,18.583
2005-07-26,20.988,20.675,18.622,17.758,17.775,21.6,17.6523007964823,18.917
2005-07-27,21.293,20.86,18.847,18.025,17.942,21.677,17.438,19.328
2005-07-28,21.526,20.728,18.943,18.117,17.925,21.675,17.428,19.197
2005-07-29,21.587,20.82,18.85,18.063,17.892,21.651,17.59,18.625
2005-07-30,21.778,20.941,19.017,18.033,17.896,21.84,17.845,18.383
2005-07-31,21.91,21.146,19.125,18.221,18.104,22.016,18.134,18.593
2005-08-01,21.786,21.117,19.178,18.396,18.342,21.776,18.131,18.355
2005-08-02,21.689,21.188,18.96,18.438,18.475,21.757,17.942,18.207
2005-08-03,21.679,21.282,18.8589725019785,18.717,18.467,21.801,17.958,18.628
2005-08-04,21.779,21.192,19.235,18.613,18.321,21.821,18.194,19.073
2005-08-05,22.021,21.108,18.8584489303925,18.542,18.433,21.763,18.134,19.043
2005-08-06,22.2,21.297,19.0391623210003,18.763,18.738,21.747,18.058,18.786
2005-08-07,22.14,21.13,19.0872741392986,18.888,18.721,21.696,18.306,18.491
2005-08-08,22.112,21.247,19.0989240626137,18.85,18.65,21.941,18.646,18.68
2005-08-09,22,21.305,19.2452214349358,18.904,18.808,21.731,18.833,18.809
2005-08-10,21.72,21.443,19.4552683952173,19.129,19.092,21.589,18.859,18.517
