mrr_code|mrr_rkm|mrr_name|mrr_type|mrr_typedesc|mrr_huc8|mrr_huc8name|mrr_huc6|mrr_huc6name
POTHOL|___|Potholes Reservoir, Grant County, Washington|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17020015|Lower Crab|170200|Upper Columbia
SPRAGL|___|Sprague Lake, Washington|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17060108|Palouse|170601|Lower Snake
BANKSL|___|Banks Lake, Grant County, Washington|Other|Other physical or geographical feature.|17020014|Banks Lake|170200|Upper Columbia
LENLKE|___|Lenore Lake, WA|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17020014|Banks Lake|170200|Upper Columbia
CASC|*|Cascade Hatchery (ODFW) near Cascade Locks|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070105|Middle Columbia-Hood|170701|Middle Columbia
IRRI|*|Irrigon Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
BO2|*|Bonneville Dam PH2 (Archaic - replaced with generic BON designation)|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17080001|Lower Columbia-Sandy|170800|Lower Columbia
CLWH|*|Clearwater Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060308|Lower North Fork Clearwater|170603|Clearwater
DWOR|*|Dworshak National Fish Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17060306|Clearwater|170603|Clearwater
MDSH|*|Marion Drain Sturgeon Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17030003|Lower Yakima|170300|Yakima
CHEL|*|Chelan PUD Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17020005|Chief Joseph|170200|Upper Columbia
HAGE|*|Hagerman NFH|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17040212|Upper Snake-Rock|170402|Upper Snake
MCCA|*|McCall Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17050123|North Fork Payette|170501|Middle Snake-Boise
MAVA|*|Magic Valley Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17040212|Upper Snake-Rock|170402|Upper Snake
SPRF|*|Springfield Fish Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17040206|American Falls|170402|Upper Snake
BO1|*|Bonneville Dam PH1 (Archaic - replaced with generic BON designation)|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17080001|Lower Columbia-Sandy|170800|Lower Columbia
