"date","temp","source","tailrace_temp","forebay_temp"
2005-06-01,15.228,"tailrace",15.228,15.193
2005-06-02,15.258,"tailrace",15.258,15.227
2005-06-03,15.24,"tailrace",15.24,15.224
2005-06-04,15.265,"tailrace",15.265,15.247
2005-06-05,15.327,"tailrace",15.327,15.309
2005-06-06,15.364,"tailrace",15.364,15.351
2005-06-07,15.447,"tailrace",15.447,15.419
2005-06-08,15.539,"tailrace",15.539,15.512
2005-06-09,15.93,"tailrace",15.93,15.885
2005-06-10,16.063,"tailrace",16.063,16.012
2005-06-11,15.987,"tailrace",15.987,15.937
2005-06-12,15.78,"tailrace",15.78,15.788
2005-06-13,15.945,"tailrace",15.945,15.921
2005-06-14,16.029,"tailrace",16.029,15.996
2005-06-15,16.162,"tailrace",16.162,16.139
2005-06-16,16.409,"tailrace",16.409,16.383
2005-06-17,16.417,"tailrace",16.417,16.397
2005-06-18,16.696,"tailrace",16.696,16.685
2005-06-19,16.9,"tailrace",16.9,16.879
2005-06-20,17.285,"tailrace",17.285,17.249
2005-06-21,17.548,"tailrace",17.548,17.518
2005-06-22,17.519,"tailrace",17.519,17.518
2005-06-23,17.667,"tailrace",17.667,17.664
2005-06-24,17.635,"tailrace",17.635,17.63
2005-06-25,17.622,"tailrace",17.622,17.61
2005-06-26,17.762,"tailrace",17.762,17.775
2005-06-27,17.79,"tailrace",17.79,17.782
2005-06-28,17.73,"tailrace",17.73,17.718
2005-06-29,17.908,"tailrace",17.908,17.916
2005-06-30,18.468,"tailrace",18.468,18.455
2005-07-01,18.871,"tailrace",18.871,18.84
2005-07-02,18.762,"tailrace",18.762,18.775
2005-07-03,18.567,"tailrace",18.567,18.59
2005-07-04,18.634,"tailrace",18.634,18.63
2005-07-05,18.895,"tailrace",18.895,18.88
2005-07-06,19.128,"tailrace",19.128,19.092
2005-07-07,19.239,"tailrace",19.239,19.224
2005-07-08,19.26,"tailrace",19.26,19.24
2005-07-09,19.057,"tailrace",19.057,19.045
2005-07-10,19.083,"tailrace",19.083,19.073
2005-07-11,19.329,"tailrace",19.329,19.311
2005-07-12,19.787,"tailrace",19.787,19.75
2005-07-13,19.883,"tailrace",19.883,19.864
2005-07-14,19.887,"tailrace",19.887,19.864
2005-07-15,20.026,"tailrace",20.026,19.995
2005-07-16,20.122,"tailrace",20.122,20.095
2005-07-17,20.353,"tailrace",20.353,20.337
2005-07-18,20.642,"tailrace",20.642,20.615
2005-07-19,20.724,"tailrace",20.724,20.719
2005-07-20,20.595,"tailrace",20.595,20.592
2005-07-21,20.708,"tailrace",20.708,20.703
2005-07-22,20.821,"tailrace",20.821,20.805
2005-07-23,20.948,"tailrace",20.948,20.936
2005-07-24,20.924,"tailrace",20.924,20.906
2005-07-25,20.827,"tailrace",20.827,20.803
2005-07-26,20.988,"tailrace",20.988,20.973
2005-07-27,21.293,"tailrace",21.293,21.268
2005-07-28,21.526,"tailrace",21.526,21.521
2005-07-29,21.587,"tailrace",21.587,21.608
2005-07-30,21.778,"tailrace",21.778,21.788
2005-07-31,21.91,"tailrace",21.91,21.914
2005-08-01,21.786,"tailrace",21.786,21.794
2005-08-02,21.689,"tailrace",21.689,21.707
2005-08-03,21.679,"tailrace",21.679,21.683
2005-08-04,21.779,"tailrace",21.779,21.797
2005-08-05,22.021,"tailrace",22.021,22.025
2005-08-06,22.2,"tailrace",22.2,22.194
2005-08-07,22.14,"tailrace",22.14,22.136
2005-08-08,22.112,"tailrace",22.112,22.134
2005-08-09,22,"tailrace",22,22.005
2005-08-10,21.72,"tailrace",21.72,21.764
2005-08-11,21.562,"tailrace",21.562,21.593
2005-08-12,21.42,"tailrace",21.42,21.453
2005-08-13,21.418,"tailrace",21.418,21.448
