"date","temp","source","tailrace_temp","forebay_temp"
2005-06-01,14.128,"tailrace",14.128,14.198
2005-06-02,14.293,"tailrace",14.293,14.43
2005-06-03,14.366,"tailrace",14.366,14.473
2005-06-04,14.511,"tailrace",14.511,14.572
2005-06-05,14.834,"tailrace",14.834,15.043
2005-06-06,15.06,"tailrace",15.06,15.15
2005-06-07,15.23,"tailrace",15.23,15.329
2005-06-08,15.42,"tailrace",15.42,15.433
2005-06-09,15.513,"tailrace",15.513,15.445
2005-06-10,15.541,"tailrace",15.541,15.371
2005-06-11,15.593,"tailrace",15.593,15.642
2005-06-12,15.509,"tailrace",15.509,15.463
2005-06-13,15.271,"tailrace",15.271,15.128
2005-06-14,15.225,"tailrace",15.225,15.122
2005-06-15,15.154,"tailrace",15.154,15.028
2005-06-16,15.205,"tailrace",15.205,15.04
2005-06-17,15.205,"tailrace",15.205,15.053
2005-06-18,15.33,"tailrace",15.33,15.293
2005-06-19,15.579,"tailrace",15.579,15.482
2005-06-20,15.736,"tailrace",15.736,15.504
2005-06-21,15.887,"tailrace",15.887,15.6
2005-06-22,16.08,"tailrace",16.08,15.973
2005-06-23,16.42,"tailrace",16.42,16.391
2005-06-24,16.577,"tailrace",16.577,16.466
2005-06-25,16.46,"tailrace",16.46,16.388
2005-06-26,16.74,"tailrace",16.74,16.68
2005-06-27,16.89,"tailrace",16.89,17.066
2005-06-28,17.064,"tailrace",17.064,17.119
2005-06-29,16.998,"tailrace",16.998,16.915
2005-06-30,17.291,"tailrace",17.291,17.26
2005-07-01,17.633,"tailrace",17.633,17.498
2005-07-02,17.895,"tailrace",17.895,17.879
2005-07-03,18.135,"tailrace",18.135,18.243
2005-07-04,18.423,"tailrace",18.423,18.422
2005-07-05,18.683,"tailrace",18.683,18.513
2005-07-06,18.88,"tailrace",18.88,18.779
2005-07-07,19.525,"tailrace",19.525,19.551
2005-07-08,19.568,"tailrace",19.568,19.505
2005-07-09,19.748,"tailrace",19.748,19.644
2005-07-10,19.831,"tailrace",19.831,19.755
2005-07-11,20.086,"tailrace",20.086,19.976
2005-07-12,20.101,"tailrace",20.101,19.975
2005-07-13,20.165,"tailrace",20.165,20.002
2005-07-14,20.521,"tailrace",20.521,20.454
2005-07-15,20.72,"tailrace",20.72,20.513
2005-07-16,20.79,"tailrace",20.79,20.628
2005-07-17,20.94,"tailrace",20.94,20.781
2005-07-18,21.136,"tailrace",21.136,20.959
2005-07-19,21.189,"tailrace",21.189,20.966
2005-07-20,21.153,"tailrace",21.153,20.943
2005-07-21,21.434,"tailrace",21.434,21.094
2005-07-22,21.564,"tailrace",21.564,21.315
2005-07-23,21.569,"tailrace",21.569,21.361
2005-07-24,21.633,"tailrace",21.633,21.437
