"date","temp","source","tailrace_temp","forebay_temp"
2005-06-01,15.035,"tailrace",15.035,15.066
2005-06-02,14.696,"tailrace",14.696,14.676
2005-06-03,13.522,"tailrace",13.522,13.924
2005-06-04,13.58,"tailrace",13.58,13.69
2005-06-05,13.061,"tailrace",13.061,13.32
2005-06-06,12.959,"tailrace",12.959,13.016
2005-06-07,13.054,"tailrace",13.054,13.098
2005-06-08,13.152,"tailrace",13.152,13.737
2005-06-09,13.303,"tailrace",13.303,13.873
2005-06-10,13.352,"tailrace",13.352,13.54
2005-06-11,13.459,"tailrace",13.459,13.787
2005-06-12,13.641,"tailrace",13.641,13.784
2005-06-13,13.771,"tailrace",13.771,14.155
2005-06-14,13.773,"tailrace",13.773,13.851
2005-06-15,13.825,"tailrace",13.825,14.06
2005-06-16,14.099,"tailrace",14.099,15.022
2005-06-17,14.399,"tailrace",14.399,14.989
2005-06-18,14.63,"tailrace",14.63,15.173
2005-06-19,14.863,"tailrace",14.863,15.515
2005-06-20,15.361,"tailrace",15.361,16.426
2005-06-21,15.739,"tailrace",15.739,16.587
2005-06-22,15.681,"tailrace",15.681,16.256
2005-06-23,16.082,"tailrace",16.082,16.846
2005-06-24,17.02,"tailrace",17.02,18.295
2005-06-25,17.447,"tailrace",17.447,18.414
2005-06-26,17.803,"tailrace",17.803,18.628
2005-06-27,18.103,"tailrace",18.103,18.938
2005-06-28,18.447,"tailrace",18.447,18.941
2005-06-29,18.63,"tailrace",18.63,19.19
2005-06-30,18.751,"tailrace",18.751,20.057
2005-07-01,18.223,"tailrace",18.223,18.996
2005-07-02,18.196,"tailrace",18.196,18.87
2005-07-03,18.407,"tailrace",18.407,19.015
2005-07-04,18.814,"tailrace",18.814,20.301
2005-07-05,19.158,"tailrace",19.158,20.582
2005-07-06,18.857,"tailrace",18.857,19.46
2005-07-07,18.878,"tailrace",18.878,19.505
2005-07-08,19.276,"tailrace",19.276,19.685
2005-07-09,19.515,"tailrace",19.515,20.095
2005-07-10,19.775,"tailrace",19.775,20.315
2005-07-11,19.761,"tailrace",19.761,20.473
2005-07-12,19.629,"tailrace",19.629,19.949
2005-07-13,19.271,"tailrace",19.271,19.539
2005-07-14,19.177,"tailrace",19.177,20.302
2005-07-15,19.551,"tailrace",19.551,21.143
2005-07-16,19.271,"tailrace",19.271,20.21
2005-07-17,19.205,"tailrace",19.205,20.316
2005-07-18,19.358,"tailrace",19.358,20.954
2005-07-19,19.185,"tailrace",19.185,20.705
2005-07-20,18.969,"tailrace",18.969,20.734
2005-07-21,19.224,"tailrace",19.224,21.578
2005-07-22,19.25,"tailrace",19.25,21.305
2005-07-23,18.865,"tailrace",18.865,20.673
2005-07-24,18.678,"tailrace",18.678,20.327
2005-07-25,18.583,"tailrace",18.583,20.069
2005-07-26,18.917,"tailrace",18.917,20.988
2005-07-27,19.328,"tailrace",19.328,21.771
2005-07-28,19.197,"tailrace",19.197,21.864
2005-07-29,18.625,"tailrace",18.625,21.089
2005-07-30,18.383,"tailrace",18.383,21.153
2005-07-31,18.593,"tailrace",18.593,21.374
2005-08-01,18.355,"tailrace",18.355,20.494
2005-08-02,18.207,"tailrace",18.207,20.09
2005-08-03,18.628,"tailrace",18.628,21.112
2005-08-04,19.073,"tailrace",19.073,22.029
2005-08-05,19.043,"tailrace",19.043,22.284
2005-08-06,18.786,"tailrace",18.786,22.03
2005-08-07,18.491,"tailrace",18.491,21.057
2005-08-08,18.68,"tailrace",18.68,21.853
2005-08-09,18.809,"tailrace",18.809,22.311
2005-08-10,18.517,"tailrace",18.517,20.967
2005-08-11,18.58,"tailrace",18.58,20.765
2005-08-12,18.738,"tailrace",18.738,21.408
2005-08-13,18.6,"tailrace",18.6,20.852
2005-08-14,18.642,"tailrace",18.642,21.15
2005-08-15,18.82,"tailrace",18.82,22.023
2005-08-16,18.845,"tailrace",18.845,21.886
2005-08-17,18.234,"tailrace",18.234,20.953
2005-08-18,18.224,"tailrace",18.224,21.023
2005-08-19,18.195,"tailrace",18.195,21.191
2005-08-20,18.663,"tailrace",18.663,21.715
2005-08-21,18.397,"tailrace",18.397,21.631
2005-08-22,18.316,"tailrace",18.316,20.846
2005-08-23,17.629,"tailrace",17.629,19.966
2005-08-24,17.872,"tailrace",17.872,19.911
2005-08-25,18.512,"tailrace",18.512,20.71
2005-08-26,18.818,"tailrace",18.818,21.016
2005-08-27,18.744,"tailrace",18.744,20.763
2005-08-28,18.663,"tailrace",18.663,20.754
2005-08-29,18.43,"tailrace",18.43,20.191
2005-08-30,18.325,"tailrace",18.325,19.765
2005-08-31,18.482,"tailrace",18.482,20.001
2005-09-01,18.596,"tailrace",18.596,20.223
2005-09-02,18.413,"tailrace",18.413,20.51
2005-09-03,18.114,"tailrace",18.114,19.829
2005-09-04,17.846,"tailrace",17.846,19.387
2005-09-05,17.793,"tailrace",17.793,19.317
2005-09-06,17.992,"tailrace",17.992,19.585
2005-09-07,17.951,"tailrace",17.951,19.614
2005-09-08,18.121,"tailrace",18.121,20.027
2005-09-09,17.712,"tailrace",17.712,19.442
2005-09-10,17.665,"tailrace",17.665,19.201
2005-09-11,17.878,"tailrace",17.878,19.297
2005-09-12,17.77,"tailrace",17.77,19.104
2005-09-13,17.683,"tailrace",17.683,18.915
2005-09-14,17.456,"tailrace",17.456,18.772
2005-09-15,17.038,"tailrace",17.038,18.563
2005-09-16,16.649,"tailrace",16.649,18.205
2005-09-17,16.423,"tailrace",16.423,17.896
2005-09-18,16.535,"tailrace",16.535,18.053
2005-09-19,16.758,"tailrace",16.758,18.177
2005-09-20,16.673,"tailrace",16.673,17.887
2005-09-21,16.625,"tailrace",16.625,17.612
2005-09-22,16.74,"tailrace",16.74,17.484
2005-09-23,16.923,"tailrace",16.923,17.523
2005-09-24,16.976,"tailrace",16.976,17.408
2005-09-25,17.034,"tailrace",17.034,17.375
2005-09-26,17.193,"tailrace",17.193,17.508
2005-09-27,17.132,"tailrace",17.132,17.209
2005-09-28,17.051,"tailrace",17.051,17.239
2005-09-29,17.061,"tailrace",17.061,17.09
2005-09-30,16.991,"tailrace",16.991,16.947
2005-10-01,16.773,"tailrace",16.773,16.778
2005-10-02,16.63,"tailrace",16.63,16.685
2005-10-03,16.536,"tailrace",16.536,16.494
2005-10-04,16.423,"tailrace",16.423,16.298
2005-10-05,16.28,"tailrace",16.28,16.168
2005-10-06,16.178,"tailrace",16.178,16.098
2005-10-07,16.027,"tailrace",16.027,15.952
2005-10-08,15.856,"tailrace",15.856,15.802
2005-10-09,15.518,"tailrace",15.518,15.668
2005-10-10,15.298,"tailrace",15.298,15.591
2005-10-11,15.313,"tailrace",15.313,15.688
2005-10-12,15.207,"tailrace",15.207,15.51
