"date","temp","source","tailrace_temp","forebay_temp","WAN_temp"
2005-06-01,13.382,"tailrace",13.382,13.429,13.483
2005-06-02,13.433,"tailrace",13.433,13.475,13.704
2005-06-03,13.333,"tailrace",13.333,13.375,13.963
2005-06-04,13.213,"tailrace",13.213,13.267,14.121
2005-06-05,13.292,"tailrace",13.292,13.342,14.213
2005-06-06,13.379,"tailrace",13.379,13.417,14.129
2005-06-07,13.375,"tailrace",13.375,13.433,13.983
2005-06-08,13.133,"tailrace",13.133,13.204,13.967
2005-06-09,12.913,"tailrace",12.913,12.988,14.05
2005-06-10,12.808,"tailrace",12.808,12.975,14.063
2005-06-11,12.658,"tailrace",12.658,13.221,13.871
2005-06-12,13.008,"tailrace",13.008,13.579,13.7
2005-06-13,13.4,"tailrace",13.4,14,13.829
2005-06-14,13.371,"tailrace",13.371,13.996,14.025
2005-06-15,13.388,"tailrace",13.388,14.088,14.4
2005-06-16,13.654,"tailrace",13.654,14.004,14.55
2005-06-17,13.917,"tailrace",13.917,13.954,14.713
2005-06-18,14.071,"tailrace",14.071,14.129,14.796
2005-06-19,14.288,"tailrace",14.288,14.304,14.883
2005-06-20,14.404,"tailrace",14.404,14.417,15.108
2005-06-21,14.7,"tailrace",14.7,14.683,15.233
2005-06-22,15.079,"tailrace",15.079,15.096,15.383
2005-06-23,15.042,"tailrace",15.042,15.071,15.517
2005-06-24,15.096,"tailrace",15.096,15.117,15.763
2005-06-25,15.288,"tailrace",15.288,15.313,15.804
2005-06-26,15.438,"tailrace",15.438,15.454,15.879
2005-06-27,15.333,"tailrace",15.333,15.363,16.05
2005-06-28,15.225,"tailrace",15.225,15.233,16
2005-06-29,15.45,"tailrace",15.45,15.471,15.9
2005-06-30,15.413,"tailrace",15.413,15.438,16.008
2005-07-01,15.6,"tailrace",15.6,15.592,16.213
2005-07-02,16.01,"tailrace",16.01,16,16.079
2005-07-03,16.046,"tailrace",16.046,16.046,16.058
2005-07-04,16.308,"tailrace",16.308,16.304,16.45
2005-07-05,16.521,"tailrace",16.521,16.496,16.863
2005-07-06,16.708,"tailrace",16.708,16.683,17.146
2005-07-07,16.617,"tailrace",16.617,16.642,17.092
2005-07-08,16.008,"tailrace",16.008,16.013,17.283
2005-07-09,15.904,"tailrace",15.904,15.908,17.246
2005-07-10,16.258,"tailrace",16.258,16.283,16.846
2005-07-11,16.254,"tailrace",16.254,16.275,16.629
2005-07-12,16.183,"tailrace",16.183,16.2,16.867
2005-07-13,16.471,"tailrace",16.471,16.475,17.033
2005-07-14,16.622,"tailrace",16.622,16.643,17.013
2005-07-15,16.746,"tailrace",16.746,16.771,17.25
2005-07-16,16.958,"tailrace",16.958,16.958,17.329
2005-07-17,17.033,"tailrace",17.033,17.054,17.45
2005-07-18,17.05,"tailrace",17.05,17.071,17.708
2005-07-19,17.267,"tailrace",17.267,17.283,17.913
2005-07-20,17.522,"tailrace",17.522,17.554,17.913
2005-07-21,17.496,"tailrace",17.496,17.533,18.042
2005-07-22,17.429,"tailrace",17.429,17.45,18.217
2005-07-23,17.617,"tailrace",17.617,17.646,18.221
2005-07-24,17.692,"tailrace",17.692,17.713,18.204
2005-07-25,17.692,"tailrace",17.692,17.721,18.238
2005-07-26,17.758,"tailrace",17.758,17.775,18.454
2005-07-27,18.025,"tailrace",18.025,18.025,18.513
2005-07-28,18.117,"tailrace",18.117,18.121,18.571
2005-07-29,18.063,"tailrace",18.063,18.054,18.721
2005-07-30,18.033,"tailrace",18.033,18.033,18.813
2005-07-31,18.221,"tailrace",18.221,18.217,18.829
2005-08-01,18.396,"tailrace",18.396,18.383,18.775
2005-08-02,18.438,"tailrace",18.438,18.433,18.621
2005-08-03,18.717,"tailrace",18.717,18.688,18.771
2005-08-04,18.613,"tailrace",18.613,18.6,18.979
2005-08-05,18.542,"tailrace",18.542,18.533,19.171
2005-08-06,18.763,"tailrace",18.763,18.758,19.0849723756906
2005-08-07,18.888,"tailrace",18.888,18.867,18.9989447513812
2005-08-08,18.85,"tailrace",18.85,18.838,18.9129171270718
2005-08-09,18.904,"tailrace",18.904,18.896,18.8268895027624
2005-08-10,19.129,"tailrace",19.129,19.121,18.740861878453
2005-08-11,19.267,"tailrace",19.267,19.258,18.6548342541436
2005-08-12,19.4,"tailrace",19.4,19.379,18.5688066298343
