"date","temp","source","tailrace_temp","forebay_temp","WAN_temp"
2005-06-01,13.395,"tailrace",13.395,13.427,13.483
2005-06-02,13.288,"tailrace",13.288,13.288,13.704
2005-06-03,13.233,"tailrace",13.233,13.225,13.963
2005-06-04,13.146,"tailrace",13.146,13.133,14.121
2005-06-05,13.383,"tailrace",13.383,13.367,14.213
2005-06-06,13.396,"tailrace",13.396,13.383,14.129
2005-06-07,13.296,"tailrace",13.296,13.313,13.983
2005-06-08,13.013,"tailrace",13.013,13.017,13.967
2005-06-09,12.838,"tailrace",12.838,12.817,14.05
2005-06-10,12.871,"tailrace",12.871,12.904,14.063
2005-06-11,13.213,"tailrace",13.213,13.3,13.871
2005-06-12,13.796,"tailrace",13.796,13.688,13.7
2005-06-13,13.7,"tailrace",13.7,13.6,13.829
2005-06-14,13.879,"tailrace",13.879,13.858,14.025
2005-06-15,13.975,"tailrace",13.975,13.971,14.4
2005-06-16,13.813,"tailrace",13.813,13.863,14.55
2005-06-17,13.85,"tailrace",13.85,13.838,14.713
2005-06-18,14.075,"tailrace",14.075,14.075,14.796
2005-06-19,14.117,"tailrace",14.117,14.246,14.883
2005-06-20,14.446,"tailrace",14.446,14.567,15.108
2005-06-21,14.908,"tailrace",14.908,14.925,15.233
2005-06-22,14.913,"tailrace",14.913,14.95,15.383
2005-06-23,14.921,"tailrace",14.921,14.929,15.517
2005-06-24,15.058,"tailrace",15.058,15.092,15.763
2005-06-25,15.133,"tailrace",15.133,15.167,15.804
2005-06-26,15.275,"tailrace",15.275,15.283,15.879
2005-06-27,15.171,"tailrace",15.171,15.188,16.05
2005-06-28,15.167,"tailrace",15.167,15.204,16
2005-06-29,15.308,"tailrace",15.308,15.321,15.9
2005-06-30,15.233,"tailrace",15.233,15.246,16.008
2005-07-01,15.608,"tailrace",15.608,NA,16.213
2005-07-02,15.895,"tailrace",15.895,NA,16.079
2005-07-03,15.925,"tailrace",15.925,NA,16.058
2005-07-04,16.192,"tailrace",16.192,NA,16.45
2005-07-05,16.35,"tailrace",16.35,NA,16.863
