"date","temp","source","tailrace_temp","forebay_temp","WAN_temp"
2005-06-01,12.572,"tailrace",12.572,12.671,13.483
2005-06-02,12.56,"tailrace",12.56,12.611,13.704
2005-06-03,12.792,"tailrace",12.792,12.913,13.963
2005-06-04,13.06,"tailrace",13.06,13.227,14.121
2005-06-05,12.935,"tailrace",12.935,13.007,14.213
2005-06-06,12.944,"tailrace",12.944,12.831,14.129
2005-06-07,12.751,"tailrace",12.751,12.63,13.983
2005-06-08,12.428,"tailrace",12.428,12.47,13.967
2005-06-09,12.539,"tailrace",12.539,12.648,14.05
2005-06-10,13.091,"tailrace",13.091,13.177,14.063
2005-06-11,13.16,"tailrace",13.16,13.245,13.871
2005-06-12,13.481,"tailrace",13.481,13.627,13.7
2005-06-13,13.639,"tailrace",13.639,13.678,13.829
2005-06-14,13.488,"tailrace",13.488,13.514,14.025
2005-06-15,13.414,"tailrace",13.414,13.477,14.4
2005-06-16,13.595,"tailrace",13.595,13.675,14.55
2005-06-17,13.579,"tailrace",13.579,13.616,14.713
2005-06-18,13.556,"tailrace",13.556,13.611,14.796
2005-06-19,13.556,"tailrace",13.556,13.611,14.883
2005-06-20,14.222,"tailrace",14.222,14.278,15.108
2005-06-21,14.488,"tailrace",14.488,14.535,15.233
2005-06-22,14.512,"tailrace",14.512,14.551,15.383
2005-06-23,14.725,"tailrace",14.725,14.796,15.517
2005-06-24,14.766,"tailrace",14.766,14.809,15.763
2005-06-25,14.75,"tailrace",14.75,14.796,15.804
2005-06-26,14.761,"tailrace",14.761,14.872,15.879
2005-06-27,14.958,"tailrace",14.958,15.002,16.05
2005-06-28,14.804,"tailrace",14.804,14.812,16
2005-06-29,14.782,"tailrace",14.782,14.843,15.9
2005-06-30,15.34,"tailrace",15.34,15.419,16.008
2005-07-01,15.495,"tailrace",15.495,15.553,16.213
2005-07-02,15.606,"tailrace",15.606,15.646,16.079
2005-07-03,15.653,"tailrace",15.653,15.762,16.058
2005-07-04,15.956,"tailrace",15.956,16.123,16.45
2005-07-05,16.028,"tailrace",16.028,16.097,16.863
2005-07-06,15.551,"tailrace",15.551,15.525,17.146
2005-07-07,15.488,"tailrace",15.488,15.546,17.092
2005-07-08,15.926,"tailrace",15.926,15.979,17.283
2005-07-09,15.639,"tailrace",15.639,15.683,17.246
2005-07-10,15.632,"tailrace",15.632,15.713,16.846
2005-07-11,15.882,"tailrace",15.882,15.938,16.629
2005-07-12,16.088,"tailrace",16.088,16.113,16.867
2005-07-13,16.129,"tailrace",16.129,16.177,17.033
2005-07-14,16.532,"tailrace",16.532,16.598,17.013
2005-07-15,16.572,"tailrace",16.572,16.588,17.25
2005-07-16,16.35,"tailrace",16.35,16.408,17.329
2005-07-17,16.579,"tailrace",16.579,16.755,17.45
2005-07-18,16.9,"tailrace",16.9,16.947,17.708
2005-07-19,16.928,"tailrace",16.928,16.956,17.913
2005-07-20,16.833,"tailrace",16.833,16.868,17.913
2005-07-21,17.15,"tailrace",17.15,17.257,18.042
2005-07-22,17.159,"tailrace",17.159,17.163,18.217
2005-07-23,17.2148,"linear_interpolation",NA,NA,18.221
2005-07-24,17.2706,"linear_interpolation",NA,NA,18.204
2005-07-25,17.3264,"linear_interpolation",NA,NA,18.238
2005-07-26,17.3822,"linear_interpolation",NA,NA,18.454
2005-07-27,17.438,"tailrace",17.438,17.431,18.513
2005-07-28,17.428,"tailrace",17.428,17.454,18.571
2005-07-29,17.59,"tailrace",17.59,17.625,18.721
2005-07-30,17.845,"tailrace",17.845,17.914,18.813
2005-07-31,18.134,"tailrace",18.134,18.273,18.829
2005-08-01,18.131,"tailrace",18.131,18.119,18.775
2005-08-02,17.942,"tailrace",17.942,18.025,18.621
2005-08-03,17.958,"tailrace",17.958,18.102,18.771
2005-08-04,18.194,"tailrace",18.194,18.236,18.979
2005-08-05,18.134,"tailrace",18.134,18.169,19.171
2005-08-06,18.058,"tailrace",18.058,18.169,19.0849723756906
2005-08-07,18.306,"tailrace",18.306,18.431,18.9989447513812
2005-08-08,18.646,"tailrace",18.646,18.715,18.9129171270718
2005-08-09,18.833,"tailrace",18.833,18.889,18.8268895027624
2005-08-10,18.859,"tailrace",18.859,18.905,18.740861878453
2005-08-11,18.877,"tailrace",18.877,18.921,18.6548342541436
2005-08-12,18.942,"tailrace",18.942,18.988,18.5688066298343
2005-08-13,18.958,"tailrace",18.958,19.125,18.4827790055249
2005-08-14,19.03,"tailrace",19.03,19.174,18.3967513812155
2005-08-15,19.109,"tailrace",19.109,19.137,18.3107237569061
2005-08-16,19.058,"tailrace",19.058,19.085,18.2246961325967
2005-08-17,19.109,"tailrace",19.109,19.132,18.1386685082873
2005-08-18,18.928,"tailrace",18.928,18.986,18.0526408839779
2005-08-19,19.294,"tailrace",19.294,19.361,17.9666132596685
2005-08-20,19.278,"tailrace",19.278,19.354,17.8805856353591
2005-08-21,19.225,"tailrace",19.225,19.331,17.7945580110497
2005-08-22,19.255,"tailrace",19.255,19.292,17.7085303867403
2005-08-23,19.201,"tailrace",19.201,19.238,17.6225027624309
2005-08-24,19.15,"tailrace",19.15,19.218,17.5364751381215
2005-08-25,19.206,"tailrace",19.206,19.262,17.4504475138122
2005-08-26,19.204,"tailrace",19.204,19.231,17.3644198895028
2005-08-27,19.125,"tailrace",19.125,19.222,17.2783922651934
2005-08-28,19.123,"tailrace",19.123,19.329,17.192364640884
2005-08-29,19.259,"tailrace",19.259,19.329,17.1063370165746
2005-08-30,19.271,"tailrace",19.271,19.324,17.0203093922652
2005-08-31,19.345,"tailrace",19.345,19.391,16.9342817679558
2005-09-01,19.451,"tailrace",19.451,19.611,16.8482541436464
2005-09-02,19.47,"tailrace",19.47,19.56,16.762226519337
2005-09-03,19.421,"tailrace",19.421,19.62,16.6761988950276
2005-09-04,19.211,"tailrace",19.211,19.343,16.5901712707182
2005-09-05,19.153,"tailrace",19.153,19.317,16.5041436464088
2005-09-06,19.118,"tailrace",19.118,19.229,16.4181160220994
2005-09-07,19.153,"tailrace",19.153,19.225,16.3320883977901
2005-09-08,19.147,"tailrace",19.147,19.232,16.2460607734807
2005-09-09,19.118,"tailrace",19.118,19.201,16.1600331491713
2005-09-10,18.954,"tailrace",18.954,19.032,16.0740055248619
2005-09-11,18.803,"tailrace",18.803,18.863,15.9879779005525
2005-09-12,18.745,"tailrace",18.745,18.803,15.9019502762431
2005-09-13,18.831,"tailrace",18.831,18.944,15.8159226519337
2005-09-14,18.7586336633663,"linear_interpolation",NA,NA,15.7298950276243
2005-09-15,18.6862673267327,"linear_interpolation",NA,NA,15.6438674033149
2005-09-16,18.613900990099,"linear_interpolation",NA,NA,15.5578397790055
2005-09-17,18.5415346534653,"linear_interpolation",NA,NA,15.4718121546961
2005-09-18,18.4691683168317,"linear_interpolation",NA,NA,15.3857845303867
2005-09-19,18.396801980198,"linear_interpolation",NA,NA,15.2997569060773
2005-09-20,18.3244356435644,"linear_interpolation",NA,NA,15.213729281768
2005-09-21,18.2520693069307,"linear_interpolation",NA,NA,15.1277016574586
2005-09-22,18.179702970297,"linear_interpolation",NA,NA,15.0416740331492
2005-09-23,18.1073366336634,"linear_interpolation",NA,NA,14.9556464088398
2005-09-24,18.0349702970297,"linear_interpolation",NA,NA,14.8696187845304
2005-09-25,17.962603960396,"linear_interpolation",NA,NA,14.783591160221
2005-09-26,17.8902376237624,"linear_interpolation",NA,NA,14.6975635359116
2005-09-27,17.8178712871287,"linear_interpolation",NA,NA,14.6115359116022
2005-09-28,17.7455049504951,"linear_interpolation",NA,NA,14.5255082872928
2005-09-29,17.6731386138614,"linear_interpolation",NA,NA,14.4394806629834
2005-09-30,17.6007722772277,"linear_interpolation",NA,NA,14.353453038674
2005-10-01,17.5284059405941,"linear_interpolation",NA,NA,14.2674254143646
2005-10-02,17.4560396039604,"linear_interpolation",NA,NA,14.1813977900552
2005-10-03,17.3836732673267,"linear_interpolation",NA,NA,14.0953701657459
2005-10-04,17.3113069306931,"linear_interpolation",NA,NA,14.0093425414365
2005-10-05,17.2389405940594,"linear_interpolation",NA,NA,13.9233149171271
2005-10-06,17.1665742574257,"linear_interpolation",NA,NA,13.8372872928177
2005-10-07,17.0942079207921,"linear_interpolation",NA,NA,13.7512596685083
2005-10-08,17.0218415841584,"linear_interpolation",NA,NA,13.6652320441989
2005-10-09,16.9494752475248,"linear_interpolation",NA,NA,13.5792044198895
2005-10-10,16.8771089108911,"linear_interpolation",NA,NA,13.4931767955801
2005-10-11,16.8047425742574,"linear_interpolation",NA,NA,13.4071491712707
2005-10-12,16.7323762376238,"linear_interpolation",NA,NA,13.3211215469613
2005-10-13,16.6600099009901,"linear_interpolation",NA,NA,13.2350939226519
2005-10-14,16.5876435643564,"linear_interpolation",NA,NA,13.1490662983425
2005-10-15,16.5152772277228,"linear_interpolation",NA,NA,13.0630386740331
2005-10-16,16.4429108910891,"linear_interpolation",NA,NA,12.9770110497238
2005-10-17,16.3705445544554,"linear_interpolation",NA,NA,12.8909834254144
2005-10-18,16.2981782178218,"linear_interpolation",NA,NA,12.804955801105
2005-10-19,16.2258118811881,"linear_interpolation",NA,NA,12.7189281767956
2005-10-20,16.1534455445545,"linear_interpolation",NA,NA,12.6329005524862
2005-10-21,16.0810792079208,"linear_interpolation",NA,NA,12.5468729281768
2005-10-22,16.0087128712871,"linear_interpolation",NA,NA,12.4608453038674
2005-10-23,15.9363465346535,"linear_interpolation",NA,NA,12.374817679558
2005-10-24,15.8639801980198,"linear_interpolation",NA,NA,12.2887900552486
2005-10-25,15.7916138613861,"linear_interpolation",NA,NA,12.2027624309392
2005-10-26,15.7192475247525,"linear_interpolation",NA,NA,12.1167348066298
2005-10-27,15.6468811881188,"linear_interpolation",NA,NA,12.0307071823204
2005-10-28,15.5745148514851,"linear_interpolation",NA,NA,11.944679558011
2005-10-29,15.5021485148515,"linear_interpolation",NA,NA,11.8586519337017
2005-10-30,15.4297821782178,"linear_interpolation",NA,NA,11.7726243093923
2005-10-31,15.3574158415842,"linear_interpolation",NA,NA,11.6865966850829
2005-11-01,15.2850495049505,"linear_interpolation",NA,NA,11.6005690607735
2005-11-02,15.2126831683168,"linear_interpolation",NA,NA,11.5145414364641
2005-11-03,15.1403168316832,"linear_interpolation",NA,NA,11.4285138121547
2005-11-04,15.0679504950495,"linear_interpolation",NA,NA,11.3424861878453
2005-11-05,14.9955841584158,"linear_interpolation",NA,NA,11.2564585635359
2005-11-06,14.9232178217822,"linear_interpolation",NA,NA,11.1704309392265
2005-11-07,14.8508514851485,"linear_interpolation",NA,NA,11.0844033149171
2005-11-08,14.7784851485149,"linear_interpolation",NA,NA,10.9983756906077
2005-11-09,14.7061188118812,"linear_interpolation",NA,NA,10.9123480662983
2005-11-10,14.6337524752475,"linear_interpolation",NA,NA,10.826320441989
2005-11-11,14.5613861386139,"linear_interpolation",NA,NA,10.7402928176796
2005-11-12,14.4890198019802,"linear_interpolation",NA,NA,10.6542651933702
2005-11-13,14.4166534653465,"linear_interpolation",NA,NA,10.5682375690608
2005-11-14,14.3442871287129,"linear_interpolation",NA,NA,10.4822099447514
2005-11-15,14.2719207920792,"linear_interpolation",NA,NA,10.396182320442
2005-11-16,14.1995544554455,"linear_interpolation",NA,NA,10.3101546961326
2005-11-17,14.1271881188119,"linear_interpolation",NA,NA,10.2241270718232
2005-11-18,14.0548217821782,"linear_interpolation",NA,NA,10.1380994475138
2005-11-19,13.9824554455446,"linear_interpolation",NA,NA,10.0520718232044
2005-11-20,13.9100891089109,"linear_interpolation",NA,NA,9.96604419889503
2005-11-21,13.8377227722772,"linear_interpolation",NA,NA,9.88001657458563
2005-11-22,13.7653564356436,"linear_interpolation",NA,NA,9.79398895027624
2005-11-23,13.6929900990099,"linear_interpolation",NA,NA,9.70796132596685
2005-11-24,13.6206237623762,"linear_interpolation",NA,NA,9.62193370165746
2005-11-25,13.5482574257426,"linear_interpolation",NA,NA,9.53590607734807
2005-11-26,13.4758910891089,"linear_interpolation",NA,NA,9.44987845303868
2005-11-27,13.4035247524752,"linear_interpolation",NA,NA,9.36385082872928
2005-11-28,13.3311584158416,"linear_interpolation",NA,NA,9.27782320441989
2005-11-29,13.2587920792079,"linear_interpolation",NA,NA,9.1917955801105
2005-11-30,13.1864257425743,"linear_interpolation",NA,NA,9.1057679558011
2005-12-01,13.1140594059406,"linear_interpolation",NA,NA,9.01974033149171
2005-12-02,13.0416930693069,"linear_interpolation",NA,NA,8.93371270718232
2005-12-03,12.9693267326733,"linear_interpolation",NA,NA,8.84768508287293
2005-12-04,12.8969603960396,"linear_interpolation",NA,NA,8.76165745856354
2005-12-05,12.8245940594059,"linear_interpolation",NA,NA,8.67562983425414
2005-12-06,12.7522277227723,"linear_interpolation",NA,NA,8.58960220994475
2005-12-07,12.6798613861386,"linear_interpolation",NA,NA,8.50357458563536
2005-12-08,12.607495049505,"linear_interpolation",NA,NA,8.41754696132597
2005-12-09,12.5351287128713,"linear_interpolation",NA,NA,8.33151933701657
2005-12-10,12.4627623762376,"linear_interpolation",NA,NA,8.24549171270718
2005-12-11,12.390396039604,"linear_interpolation",NA,NA,8.15946408839779
2005-12-12,12.3180297029703,"linear_interpolation",NA,NA,8.0734364640884
2005-12-13,12.2456633663366,"linear_interpolation",NA,NA,7.987408839779
2005-12-14,12.173297029703,"linear_interpolation",NA,NA,7.90138121546961
2005-12-15,12.1009306930693,"linear_interpolation",NA,NA,7.81535359116022
2005-12-16,12.0285643564356,"linear_interpolation",NA,NA,7.72932596685083
2005-12-17,11.956198019802,"linear_interpolation",NA,NA,7.64329834254144
2005-12-18,11.8838316831683,"linear_interpolation",NA,NA,7.55727071823204
2005-12-19,11.8114653465347,"linear_interpolation",NA,NA,7.47124309392265
2005-12-20,11.739099009901,"linear_interpolation",NA,NA,7.38521546961326
