"","date","mouth to BON","MCN to ICH or PRA (ICH)","ICH to LGR","BON to MCN","MCN to ICH or PRA (PRA)","PRA to RIS","RIS to RRE","RRE to WEL"
"1","2004-01-02",NA,4.6042,4.2875,4.4042,NA,NA,NA,NA
"2","2004-01-03",NA,4.4792,4.2958,4.1708,NA,NA,NA,NA
"3","2004-01-04",NA,4.3042,4.2375,3.9583,NA,NA,NA,NA
"4","2004-01-05",NA,3.9292,4.0333,3.4667,NA,NA,NA,NA
"5","2004-01-06",NA,3.5625,3.6417,3.1625,NA,NA,NA,NA
"6","2004-01-07",NA,3.1875,3.2542,2.7083,NA,NA,NA,NA
"7","2004-01-08",NA,2.8958,2.8167,1.9917,NA,NA,NA,NA
"8","2004-01-09",NA,2.6875,2.5125,1.6208,NA,NA,NA,NA
"9","2004-01-10",NA,2.4708,2.35,1.7583,NA,NA,NA,NA
"10","2004-01-11",NA,2.3792,2.1417,1.7958,NA,NA,NA,NA
"11","2004-01-12",NA,2.3292,1.8958,1.9458,NA,NA,NA,NA
"12","2004-01-13",NA,2.3333,1.8217,2.0875,NA,NA,NA,NA
"13","2004-01-14",NA,2.5458,1.8958,2.2625,NA,NA,NA,NA
"14","2004-01-15",NA,2.7,2.15,2.35,NA,NA,NA,NA
"15","2004-01-16",NA,2.7917,2.1417,2.4292,NA,NA,NA,NA
"16","2004-01-17",NA,2.8609,2.2833,2.5583,NA,NA,NA,NA
"17","2004-01-18",NA,2.9042,2.7458,2.6667,NA,NA,NA,NA
"18","2004-01-19",NA,2.9042,3.0625,2.7667,NA,NA,NA,NA
"19","2004-01-20",NA,2.925,3.1375,2.8542,NA,NA,NA,NA
"20","2004-01-21",NA,2.975,3.2708,2.9542,NA,NA,NA,NA
"21","2004-01-22",NA,3.075,3.3583,3.075,NA,NA,NA,NA
"22","2004-01-23",NA,3.1333,3.4417,3.2125,NA,NA,NA,NA
"23","2004-01-24",NA,3.1,3.4625,3.3583,NA,NA,NA,NA
"24","2004-01-25",NA,3.0958,3.475,3.4583,NA,NA,NA,NA
"25","2004-01-26",NA,3.05,3.55,3.5583,NA,NA,NA,NA
"26","2004-01-27",NA,3.0208,3.6,3.6125,NA,NA,NA,NA
"27","2004-01-28",NA,2.9913,3.6625,3.6,NA,NA,NA,NA
"28","2004-01-29",NA,2.9833,3.8542,3.5917,NA,NA,NA,NA
"29","2004-01-30",NA,3.05,4.045,3.635,NA,NA,NA,NA
"30","2004-01-31",NA,3.115,4.065,3.73,NA,NA,NA,NA
"31","2004-02-01",NA,3.0333,3.9125,3.8208,NA,NA,NA,NA
"32","2004-02-02",NA,3.05,3.7833,3.95,NA,NA,NA,NA
"33","2004-02-03",NA,3.0292,3.7542,3.9958,NA,NA,NA,NA
"34","2004-02-04",NA,2.975,3.925,3.8042,NA,NA,NA,NA
"35","2004-02-05",NA,2.9125,4.0708,3.6208,NA,NA,NA,NA
"36","2004-02-06",NA,2.85,4.1,3.4708,NA,NA,NA,NA
"37","2004-02-07",NA,2.8833,4.0542,3.2667,NA,NA,NA,NA
"38","2004-02-08",NA,2.9875,3.9667,3.2167,NA,NA,NA,NA
"39","2004-02-09",NA,3.1,3.7625,3.1917,NA,NA,NA,NA
"40","2004-02-10",NA,3.2,3.5708,3.0958,NA,NA,NA,NA
"41","2004-02-11",NA,3.2917,3.4917,3.0625,NA,NA,NA,NA
