"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"1","Umatilla River","hatchery",4,5,0,0.29445465966252,4,1,1.29445465966252,0,0.0736136649156301,1.29445465966252
"2","Umatilla River","wild",4,5,13,1.22317029884171,15,5,6.22317029884171,0.866666666666667,0.0815446865894471,1.24463405976834
"3","Umatilla River","hatchery",5,6,0,0,0,0,0,NA,NA,NA
"4","Umatilla River","wild",5,6,2,-1.43560375633181,6,4,2.56439624366819,0.333333333333333,-0.239267292721969,0.641099060917047
"5","Umatilla River","hatchery",6,7,0,0,0,0,0,NA,NA,NA
"6","Umatilla River","wild",6,7,2,1.26388097317869,4,1,2.26388097317869,0.5,0.315970243294672,2.26388097317869
"7","Umatilla River","hatchery",8,9,7,-1.97237749851972,27,9,7.02762250148028,0.259259259259259,-0.0730510184636934,0.78084694460892
"8","Umatilla River","wild",8,9,28,-2.95139595617968,97,45,42.0486040438203,0.288659793814433,-0.0304267624348421,0.934413423196007
"9","Umatilla River","hatchery",5,24,0,0,0,0,0,NA,NA,NA
"10","Umatilla River","wild",5,24,0,0,0,0,0,NA,NA,NA
"11","Umatilla River","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"12","Umatilla River","wild",7,28,0,0,0,0,0,NA,NA,NA
"13","Umatilla River","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"14","Umatilla River","wild",7,30,0,0,0,0,0,NA,NA,NA
"15","Umatilla River","hatchery",8,32,0,0,0,0,0,NA,NA,NA
"16","Umatilla River","wild",8,32,0,2.33364780379861,93,4,6.33364780379861,0,0.0250929871376195,1.58341195094965
"17","Umatilla River","hatchery",9,34,0,0,0,0,0,NA,NA,NA
"18","Umatilla River","wild",9,34,0,0,0,0,0,NA,NA,NA
"19","Umatilla River","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"20","Umatilla River","wild",9,36,0,0,0,0,0,NA,NA,NA
"21","Umatilla River","hatchery",9,37,0,0,0,0,0,NA,NA,NA
"22","Umatilla River","wild",9,37,0,0,0,0,0,NA,NA,NA
"23","Umatilla River","hatchery",9,38,0,0,0,0,0,NA,NA,NA
"24","Umatilla River","wild",9,38,0,0,0,0,0,NA,NA,NA
"25","Umatilla River","hatchery",9,39,0,0,0,0,0,NA,NA,NA
"26","Umatilla River","wild",9,39,0,0,0,0,0,NA,NA,NA
"27","Umatilla River","hatchery",2,3,575,-39.4329928140495,631,219,179.567007185951,0.911251980982567,-0.0624928570745633,0.819940672081966
"28","Umatilla River","wild",2,3,1213,-98.5628947485432,1470,552,453.437105251457,0.825170068027211,-0.0670495882643151,0.821444031252639
"29","Umatilla River","hatchery",3,4,202,-3.08940231446796,220,4,0.91059768553204,0.918181818181818,-0.0140427377930362,0.22764942138301
"30","Umatilla River","wild",3,4,429,1.57812684523909,555,14,15.5781268452391,0.772972972972973,0.00284347179322359,1.11272334608851
"31","Umatilla River","hatchery",3,8,164,-2.21561074054705,220,32,29.784389259453,0.745454545454545,-0.0100709579115775,0.930762164357905
"32","Umatilla River","wild",3,8,402,5.02900849375347,555,111,116.029008493753,0.724324324324324,0.00906127656532156,1.04530638282661
"33","Umatilla River","hatchery",2,10,137,0.77856383143933,149,12,12.7785638314393,0.919463087248322,0.00522526061368678,1.06488031928661
"34","Umatilla River","wild",2,10,813,10.8293147688117,1046,128,138.829314768812,0.777246653919694,0.0103530733927454,1.08460402163134
"35","Umatilla River","hatchery",2,12,0,0,0,0,0,NA,NA,NA
"36","Umatilla River","wild",2,12,0,0,0,0,0,NA,NA,NA
"37","Umatilla River","hatchery",2,14,0,0,0,0,0,NA,NA,NA
