"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"1","Tucannon River","hatchery",2,3,8,-211.974430050165,3163,2382,2170.02556994984,0.00252924438823901,-0.0670168922068177,0.91100989502512
"2","Tucannon River","wild",2,3,20,-47.479476399456,624,467,419.520523600544,0.032051282051282,-0.0760889044863076,0.89833088565427
"3","Tucannon River","hatchery",3,4,1722,-0.706431933334965,2435,47,46.293568066665,0.707186858316222,-0.000290115783710458,0.984969533333299
"4","Tucannon River","wild",3,4,71,-4.6320324622781,493,15,10.3679675377219,0.144016227180527,-0.00939560337176084,0.691197835848127
"5","Tucannon River","hatchery",4,5,44,2.0048685085252,53,25,27.0048685085252,0.830188679245283,0.0378277077080227,1.08019474034101
"6","Tucannon River","wild",4,5,15,0.62204096935946,17,8,8.62204096935946,0.882352941176471,0.0365906452564388,1.07775512116993
"7","Tucannon River","hatchery",5,6,0,2.38741843156126,26,14,16.3874184315613,0,0.0918237858292793,1.17052988796866
"8","Tucannon River","wild",5,6,2,-2.02783551888963,9,6,3.97216448111037,0.222222222222222,-0.225315057654404,0.662027413518394
"9","Tucannon River","hatchery",6,7,0,0.357389909248669,16,11,11.3573899092487,0,0.0223368693280418,1.03248999174988
"10","Tucannon River","wild",6,7,0,-2.67763192956311,7,6,3.32236807043689,0,-0.382518847080445,0.553728011739481
"11","Tucannon River","hatchery",2,10,160,-22.4303834770553,653,74,51.5696165229447,0.245022970903522,-0.0343497449878335,0.696886709769524
"12","Tucannon River","wild",2,10,1,-9.65086233329062,240,31,21.3491376667094,0.00416666666666667,-0.0402119263887109,0.688681860216432
"13","Tucannon River","hatchery",2,12,0,0,0,0,0,NA,NA,NA
"14","Tucannon River","wild",2,12,0,0,0,0,0,NA,NA,NA
"15","Tucannon River","hatchery",2,14,413,-0.397668739646183,836,1,0.602331260353817,0.494019138755981,-0.000475680310581559,0.602331260353817
"16","Tucannon River","wild",2,14,239,-0.774444530460554,362,1,0.225555469539446,0.660220994475138,-0.00213934953165899,0.225555469539446
"17","Tucannon River","hatchery",2,16,0,0,0,0,0,NA,NA,NA
"18","Tucannon River","wild",2,16,0,0,0,0,0,NA,NA,NA
"19","Tucannon River","hatchery",2,18,0,-5.13368271658208,3104,7,1.86631728341792,0,-0.00165389262776484,0.266616754773989
"20","Tucannon River","wild",2,18,425,-1.77809129415967,590,2,0.221908705840326,0.720338983050847,-0.00301371405789775,0.110954352920163
"21","Tucannon River","hatchery",3,22,0,-10.3600648566804,2435,14,3.63993514331955,0,-0.00425464675839033,0.259995367379968
"22","Tucannon River","wild",3,22,470,-0.864488695667442,493,1,0.135511304332558,0.953346855983773,-0.00175352676605972,0.135511304332558
"23","Tucannon River","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"24","Tucannon River","wild",7,28,0,0,0,0,0,NA,NA,NA
"25","Tucannon River","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"26","Tucannon River","wild",7,30,0,0,0,0,0,NA,NA,NA
"27","Tucannon River","hatchery",2,41,1513,-1.96298021248055,3163,5,3.03701978751945,0.478343344925703,-0.000620607085830082,0.60740395750389
"28","Tucannon River","wild",2,41,0,0,0,0,0,NA,NA,NA
"29","Tucannon River","hatchery",3,8,1895,70.845439662955,2435,2096,2166.84543966295,0.7782340862423,0.0290946364118912,1.03380030518271
"30","Tucannon River","wild",3,8,402,-0.347213635757526,493,453,452.652786364242,0.815415821501014,-0.000704287293625813,0.999233523982875
"31","Tucannon River","hatchery",8,9,1854,59.4283518575446,2281,1380,1439.42835185754,0.812801402893468,0.0260536395692874,1.04306402308518
"32","Tucannon River","wild",8,9,309,15.8982532668222,488,299,314.898253266822,0.633196721311475,0.0325783878418488,1.0531714156081
"33","Tucannon River","hatchery",8,32,745,-17.8448609811684,899,175,157.155139018832,0.828698553948832,-0.0198496785107546,0.898029365821895
"34","Tucannon River","wild",8,32,325,-7.1779457088318,373,71,63.8220542911682,0.871313672922252,-0.0192438222756885,0.898902173115045
"35","Tucannon River","hatchery",9,34,0,0,0,0,0,NA,NA,NA
"36","Tucannon River","wild",9,34,0,0,0,0,0,NA,NA,NA
"37","Tucannon River","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"38","Tucannon River","wild",9,36,0,0,0,0,0,NA,NA,NA
"39","Tucannon River","hatchery",9,37,0,0,0,0,0,NA,NA,NA
"40","Tucannon River","wild",9,37,0,0,0,0,0,NA,NA,NA
"41","Tucannon River","hatchery",9,38,0,0,0,0,0,NA,NA,NA
"42","Tucannon River","wild",9,38,0,0,0,0,0,NA,NA,NA
"43","Tucannon River","hatchery",9,39,0,0,0,0,0,NA,NA,NA
"44","Tucannon River","wild",9,39,0,0,0,0,0,NA,NA,NA
"45","Asotin Creek","wild",2,3,26,-25.0625517464746,624,445,419.937448253525,0.0416666666666667,-0.0401643457475555,0.943679658996686
"46","Asotin Creek","wild",3,4,194,-3.52166781235423,457,19,15.4783321876458,0.424507658643326,-0.00770605648217556,0.814649062507672
