"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"1","Upper Columbia","hatchery",1,2,225,0.369809799156876,225,220,220.369809799157,1,0.00164359910736389,1.00168095363253
"2","Upper Columbia","wild",1,2,31,0.215476954265683,31,30,30.2154769542657,1,0.00695086949244139,1.00718256514219
"3","Upper Columbia","hatchery",2,3,245,-616.793645456898,13575,10159,9542.2063545431,0.0180478821362799,-0.0454359959820919,0.939285988241274
"4","Upper Columbia","wild",2,3,70,-62.3274479070633,1343,1021,958.672552092937,0.0521221146686523,-0.0464091198116629,0.938954507436765
"5","Upper Columbia","hatchery",3,8,10286,-0.853660298699411,10286,4,3.14633970130059,1,-8.29924459167229e-05,0.786584925325147
"6","Upper Columbia","wild",3,8,980,-1.27491089905319,1042,3,1.72508910094681,0.940499040307102,-0.00122352293575162,0.575029700315603
"7","Upper Columbia","hatchery",8,9,2,0.0841798715934159,5,4,4.08417987159342,0.4,0.0168359743186832,1.02104496789835
"8","Upper Columbia","wild",8,9,3,-0.00922599778823963,3,3,2.99077400221176,1,-0.00307533259607988,0.99692466740392
"9","Upper Columbia","hatchery",2,10,1055,-21.9798319587371,2475,145,123.020168041263,0.426262626262626,-0.00888074018534833,0.84841495200871
"10","Upper Columbia","wild",2,10,414,-9.34076478947734,578,42,32.6592352105227,0.716262975778547,-0.0161604927153587,0.777600838345778
"11","Upper Columbia","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"12","Upper Columbia","wild",9,36,0,0,0,0,0,NA,NA,NA
