Row Labels,Count of tag_code
Asotin Creek,362
loss,334
Asotin_Creek,254
Grande_Ronde_River,11
John_Day_River,2
Tucannon_River,59
Umatilla_River,1
Walla_Walla_River,7
"mainstem, upstream of LGR",28
Asotin_Creek,21
Tucannon_River,6
Walla_Walla_River,1
BON to MCN other tributaries,76
loss,50
Asotin_Creek,1
Clearwater_River,2
Deschutes_River,1
Fifteenmile_Creek,10
Grande_Ronde_River,2
Hood_River,5
Imnaha_River,4
John_Day_River,4
Salmon_River,12
Tucannon_River,6
Umatilla_River,2
Yakima_River,1
"mainstem, BON to MCN",26
Fifteenmile_Creek,4
Grande_Ronde_River,1
Imnaha_River,3
John_Day_River,1
Salmon_River,9
Tucannon_River,1
Umatilla_River,6
Walla_Walla_River,1
Clearwater River,1559
loss,1497
Clearwater_River,1432
John_Day_River,2
Methow_River,1
Tucannon_River,47
Umatilla_River,4
Walla_Walla_River,11
"mainstem, upstream of LGR",62
Clearwater_River,61
Tucannon_River,1
Deschutes River,2465
loss,868
Asotin_Creek,11
Clearwater_River,20
Deschutes_River,385
Entiat_River,3
Fifteenmile_Creek,49
Grande_Ronde_River,83
Hood_River,3
Imnaha_River,55
John_Day_River,54
Methow_River,15
Okanogan_River,2
Salmon_River,70
Tucannon_River,23
Umatilla_River,69
Walla_Walla_River,18
Wenatchee_River,5
Yakima_River,3
"mainstem, BON to MCN",1597
Asotin_Creek,41
Clearwater_River,173
Deschutes_River,7
Entiat_River,14
Fifteenmile_Creek,23
Grande_Ronde_River,218
Hood_River,3
Imnaha_River,170
John_Day_River,110
Methow_River,79
Okanogan_River,33
Salmon_River,405
Tucannon_River,94
Umatilla_River,73
Walla_Walla_River,71
Wenatchee_River,44
Yakima_River,39
Entiat River,392
loss,284
Entiat_River,212
Walla_Walla_River,1
Wenatchee_River,71
"mainstem, RIS to RRE",1
Wenatchee_River,1
"mainstem, RRE to WEL",107
Entiat_River,87
Imnaha_River,1
Salmon_River,1
Tucannon_River,1
Wenatchee_River,17
Fifteenmile Creek,123
loss,113
Clearwater_River,1
Fifteenmile_Creek,108
Hood_River,2
Salmon_River,1
Tucannon_River,1
"mainstem, BON to MCN",10
Clearwater_River,1
Fifteenmile_Creek,9
Grande Ronde River,410
loss,385
Asotin_Creek,6
Grande_Ronde_River,356
John_Day_River,10
Tucannon_River,11
Walla_Walla_River,2
"mainstem, upstream of LGR",25
Asotin_Creek,2
Grande_Ronde_River,18
John_Day_River,3
Tucannon_River,2
Hood River,590
Deschutes River,6
Imnaha_River,1
John_Day_River,1
Salmon_River,2
Tucannon_River,2
Hood River,3
Hood_River,3
loss,559
Clearwater_River,2
Deschutes_River,3
Fifteenmile_Creek,1
Grande_Ronde_River,1
Hood_River,550
Salmon_River,2
"mainstem, BON to MCN",2
Salmon_River,1
Umatilla_River,1
"mainstem, ICH to LGR",1
Salmon_River,1
"mainstem, MCN to ICH or PRA",12
Clearwater_River,2
Grande_Ronde_River,2
Imnaha_River,1
John_Day_River,1
Okanogan_River,1
