"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Date Time Value","Event Site Basin Name","Event Site Code Value","Event Site Subbasin Code","Event Site Subbasin Name","Event Site Latitude Value","Event Site Longitude Value","Event Site Info Name","Event Site Info Code","CTH Count"
"3DD.0077E55876","Mark","MAVA - Magic Valley Hatchery","10/31/2019","PAHSIW - Pahsimeroi Weir","4/7/2020","10/31/2019 2:19:59 PM","Upper Snake","MAVA","17040212","Upper Snake-Rock","42.658121","-114.652491","Magic Valley Hatchery","MAVA","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:48:46 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:48:47 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:48:48 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:59:11 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:59:12 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:59:27 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:59:45 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","5/7/2020 10:59:46 AM","Lower Columbia","BO1","17080001","Lower Columbia-Sandy","45.641509","-121.943902","Bonneville Bradford Is. Ladder","BO1","1"
"3DD.0077E55876","Observation","GRS - Lower Granite Dam Spillway","4/27/2020","","","4/27/2020 6:30:14 AM","Lower Snake","GRS","17060107","Lower Snake-Tucannon","46.658972","-117.430058","Lower Granite Dam Spillway","GRS","1"
"3DD.0077E5598A","Mark","NISP - Niagara Springs Hatchery","11/3/2019","LSALR - Little Salmon River","4/27/2020","11/3/2019 7:26:19 AM","Upper Snake","NISP","17040212","Upper Snake-Rock","42.663090","-114.677111","Niagara Springs Hatchery","NISP","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","9/21/2021 8:21:50 AM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","45.649788","-121.936531","Bonneville WA Shore Ladder/AFF","BO3","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","9/21/2021 8:23:33 AM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","45.649788","-121.936531","Bonneville WA Shore Ladder/AFF","BO3","1"
