"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"1","Observation","BO2-BO3-BO4","BO2-10","BO4-01","BO2-WEIR 45","BO4-VERTICAL SLOT DETECTORS",110,NA
"2","Observation","The Dalles Adult Fishways (combined)","02","01","Counting Window","Counting Window",100,NA
"3","Observation","John Day Dam Adult Fishways (combined)","08","04","WEIR 180","WEIR 181",100,NA
"4","Observation","LMA - Lower Monumental Adult Ladders","02","02","Left Ladder","Left Ladder",100,NA
"5","Observation","GOA - Little Goose Fish Ladder","02","01","Counting Window","Counting Window",100,NA
"6","Observation","GRA - Lower Granite Dam Adult","B3","A2","Ladder Entrance","Ladder Exit",150,NA
"7","Observation","DWL - Dworshak NFH adult trap","A1","A2","UPSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA
"8","Observation","BO1 - Bonneville Bradford Is. Ladder","24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",120,NA
"9","Observation","MC1 - McNary Oregon Shore Ladder","12","01","WEIR 279","COUNTING WINDOW",100,NA
"10","Observation","ICH2 - Ice Harbor Dam South Ladder","07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",110,NA
"11","Observation","ICH1 - Ice Harbor Dam North Ladder","10","0A","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",110,NA
"12","Observation","MC2 - McNary Washington Shore Ladder","12","01","WEIR 302","COUNTING WINDOW",120,NA
"13","Observation","SC1 - Lower SF Clearwater R at rkm 1","B1","B1","INSTREAM ARRAY","INSTREAM ARRAY",110,NA
"14","Observation","SC2 - Lower SF Clearwater R at rkm 2","A1","A1","INSTREAM ARRAY","INSTREAM ARRAY",100,NA
"15","Observation","LAP - Lapwai Creek, near its mouth","01","01","Array","Array",130,NA
"16","Observation","PRA2 - Priest Rapids Adult East Ladder","04","01","LEFT [EAST] LADDER WEIR 7","LEFT [EAST] LADDER WEIR 3",110,NA
"17","Observation","RIA1 - Rock Island Adult Left Ladder","04","02","LEFT LADDER BAFFLE 2","LEFT LADDER BAFFLE 4",140,NA
"18","Observation","RRF - Rocky Reach Fishway","A3","A0","Lower Weir","Trap",110,NA
"19","Observation","WEA1 - Wells Dam, DCPUD Left Adult Ladder","04","02","Left Ladder Pool 67","Left Ladder Pool 68",170,NA
"20","Observation","LMR - Lower Methow River at Pateros","06","06","Upstream Array","Upstream Array",120,NA
"21","Observation","MRC - Methow River at Carlton","06","06","Single Array","Single Array",100,NA
"22","Observation","MSH - Methow Fish Hatchery Outfall","00","00","Trap","Trap",110,NA
"23","Observation","CRW - Chewuch River above Winthrop","02","05","UPSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"24","Observation","SWT - Sweetwater Cr. near its mouth","B3","B1","LOWER INSTREAM ARRAY","UPPER INSTREAM ARRAY",110,NA
"25","Observation","WEB - Webb Creek","D2","D1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"26","Observation","RIA3 - Rock Island Adult Right Ladder","37","0A","Right Ladder Weir 32","Right Ladder Exit Channel",140,NA
"27","Observation","WEA2 - Wells Dam, DCPUD Right Adult Ladder","A3","05","Right Ladder Pool 19","Right Ladder Pool 68",170,NA
"28","Observation","TWR - Lwr Twisp Rvr near MSRF Ponds","B6","B3","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"29","Observation","RRJ - Rocky Reach Dam Juvenile","01","01","DSM Bypass Surface Collector","DSM Bypass Surface Collector",160,NA
"30","Observation","GRJ - Lower Granite Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
