"event_site_name","count","event_type_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent","dam","dam_abbr"
"158 - Fifteenmile Ck at Eightmile Ck",90,"Observation","D6","D1","Downstream Fifteenmile Ck","Upstream Eightmile Ck",100,NA,"in stream",NA
"15D - Fifteenmile Ck at Dry Ck",50,"Observation","C6","C6","Downstream Dry Ck","Downstream Dry Ck",100,NA,"in stream",NA
"15R - Fifteenmile Ck at Ramsey Ck",13,"Observation","E2","E4","Downstream Ramsey Ck","Upstream Fifteenmile Ck",100,NA,"in stream",NA
"3D4 - Bottom of 3D Side Channel",1,"Observation","13","13","Pass Through Antenna","Pass Through Antenna",100,NA,"in stream",NA
"85M - Eightmile Ck at Fivemile Ck",27,"Observation","F4","F6","Upstream Eightmile Ck","Downstream Eightmile Ck",100,NA,"in stream",NA
"ACB - Asotin Cr. at Cloverland Brdg.",156,"Observation","02","02","5-ANTENNA PARALLEL ARRAY","5-ANTENNA PARALLEL ARRAY",100,NA,"in stream",NA
"ACM - Asotin Creek near mouth",105,"Observation","F3","F1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"AFC - No./So. Fk Asotin Cr. Jct. ISA",69,"Observation","05","05","MAINSTEM ASOTIN CREEK ARRAY","MAINSTEM ASOTIN CREEK ARRAY",100,NA,"in stream",NA
"B2J - Bonneville PH2 Juvenile",40,"Observation","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA,"in stream",NA
"BBP - Blackbird Pond Accl. Site",3,"Observation","01","01","Pond Outfall","Pond Outfall",100,NA,"in stream",NA
"BBT - Touchet River at Bolles Bridge",49,"Observation","F1","F1","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"BCC - BON PH2 Corner Collector",257,"Observation","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA,"in stream",NA
"BCP - Butcher Creek Acclimation Pond",12,"Observation","02","02","POND EXIT","POND EXIT",100,NA,"in stream",NA
"BGM - Burlingame Dam and Canal",83,"Observation","F5","F3","BYPASS SLOT","ADULT FISHWAY",110,NA,"in stream",NA
"BHC - Bohannon Creek Lemhi R Basin",1,"Observation","02","01","Downstream Antenna","Upstream Antenna",120,NA,"in stream",NA
