"","tag_code","event_site_name","start_time","end_time","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"1","384.3B23983360","Bonneville Adult Fishways (combined)",2014-07-27 06:16:20,2014-07-27 07:36:56,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"2","384.3B23983360","The Dalles Adult Fishways (combined)",2014-10-02 02:04:51,2014-10-02 02:06:15,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"3","384.3B23983360","JD1 - John Day River, McDonald Ferry",2014-10-07 22:44:08,2014-10-07 22:44:10,"John Day","Lower John Day",45.59574,-120.410928
"4","384.3B23983360","MJ1 - Middle Fork John Day Array",2015-03-17 11:55:51,2015-03-17 11:56:08,"John Day","Middle Fork John Day",44.741933,-118.851057
"5","384.3B2399307E","Bonneville Adult Fishways (combined)",2014-08-03 02:10:43,2014-08-03 03:45:23,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"6","384.3B2399307E","The Dalles Adult Fishways (combined)",2014-08-05 02:30:44,2014-08-05 02:31:31,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"7","384.3B2399307E","DRM - Deschutes River mouth",2014-09-17 08:14:53,2014-09-17 08:14:53,"Deschutes","Lower Deschutes",45.631808,-120.912483
"8","3D6.000AC9D32D","Bonneville Adult Fishways (combined)",2014-08-07 22:25:19,2014-08-07 22:25:19,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"9","3D6.000AC9D32D","The Dalles Adult Fishways (combined)",2014-08-10 01:38:36,2014-08-10 01:38:43,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"10","3D6.000AC9D33B","Bonneville Adult Fishways (combined)",2014-07-26 09:32:38,2014-07-26 09:48:02,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"11","3D6.000AC9D33B","Bonneville Adult Fishways (combined)",2014-07-26 22:35:38,2014-07-26 22:57:29,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"12","3D6.000AC9D33B","The Dalles Adult Fishways (combined)",2014-08-01 10:45:59,2014-08-01 10:47:22,"Middle Columbia","Middle Columbia-Hood",45.613918,-121.137422
"13","3D6.000AC9D33B","DRM - Deschutes River mouth",2014-08-03 22:22:56,2014-08-03 22:23:02,"Deschutes","Lower Deschutes",45.631808,-120.912483
"14","3D6.000AC9D33B","DRM - Deschutes River mouth",2014-09-24 13:44:53,2014-09-24 13:44:53,"Deschutes","Lower Deschutes",45.631808,-120.912483
"15","3D6.000AC9D33B","JD1 - John Day River, McDonald Ferry",2014-12-21 17:29:33,2014-12-21 17:29:36,"John Day","Lower John Day",45.59574,-120.410928
"16","3D6.000AC9D33B","MJ1 - Middle Fork John Day Array",2015-03-08 09:29:47,2015-03-08 09:30:09,"John Day","Middle Fork John Day",44.741933,-118.851057
"17","3D6.000AC9D579","Bonneville Adult Fishways (combined)",2014-07-28 07:03:58,2014-07-28 09:20:39,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"18","3D6.000AC9D579","The Dalles Adult Fishways (combined)",2014-09-10 03:14:38,2014-09-10 03:14:41,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"19","3D6.000AC9D579","McNary Adult Fishways (combined)",2014-09-15 23:18:31,2014-09-16 00:40:27,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"20","3D6.000AC9D579","MJ1 - Middle Fork John Day Array",2015-03-11 06:51:03,2015-03-11 06:51:18,"John Day","Middle Fork John Day",44.741933,-118.851057
"21","3D6.000AC9D579","MJ1 - Middle Fork John Day Array",2015-03-26 10:38:46,2015-03-26 10:38:48,"John Day","Middle Fork John Day",44.741933,-118.851057
"22","3D6.000AC9EA4D","Bonneville Adult Fishways (combined)",2013-07-27 00:58:09,2013-07-27 07:09:25,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"23","3D6.000AC9EA4D","The Dalles Adult Fishways (combined)",2013-09-21 09:39:48,2013-09-21 09:39:55,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"24","3D6.000AC9EA4D","McNary Adult Fishways (combined)",2013-09-25 07:04:29,2013-09-25 08:14:11,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"25","3D6.000AC9EA4D","MCJ - McNary Dam Juvenile",2013-11-21 21:19:52,2013-11-21 21:20:02,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"26","3D6.000AC9EA4D","MJ1 - Middle Fork John Day Array",2014-04-16 17:28:25,2014-04-16 17:28:25,"John Day","Middle Fork John Day",44.741933,-118.851057
"27","3D6.000AC9EA4D","MJ1 - Middle Fork John Day Array",2014-05-17 09:07:27,2014-05-17 09:07:37,"John Day","Middle Fork John Day",44.741933,-118.851057
"28","3D6.000AC9EA4D","JDJ - John Day Dam Juvenile",2014-05-22 12:58:26,2014-05-22 13:02:20,"Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"29","3D6.000AC9EB34","Bonneville Adult Fishways (combined)",2014-07-16 23:47:37,2014-07-17 01:42:33,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"30","3D9.1BF15BA444","Bonneville Adult Fishways (combined)",2006-08-04 05:43:05,2006-08-04 08:32:08,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"31","3D9.1BF15BA444","McNary Adult Fishways (combined)",2006-09-13 03:08:30,2006-09-13 04:18:53,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"32","3D9.1BF15BA444","MCJ - McNary Dam Juvenile",2006-11-13 21:11:17,2006-11-13 21:11:26,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"33","3D9.1BF15CB9FE","Bonneville Adult Fishways (combined)",2005-07-25 23:29:13,2005-07-26 00:38:20,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"34","3D9.1BF15DA5FD","Bonneville Adult Fishways (combined)",2005-07-10 11:18:55,2005-07-10 11:30:19,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"35","3D9.1BF1629729","Bonneville Adult Fishways (combined)",2006-08-01 21:36:34,2006-08-01 23:08:35,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"36","3D9.1BF17D16A9","Bonneville Adult Fishways (combined)",2005-08-03 01:27:00,2005-08-03 07:58:40,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"37","3D9.1BF17D16A9","McNary Adult Fishways (combined)",2005-10-24 06:41:10,2005-10-24 07:09:28,"Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"38","3D9.1BF17D3FDE","Bonneville Adult Fishways (combined)",2005-07-17 02:13:21,2005-07-17 05:17:03,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"39","3D9.1BF18350F3","Bonneville Adult Fishways (combined)",2005-08-06 01:36:35,2005-08-06 06:07:41,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
