"event_site_name","count","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude","dam","dam_abbr"
"158 - Fifteenmile Ck at Eightmile Ck",2,"Middle Columbia","Middle Columbia-Hood",45.606425,-121.08628,"in stream",NA
"18N - 1890s Channel Methow River",1,"Upper Columbia","Methow",48.373079,-120.12264,"in stream",NA
"ACB - Asotin Cr. at Cloverland Brdg.",83,"Lower Snake","Lower Snake-Asotin",46.325584,-117.108679,"in stream",NA
"ACM - Asotin Creek near mouth",36,"Lower Snake","Lower Snake-Asotin",46.341368,-117.055707,"in stream",NA
"AFC - No./So. Fk Asotin Cr. Jct. ISA",39,"Lower Snake","Lower Snake-Asotin",46.272487,-117.292147,"in stream",NA
"ANT - Antoine Creek Instream Array",3,"Upper Columbia","Okanogan",48.758345,-119.40842,"in stream",NA
"B2J - Bonneville PH2 Juvenile",56,"Lower Columbia","Lower Columbia-Sandy",45.636816,-121.9653,"in stream",NA
"BBT - Touchet River at Bolles Bridge",25,"Middle Columbia","Walla Walla",46.2741,-118.220354,"in stream",NA
"BCC - BON PH2 Corner Collector",315,"Lower Columbia","Lower Columbia-Sandy",45.64814,-121.942544,"in stream",NA
"BCP - Butcher Creek Acclimation Pond",2,"Upper Columbia","Wenatchee",47.769549,-120.80235,"in stream",NA
"BGM - Burlingame Dam and Canal",55,"Middle Columbia","Walla Walla",46.023149,-118.424443,"in stream",NA
"BHC - Bohannon Creek Lemhi R Basin",2,"Salmon","Lemhi",45.112189,-113.746897,"in stream",NA
"BMT - Big Meadow Temporary Array",1,"Upper Columbia","Wenatchee",47.867619,-120.696425,"in stream",NA
"Bonneville Adult Fishways (combined)",29666,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531,"dam","BON"
"BPC - Bonaparte Creek Instream Array",22,"Upper Columbia","Okanogan",48.704819,-119.445464,"in stream",NA
"BR0 - Bridge Creek Gauge",25,"John Day","Lower John Day",44.72723,-120.3022,"in stream",NA
"BR1 - Bridge Creek Kiosk",19,"John Day","Lower John Day",44.654323,-120.251131,"in stream",NA
"BR2 - Bridge Creek Gable",52,"John Day","Lower John Day",44.59243,-120.2081,"in stream",NA
"BR3 - Bridge Creek Ranch",17,"John Day","Lower John Day",44.58517,-120.1837,"in stream",NA
"BSC - Big Sheep Creek ISA at km 6",88,"Lower Snake","Imnaha",45.506482,-116.850735,"in stream",NA
"BVC - Beaver Creek, Methow River",29,"Upper Columbia","Methow",48.358155,-120.040412,"in stream",NA
"CCA - Lower Charley Creek ISA",21,"Lower Snake","Lower Snake-Asotin",46.288458,-117.282497,"in stream",NA
"CCT - Chikamin Creek Temporary Array",1,"Upper Columbia","Wenatchee",47.908611,-120.722258,"in stream",NA
"CCW - Catherine Creek Ladder/Weir",4,"Lower Snake","Upper Grande Ronde",45.190964,-117.828617,"in stream",NA
