"","event_site_name","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"1","Bonneville Adult Fishways (combined)","Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"2","The Dalles Adult Fishways (combined)","Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"3","McNary Adult Fishways (combined)","Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"4","ICH - Ice Harbor Dam (Combined)","Lower Snake","Lower Snake",46.249527,-118.879964
"5","Lower Granite Dam Adult Fishways (combined)","Lower Snake","Lower Snake-Tucannon",46.65776,-117.433225
"6","AFC - No./So. Fk Asotin Cr. Jct. ISA","Lower Snake","Lower Snake-Asotin",46.272487,-117.292147
"7","USE - Upper Salmon River at rkm 437","Salmon","Middle Salmon-Panther",45.02853,-113.916319
"8","USI - Upper Salmon River at rkm 460","Salmon","Middle Salmon-Panther",44.889763,-113.964145
"9","SALEFT - East Fork Salmon River Trap","Salmon","Upper Salmon",44.118413,-114.428956
"10","SAWT - Sawtooth Hatchery","Salmon","Upper Salmon",44.150681,-114.883659
"11","STL - Sawtooth Hatchery Adult Trap","Salmon","Upper Salmon",44.153369,-114.883772
"12","DRM - Deschutes River mouth","Deschutes","Lower Deschutes",45.631808,-120.912483
"13","GRJ - Lower Granite Dam Juvenile","Lower Snake","Lower Snake-Tucannon",46.660394,-117.436261
"14","PRA - Priest Rapids Adult","Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442
"15","YFK - Yankee Fork Salmon River","Salmon","Upper Salmon",44.287737,-114.720453
"16","RRF - Rocky Reach Fishway","Upper Columbia","Upper Columbia-Entiat",47.531519,-120.300387
"17","SHERFT - Sherars Falls Fishway Trap, Deschutes River","Deschutes","Lower Deschutes",45.2567,-121.0396
"18","BCC - BON PH2 Corner Collector","Lower Columbia","Lower Columbia-Sandy",45.64814,-121.942544
"19","COLR4 - Columbia River - Bonneville Dam to John Day Dam (km 234-347)","Middle Columbia","Middle Columbia-Hood",45.683965,-121.280668
"20","RIA - Rock Island Adult","Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933
"21","WEA - Wells Dam, DCPUD Adult Ladders","Upper Columbia","Chief Joseph",47.947302,-119.864549
"22","RRJ - Rocky Reach Dam Juvenile","Upper Columbia","Upper Columbia-Entiat",47.531967,-120.299618
"23","LMR - Lower Methow River at Pateros","Upper Columbia","Methow",48.054608,-119.928121
"24","MCJ - McNary Dam Juvenile","Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"25","OKL - Lower Okanogan Instream Array","Upper Columbia","Okanogan",48.26871,-119.728135
"26","B2J - Bonneville PH2 Juvenile","Lower Columbia","Lower Columbia-Sandy",45.636816,-121.9653
"27","VC2 - Valley Creek, Downstream Site","Salmon","Upper Salmon",44.2219,-114.93146
"28","VC1 - Valley Creek, Upstream Site","Salmon","Upper Salmon",44.218672,-114.94215
"29","JDJ - John Day Dam Juvenile","Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"30","PRO - Prosser Diversion Dam Combined","Yakima","Lower Yakima",46.212539,-119.772663
"31","LMA - Lower Monumental Adult Ladders","Lower Snake","Lower Snake",46.562564,-118.538249
"32","BADGEI - Badger Island, Columbia River","Middle Columbia","Middle Columbia-Lake Wallula",46.109392,-118.937853
"33","GOJ - Little Goose Dam Juvenile","Lower Snake","Lower Snake-Tucannon",46.582381,-118.031607
"34","GOA - Little Goose Fish Ladder","Lower Snake","Lower Snake-Tucannon",46.582668,-118.027794
"35","TWR - Lwr Twisp Rvr near MSRF Ponds","Upper Columbia","Methow",48.367135,-120.13833
"36","CRW - Chewuch River above Winthrop","Upper Columbia","Methow",48.482323,-120.18137
"37","ENL - Lower Entiat River","Upper Columbia","Upper Columbia-Entiat",47.663782,-120.24282
"38","ENA - Upper Entiat River at rkm 17.1","Upper Columbia","Upper Columbia-Entiat",47.736615,-120.362532
"39","MAD - Mad River, Entiat River Basin","Upper Columbia","Upper Columbia-Entiat",47.736851,-120.368739
"40","TLT - Tillicum Creek Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.747434,-120.396699
"41","OKC - Okanagan Channel at VDS-3","Upper Columbia","Okanogan",49.114113,-119.565753
"42","RCL - Rock Creek (WA) at rkm 5","Middle Columbia","Middle Columbia-Lake Wallula",45.73785,-120.432964
"43","RCS - Rock Creek (WA) at rkm 14","Middle Columbia","Middle Columbia-Lake Wallula",45.795091,-120.464524
"44","JO2 - John Day North Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.718658,-120.697771
"45","JD1 - John Day River, McDonald Ferry","John Day","Lower John Day",45.59574,-120.410928
"46","SJ1 - SF John Day (Mid)","John Day","Upper John Day",44.422105,-119.540665
"47","BR0 - Bridge Creek Gauge","John Day","Lower John Day",44.72723,-120.3022
"48","BR1 - Bridge Creek Kiosk","John Day","Lower John Day",44.654323,-120.251131
"49","BR2 - Bridge Creek Gable","John Day","Lower John Day",44.59243,-120.2081
"50","BR3 - Bridge Creek Ranch","John Day","Lower John Day",44.58517,-120.1837
"51","JDALD1 - JDA - Release into south fish ladder","Middle Columbia","Middle Columbia-Hood",45.711138,-120.6894
"52","RCJ - Rock Creek John Day Basin","John Day","Lower John Day",45.57559,-120.37988
"53","JO1 - John Day South Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.711138,-120.689427
"54","JDALD2 - JDA - Release into north fish ladder","Middle Columbia","Middle Columbia-Hood",45.718658,-120.6978
"55","LAP - Lapwai Creek, near its mouth","Clearwater","Clearwater",46.443273,-116.812535
"56","SWT - Sweetwater Cr. near its mouth","Clearwater","Clearwater",46.369217,-116.795757
"57","WEB - Webb Creek","Clearwater","Clearwater",46.325992,-116.831974
"58","MIS - Mission Creek","Clearwater","Clearwater",46.367062,-116.735597
"59","MRC - Methow River at Carlton","Upper Columbia","Methow",48.246996,-120.118464
"60","CRU - Upper Chewuch Instream Array","Upper Columbia","Methow",48.669459,-120.137058
"61","OKANR - Okanogan River","Upper Columbia","Okanogan",48.764855,-119.407613
"62","MWF - Whitefish SC in Methow River","Upper Columbia","Methow",48.446048,-120.160572
"63","SCP - Spring Creek Acclimation Pond","Upper Columbia","Methow",48.474775,-120.185131
"64","CHJO - Chief Joseph Hatchery","Upper Columbia","Chief Joseph",48.001265,-119.646643
"65","WINT - Winthrop National Fish Hatchery","Upper Columbia","Methow",48.473894,-120.189297
"66","WELLD2 - WEL - Release into the West Adult Fish Ladder","Upper Columbia","Chief Joseph",47.947302,-119.864549
"67","TWX - Estuary Towed Array (Exp.)","Lower Columbia","Lower Columbia-Clatskanie",46.142688,-123.335061
"68","ESANIS - East Sand Island, Columbia River","Lower Columbia","Lower Columbia",46.262709,-123.972575
"69","TWISPW - Twisp River Weir (WDFW)","Upper Columbia","Methow",48.379881,-120.243074
"70","TWISPR - Twisp River","Upper Columbia","Methow",48.353884,-120.365091
"71","LBT - Little Bridge Creek (Twisp R.)","Upper Columbia","Methow",48.38075,-120.2867
"72","LTP - Lower Twisp Acclimation Pond","Upper Columbia","Methow",48.36646,-120.139009
"73","LLC - Loup Loup Creek Instream Array","Upper Columbia","Okanogan",48.283501,-119.70824
"74","BPC - Bonaparte Creek Instream Array","Upper Columbia","Okanogan",48.704819,-119.445464
"75","OKI - Inkaneep Creek ","Upper Columbia","Okanogan",49.078005,-119.502007
"76","ANTOIC - Antoine Creek (tributary to Okanogan River)","Upper Columbia","Okanogan",48.815507,-119.285285
"77","ANT - Antoine Creek Instream Array","Upper Columbia","Okanogan",48.758345,-119.40842
"78","METHR - Methow River","Upper Columbia","Methow",48.353595,-120.109236
"79","TNK - Tunk Creek Instream Array","Upper Columbia","Okanogan",48.561704,-119.485841
"80","MRW - Methow River at Winthrop","Upper Columbia","Methow",48.487797,-120.228681
"81","WFC - Wolf Creek, Methow River","Upper Columbia","Methow",48.488625,-120.234267
"82","MSH - Methow Fish Hatchery Outfall","Upper Columbia","Methow",48.476747,-120.204967
"83","METH - Methow Hatchery","Upper Columbia","Methow",48.476747,-120.204967
"84","PAHH - Pahsimeroi Hatchery","Salmon","Pahsimeroi",44.684139,-114.039471
"85","DWL - Dworshak NFH adult trap","Clearwater","Lower North Fork Clearwater",46.502652,-116.324263
"86","LC1 - Lower Lolo Creek at rkm 21","Clearwater","Clearwater",46.29436,-115.97616
"87","LC2 - Upper Lolo Creek at rkm 25","Clearwater","Clearwater",46.290498,-115.933747
"88","LFF - Lyle Falls Fishway","Middle Columbia","Klickitat",45.716414,-121.259747
"89","SJ2 - SF John Day (Murderer's)","John Day","Upper John Day",44.314517,-119.539748
"90","SC1 - Lower SF Clearwater R at rkm 1","Clearwater","South Fork Clearwater",46.137022,-115.981313
"91","KHS - Big Bear Cr. @ Kendrick HS","Clearwater","Clearwater",46.619115,-116.646846
"92","LMJ - Lower Monumental Dam Juvenile","Lower Snake","Lower Snake",46.562954,-118.543164
"93","MRT - Methow River at Twisp","Upper Columbia","Methow",48.374112,-120.121573
"94","LLR - Lower Lemhi River","Salmon","Lemhi",45.176475,-113.885278
"95","LGR - Lower Granite Dam","Lower Snake","Lower Snake-Tucannon",46.6605,-117.4283
"96","SC2 - Lower SF Clearwater R at rkm 2","Clearwater","South Fork Clearwater",46.127209,-115.97776
"97","WALH - Wallowa Hatchery","Lower Snake","Wallowa",45.417567,-117.301573
"98","DSF - Deschutes Sherars Falls","Deschutes","Lower Deschutes",45.256897,-121.039616
